city,borough,title,foundry,fabricator,primary_architect_first,landscape_architect_last,artwork_type1,location_name,landscape_architect_middle,lot,date_created_approximation,primary_artist_first,date_dedicated,date_dedicated_approximation,secondary_artist_first,inscription,pdc_records,secondary_artist_last,material,subject_keyword,primary_architect_middle,date_created,landscape_architect_first,primary_artist_last,block,secondary_architect_last,address,secondary_architect_middle,artwork_type2,alternate_title,secondary_architect_first,latitude,state
Bronx,Bronx,Life Saver,,,Aymar,,Bas-relief roundel,Crotona Pool Bath House,,1.0,Y,Frederick,1936,N,,,177,,Stone,"Animals, WPA, Bathhouse",,1936,,Roth,2941,,173rd Street and Fulton Avenue,,Artwork,,,40.839942,NY
New York,Manhattan,Charles B. Stover,,,Aymar,,Exedra,Central Park,,1.0,N,,1936,N,,CHARLES B. STOVER / 1861 - 1929 / FOUNDER OF OUTDOOR PLAYGROUNDS / WHO DEVOTED HIS LIFE TO PUBLIC SERVICE / IN GRATEFUL RECOGNITION / 1936,2033,,Granite,"Civil servant, Commissioner, Parks",,1936,,,1111,,79th Street Transverse Road,,Monument/Memorial,Whisper Bench,,40.780019,NY
Bronx,Bronx,"Loyalty, Valor and Sacrifice",,,,,Sculpture,Bronx County Courthouse,,1.0,N,Joseph,1934,N,,,1619,,Marble,"Allegorical, History, Law, Government",,1932,,Kiselewski,2468,,851 Grand Concourse,,Artwork,,,40.826590,NY
New York,Manhattan,The Totally Kid Carousel,,,,,Carousel,Riverbank State Park,,117.0,N,Milo,1998,N,,,3534,,"Fiberglass on wood, metal, foam armature","Carousel, Children, Recreation",,1998,,Mottola,2101,,West 145th Street and Riverside Drive,,Artwork,,,40.827711,NY
Richmond Hill,Queens,Job,Modern Art Foundry,,,,Sculpture,Forest Park,,2000.0,N,Natan,1987,N,,,710,,"Bronze, darkly mottled schist","Biblical, Holocaust, World War II, War",,1967,,Rapoport,3312,,80th Road and Park Lane South,,Artwork,,,40.710416,NY
Middle Village,Queens,Middle Village War Memorial,"Jos. Bermel Inc., Middle Village, L.I. NY",,,,Stele,Middle Village Playground,,,Y,A.,1945,N,,TO HONOR / THE MEMORY OF THE / HEROES WHO FOUGHT / IN THE WORLD WAR / 1917-1918 / MIDDLE VILLAGE POST 784 / ERECTED BY THE CITIZENS OF MIDDLE VILLAGE / PROPERTY OWNERS ASS'N OF MIDDLE VILLAGE / WORLD WAR II / 1941-1945 / KOREA / 1950-1955 / VIETNAM / 1964-1975/,2124,,Barre granite,"World War I, World War II, Korean War, Vietnam War, War, Veterans",,1945,,Althoff,,,"77th Street, 66th Road and Gray Street",,Monument/Memorial,,,40.714475,NY
New York,Manhattan,Marine Memorial,,,,,Tablet,Riverside Park,,2.0,Y,,1950,Y,,"""IN MEMORY OF / OUR MARINE HEROES /---/ MARINE CORPS FATHERS' ASS'N. / OF NEW YORK""",2287,,Granite,"United States Marine Corps, Armed Services",,1948,,,1254,,Riverside Drive between West 91st street and West 93rd street,,Monument/Memorial,,,40.793604,NY
New York,Manhattan,Peace Clock,,The Verdin Company,,,Kinetic sculpture,Trygve Lie Plaza,,23.0,N,Lina,2016,N,,"Plaque (northern corner of wall):  TRYGVE HALVDAN LIE /
1896 – 1968 /
""IT IS THE FUTURE OF THE WHOLE CIVILIZED WORLD WHICH IS AT STAKE."" /
ACCEPTANCE SPEECH AS THE UNITED NATIONS SECRETARY-GENERAL, FEBRUARY 2, 1946 /
THIS PLAZA AND SCULPTURE HONOR NORWEGIAN DIPLOMAT AND HUMANITARIAN TRYGVE LIE, FIRST SECRETARY-GENERAL OF THE UNITED NATIONS, 1946-1952. LIE’S PRINCIPLED LEADERSHIP IN THE PIONEER YEARS HELPED ESTABLISH THE UNITED NATIONS’ MISSION IN PROMOTING WORLD PEACE, FUNDAMENTAL HUMAN RIGHTS, AND INTERNATIONAL LAW. HE WAS IN CHARGE OF DEVELOPING THE GROWING UNITED NATIONS ORGANIZATION AND OF ESTABLISHING ITS HEADQUARTERS IN MANHATTAN. /
IN NORWAY LIE SERVED AS THE SECRETARY OF THE NORWEGIAN LABOR PARTY IN THE 1920S, MINISTER OF JUSTICE IN THE 1930S AND DURING WORLD WAR II AS FOREIGN MINISTER OF THE EXILED NORWEGIAN GOVERNMENT IN LONDON. HE SERVED AS NORWEGIAN MINISTER OF INDUSTRY AND MINISTER OF TRADE AND SHIPPING IN THE 1960S. /
THE PEACE CLOCK, 2015 /
LINA VISTE GRØNLI /
THIS ARTWORK COMMEMORATES TRYGVE LIE’S LIFE AND LEGACY AND CONNECTS HIS ASPIRATION FOR PEACE WITH THE ONGOING WORK OF THE UNITED NATIONS, LOCATED ACROSS FIRST AVENUE. THE ABSTRACT KINETIC SCULPTURE FUNCTIONS AS A CLOCK WHOSE HANDS, TWICE A DAY, ASSUME THE POSITION OF THE PEACE SIGN. /
COMMISSIONED BY THE CITY OF NEW YORK’S DEPARTMENT OF CULTURAL AFFAIRS PERCENT FOR ART PROGRAM AND DEPARTMENT OF PARKS AND RECREATION, AND THE GOVERNMENT OF NORWAY. /
THE CITY OF NEW YORK THANKS THE FOLLOWING DONORS: /
DNB BANK • FORD FOUNDATION • GOVERNMENT OF NORWAY • INTERNATIONAL PEACE INSTITUTE/ RAGNAR MEYER KNUTSEN • NORDEA BANK • NORDIC AMERICAN TANKERS LTD /
STEIN ERIK HAGEN ALLMENNYTTIGE • AGNES E. WERRING AND PETTER F. NESLEIN /
ARTHUR W. ZECKENDORF • GURI LIE ZECKENDORF • LAURA AND WILLIAM LIE ZECKENDORF /",2716,,Brass,"Abstract, Clock",,2016,,Gronli,1334,,725 United Nations Plaza,,Artwork,,,40.748792,NY
Brooklyn,Brooklyn,Police Officer Jose A. Perez,,,,,Plaque,Prospect Park,,1.0,N,,1994,N,,"DEDICATED TO THE MEMORY / OF / P.O. JOSE A. PEREZ / WHO ON APRIL 27, 1994 / DIED IN THE LINE OF DUTY / WHILE PROTECTING THE / RESIDENTS OF BROOKLYN.",,,Bronze,"Police Officer, NYPD, law enforcement",,1994,,,1117,,Prospect Park West and 3rd Street,,Monument/Memorial,,,40.668250,NY
New York,Manhattan,Lieutenant Colonel Isaac Barre,Paul E. Cabaret & Co.,,,,Plaque,City Hall Park,,1.0,N,Paul,1925,N,,"IN MEMORY OF/ LIEUTENANT COLONEL ISAAC BARRE / BORN 1726 - DIED 1802 / AN ARDENT ADVOCATE OF AMERICAN LIBERTIES / WHO IN OPPOSING THE OPPRESSIVE STAMP ACT / IN THE BRITISH HOUSE OF COMMONS IN 1765 / DECLARED THAT: / ""THE AMERICANS ARE SONS OF LIBERTY"" / AND IN MEMORY OF / THE SONS OF LIBERTY / WHO ERECTED FIVE LIBERTY POLES SUCCESSIVELY / FROM 1766 TO 1776 / ON THE COMMON, NOW CITY HALL PARK / ERECTED BY / THE ELLEN HARDIN WALWORTH CHAPTER / DAUGHTERS OF THE AMERICAN REVOLUTION / 1925 /",1274,,"Bronze, granite","American Revolutionary War, Colonial, War",,1925,,Cabaret,122,,Broadway between Murray Street and Warren Street,,Monument/Memorial,,,40.713085,NY
New York,Manhattan,Fiorello H. La Guardia,,A. Ottavino Corp.,Ruth,,Statue,LaGuardia Houses,,20.0,Y,Neil,1994,N,,"Northwest tablet: BORN / DECEMBER 11, 1882 / IN GREENWICH VILLAGE / DIED / SEPTEMBER 20, 1947 / BURIED / IN WOODLAWN CEMETERY  / THE BRONX Front center tablet: THE SON OF IMMIGRANTS, FIORELLO LAGUARDIA WAS /THE FIRST ITALIAN-AMERICAN TO SERVE IN CONGRESS. HE DEVOTED HIS LIFE TO THE PUBLIC / INTEREST. HE / WAS A CHAMPION OF SOCIAL JUSTICE AND A / DEFENDER OF THE POOR AND THE OPPRESSED. FOUGHT AGAINST DISCRIMINATION AND CORRUPTION. AS MAYOR OF NEW YORK, HE WAS A LEADER IN / BUILDING THE MODERN METROPOLIS. HE GAVE THE / PEOPLE OF THIS CITY TWELVE YEARS OF HUMANE / AND PROGRESSIVE GOVERNMENT. HE WAS HONEST. / HE CARED. HE WAS BELOVED / HE SET THE STANDARD / FOR ALL OTHERS TO FOLLOW. Southwest tablet: U.S. CONGRESSMAN 1917-1919 / MAJOR, U.S. ARMY 1917-1918 / PRES. N.Y.C. BOARD OF ALDERMEN 1920-1921  / U.S. CONGRESSMAN 1923-1932 / MAYOR OF NEW YORK 1934-1945 Northeast tablet: NEIL ESTERN, SCULPTOR",2939,,"Bronze, granite","Mayor, politician, public servant",,1994,,Estern,533,,535 LaGuardia Place,,Monument/Memorial,,,40.728694,NY
New York,Manhattan,American Memorial to Six Million Jews of Europe,,,,,Tablet,Riverside Park,,2.0,N,,1947,N,,THIS IS THE SITE FOR / THE AMERICAN MEMO- / RIAL TO THE HEROES OF / THE WARSAW GHETTO / BATTLE APRIL-MAY 1943 / AND TO THE SIX MIL- / LION JEWS OF EUROPE / MARTYRED IN THE CAUSE / OF HUMAN LIBERTY,2875,,Granite,"Jewish, Holocaust, World War II",,1947,,,1254,,Riverside Drive and West 83rd Street,,Monument/Memorial,Warsaw Ghetto Memorial,,"40.788114,",NY
Woodside,Queens,Woodside Memorial,"Sheidow Bronze Co, Kingwood, West Virginia",Riley Brothers,Joseph,,"Stele, plaque",Woodside Memorial Park,,,N,,1971,N,,WOODSIDE MEMORIAL PARK / DEDICATED TO ALL MEMBERS / OF THE COMMUNITY WHO / MADE THE SUPREME SACRIFICE / FOR THE GOOD AND WELFARE / OF THEIR COUNTRY AND FOR / THE PEAE AND FREEDOM / OF MANKIND / THE WORLD WARS / KOREA AND VIETNAM,,,"Bronze, Impala black granite","World War I, World War II, Korean War, Vietnam War, War",,1971,,,,,Roosevelt Avenue and 60th Street,,Monument/Memorial,,,40.745303,NY
Bronx,Bronx,Bronx Archway,,,,,Installation,"161st Street Bridge, 161st Street & Concourse Village",,,N,Alison,2014,N,,,955,,"Stainless steel, LED lights",Abstract,,2014,,Sky,,,161st Street and the Grand Concourse,,Artwork,,,40.826786,NY
Brooklyn,Brooklyn,Edward Robinson Squibb,,,,,Plaque,Squibb Park,,25.0,N,Joseph,1959,N,,"EDWARD ROBINSON SQUIBB / 1819-1900 / SQUIBB PARK / THIS PARK IS NAMED IN HONOR OF / EDWARD ROBINSON SQUIBB, MD / ONE OF THE FOUNDERS OF MODERN / AMERICAN MEDICAL CHEMISTRY AND / PIONEER IN THE BUILDING OF A / PHARMACEUTICAL INDUSTRY IN THE / UNITED STATES. HIS FIRST SMALL / LABORATORY, OPENED IN 1858, WAS / LOCATED JUST A SHORT DISTANCE / FROM THIS SITE. /",3299,,Bronze,"Inventor, Physician",,1959,,DiLorenzo,208,,Squibb Park Bridge between Columbia Heights and Furman Street,,Monument/Memorial,,,40.701109,NY
Brooklyn,Brooklyn,Ulysses S. Grant,,,,,Bas-relief,Soldiers' and Sailors' Arch,,,N,Thomas,1901,N,William,W.R. O'DONOVAN / THOMAS EAKINS / SCULPTORS / 1893-4,"912, 1611",O'Donovan,Bronze,"American Civil War, President of the United States, War",,1894,,Eakins,,,Grand Army Plaza between Eastern Parkway and Union Street,,Monument/Memorial,,,40.673000,NY
Ozone Park,Queens,Corporal George J. Wellbrock Memorial,,"Geo. H. Noll & Son, Brooklyn, NY",,,Obelisk,Corporal George J. Wellbrock Triangle,,1.0,N,,1929,N,,"Main plaque: ERECTED BY THE MEMBERS OF THE / OXFORD CIVIC ASSOCIATION, INC. / AND FRIENDS OF THE BOYS / WHO MADE THE SUPREME SACRIFICE / IN THE GREAT WORLD WAR 1917-1918 / ERECTED 1929 / Small name plaques: GEORGE J. WELLBROCK / THOMAS HURLEY / JAMES G. GAFFNEY / LAWRENCE F. CONDON / HERMAN SELNER / VALENTINE E. GROSS / Small plaque at bottom: GEO. H. NOLL & SON / MEMORIALS / BROOKLYN, N.Y. /",,,"Georgia granite, flagstone, bronze","World War I, War",,1929,,,11473,,"Rockaway Boulevard, 106th Street & 109th Avenue",,Monument/Memorial,,,40.678870,NY
Brooklyn,Brooklyn,Edge of the Plant/Edge of the Neighborhood,,,,,Installation,Visitor Center at the Newtown Creek Water Treatment Plant,,1.0,N,Vito,2010,N,,,2421,,,Fountain,,2010,,Acconci,2525,,329 Greenpoint Avenue,,Artwork,,,40.731681,NY
New York,Manhattan,Chelsea Park Memorial,"Roman Bronze Works, New York",,Charles,,"Statue, plinth",Chelsea Park,,82.0,N,Philip,1921,N,,TO / THE SOLDIERS / AND SAILORS / OF CHELSEA / WORLD WAR / 1914 - 1918,1018,,"Bronze, granite","Doughboy, World War I, War",R.,1921,,Martiny,724,,303 9th Avenue,,Monument/Memorial,Doughboy,,40.749516,NY
New York,Manhattan,Arthur Ross Pinetum marker,Bronze Arts & Crafts Co.,,,,Plaque,Central Park,,1.0,N,,1973,N,,"THIS PINETUM / A GIFT TO THE CITY / FROM / AN INTERESTED CITIZEN / MAY, 1973/",,,"Bronze, boulder","Philanthropist, Environmentalist",,1973,,,1111,,Arthur Ross Pinetum,,Marker,,,40.783364,NY
New York,Manhattan,Deer,,,Aymar,,Bas-relief,Central Park Zoo,,1.0,N,Frederick,1935,N,,Signed: F.G.R. ROTH,,,Indiana limestone,"Animals, WPA",,1935,,Roth,1111,,Central Park Zoo,,Artwork,,,40.767411,NY
Bronx,Bronx,Genius of Administration,,,,,Sculpture,Bronx County Courthouse,,1.0,N,Edward,1934,N,,,1619,,Marble,"Allegorical, History, Law, Government",,1932,,Sanford,2468,,851 Grand Concourse,,Artwork,Triumph of Civic Administration,,40.825933,NY
Brooklyn,Brooklyn,The Navy: American Sailors At Sea Urged On By the Genius of Patriotism,"Thiebaut Freres, Paris; Henry-Bonnard Company, New York",,Stanford,,Relief,Soldiers' and Sailors' Arch,,,N,Frederick,1901,N,,,"912, 1611",,Bronze,"American Civil War , War",,1901,,MacMonnies,,,Grand Army Plaza between Eastern Parkway and Union Street,,Monument/Memorial,,,40.672982,NY
Forest Hills,Queens,Gerald MacDonald,,,Henry,,Statue,MacDonald Park,,,N,Frederic,1934,N,,CAPT. GERALD MACDONALD / MEMORIAL DEDICATED BY / FOREST HILLS POST NO. 630 / THE AMERICAN LEGION / TO THOSE WHO SERVED / IN WORLD WAR / 1934,1862,,"Bronze, granite","World War I, War",,1934,,De Henwood,,,Queens Boulevard and 70th Avenue,,Monument/Memorial,,,40.721970,NY
New York,Manhattan,Senator Robert F. Wagner,,,,,"Bust, stele",Wagner Playground,,110.0,N,Georg,1959,N,,"ROBERT F. WAGNER SR / 1877 1953 / ""THE PURSUIT OF HAPPI- / NESS REQUIRES MORE / THAN VERBAL AFFIR- / MATION - IT REQUIRES / DECENT HOUSING, FAIR / EMPLOYMENT AND / EQUAL OPPORTUNITIES / FOR ALL OUR CITIZENS"" /",3272,,"Bronze, granite","Bust, Politician, Senator, German",,1959,,Lober,1797,,Second Avenue and 120th Street,,Monument/Memorial,,,40.799642,NY
Long Island City,Queens,Sunbather,,,,,Sculpture,Jackson Avenue Streetscape,,,N,Ohad,2016,N,,,61,,"Cast bronze, auto body paint",Abstract,,2016,,Meromi,,,Jackson Avenue and 43rd Avenue,,Artwork,,,40.747612,NY
New York,Manhattan,Two To One,Scot Forge,,,,"Sculpture, bench",Museum of Arts and Design,,1.0,N,Tom,2014,N,,,3256,,Forged stainless steel,Abstract,,2014,,Joyce,1030,,2 Columbus Circle,,Artwork,,,40.767428,NY
Brooklyn,Brooklyn,John F. Kennedy Memorial,,,,,"Bust, pedestal",Grand Army Plaza,,,N,Neil,1965; 2010 (recast),N,,"Front: JOHN / FITZGERALD / KENNEDY/ MAY 29, 1917 / NOVEMBER 22, 1963 / 35TH PRESIDENT / OF THE / UNITED STATES / 1961-1963 / 

Base: ASK NOT WHAT YOUR / COUNTRY CAN DO FOR YOU; / ASK WHAT YOU CAN DO FOR / YOUR COUNTRY",1611,,"Bronze, granite","President of the United States, politician, public servant",,1965,,Estern,,,Grand Army Plaza,,Monument/Memorial,,,40.674263,NY
New York,Manhattan,U.S.S. Maine National Monument,,,Harold,,"Pylon, statue, frieze, plaque",Central Park,,1.0,N,Attilio,1913,N,Charles,"1) Front group, proper right: ATTILIO PICCIRILLI SCULPTOR /

2) Front group, proper left: HAROLD VAN BVREN MAGONIGLE FAIA ARCHITECT /

3) Front: TO / THE VALIANT SEAMEN / WHO PERISHED IN THE / MAINE / BY FATE UNWARNED / IN DEATH UNAFRAID /---/ MDCCCXCVIII / MCMXII /

4) Above rear group: TO THE FREEMEN / WHO DIED IN THE / WAR WITH SPAIN / THAT OTHERS / MIGHT BE FREE /---/ MDCCCXCVIII / MCMXII /

5) Below rear group: ERECTED THROUGH PUBLIC SUBSCRIPTION / BY THE NATIONAL MAINE MONUMENT COMMITTEE / JAMES GRANT WILSON --- CHAIRMAN / WILLIAM R HEARST --- GEORGE F SHRADY / JOHN W KELLER --- J EDWARD SIMMONS /

6) Plaque, proper right of rear group: IN MEMORY OF RT. REV. MSGR. JOHN P. CHIDWICK / CHAPLAIN IN CHIEF / UNITED SPANISH WAR VETERANS / CHAPLAIN, UNITED STATES NAVY, / IN SERVICE ON THE / BATTLESHIP MAINE / AT THE TIME OF HER DESTRUCTION. / DEDICATED BY / THE SPANISH WAR VETERANS / SEPTEMBER 15, 1935. /

7) Plaque, proper left of rear group: IN MEMORIAM /---/ U.S.S. MAINE / DESTROYED IN HAVANA HARBOR / FEBRUARY 15th 1898 / THIS TABLET IS CAST FROM METAL RECOVERED FROM THE U.S.S. MAINE /

8) Plaque, proper left of Pacific Ocean figure: ILLUMINATION PROVIDED / IN MEMORY OF / E. BARTLEY OSBORN / BY HIS LOVING WIFE / GLORIA / 1983 /",21,Keck,"Bronze, granite","Allegorical, Maritime, Spanish-American War, equestrian, War",Van Buren,1912,,Piccirilli,1111,,West 59th Street and Columbus Circle,,Monument/Memorial,The Maine Monument,,40.768222,NY
New York,Manhattan,Christopher Columbus,"Federicao Masriera, Fundador, Barcelona",,Napoleon,,Statue,Central Park,,1.0,N,Jeronimo,1894,N,,PRESENTED BY THE CITIZENS OF NEW YORK / IN COMMEMORATION OF THE / FOUR HUNDREDTH ANNIVERSARY / OF THE / DISCOVERY OF THE NEW WORLD / OCTOBER 1492,1177,,"Bronze, granite","Explorer, Italian, Colonialism",,1892,,Sunol,1111,,The Mall,,Monument/Memorial,,,40.769941,NY
New York,Manhattan,Union Square Park Labor & History Plaques,,,,,Plaque,Union Square Park,,2.0,N,Gregg,2002,N,,,4211,,Bronze,"Labor, Reformer",,2002,,LeFevre,845,,Between Union Square East and Union Square West from E 4th to E 17th Street,,Artwork/Marker,,,40.735750,NY
New York,Manhattan,Voice IV,"Soapstone Studios, Brooklyn, NY","Soapstone Studios, Brooklyn, NY",,,Sculpture,West Harlem Piers,,92.0,N,Nari,2009,N,,,6482,,Stainless steel,"Abstract, African American, Black American, Black History, Mosaic",,2008,,Ward,2004,,Hudson River between 132nd Street and 133rd Street,,Artwork,,,40.820217,NY
Bronx,Bronx,Amorphophallus Titanum,,,,,Sculpture,New York Botanical Garden,,1.0,N,Tom,2005,N,,,1950,,Bronze,"Nature, Garden",,2005,,Otterness,4336,,Nolen Greenhouses,,Artwork,,,40.857234,NY
Staten Island,Staten Island,Washington Kill Von Kull Monument,,,,,Plaque,Faber Park,,34.0,N,,1932,N,,"IN HONOR OF / GEORGE WASHINGTON / WHO SAILED THROUGH THE KILL VON KUL L/ PAST THIS SPOT ON HIS WAY FROM / ELIZABETHTOWN TO NEW YORK CITY / APRIL 23, 1789 / FOR HIS INAUGURATION AS / PRESIDENT OF THE UNITED STATES / ERECTED BY THE STATEN ISLAND CHAPTER / DAUGHTERS OF THE AMERICAN REVOLUTION / IN RECOGNITION OF THE BICENTENNIAL OF THE / BIRTH OF / GEORGE WASHINGTON / NOVEMBER 6, 1932",1716,,Tablet: Bronze (missing as of 2020); Natural Boulder,"Colonial, President of the United States",,1932,,,1070,,Richmond Terrace and North Street,,Marker,,,40.640563,NY
New York,Manhattan,Community Island Pond,,,,,Installation,East River Greenway,,18.0,N,Carl,2001,N,,,5467,,Steel,Maritime,,2000,,Cheng,36,,South Street between Wall Street and Gouverneur Lane,,Artwork,,,40.703790,NY
New York,Manhattan,Reunion,,,James,,"Decorative pavement, mosaic",Police Plaza Path,,1.0,N,Valerie,1989,N,,,3747,,Brick,Mosaic,F.,1989,,Jaudon,121,,1 Centre Street,,Artwork,,,40.712778,NY
Bronx,Bronx,Louis J. Heintz Memorial,"Aubry Bros., Founders NY",,William,,Sculpture,Joyce Kilmer Park,,1.0,N,Pierre,1909,N,,"Plinth (proper left): PIERRE FEITU NY 1909 /

Plinth (proper right): AUBRY BRO'S FOUNDERS N.Y. /

Pedestal (front): LOUIS J. HEINTZ / 

Pedestal (front, words being written by figure of Fame): TO COMMEMORATE / THE FOUNDING OF / THE PROGRESS AND / PROSPERITY OF THE / BRONX /

Plaque (rear): JOHN J. RONNER / JOHN H. KNOPPEL / WILLIAM G. MC CREA / LOUIS A. RISSE / LOUIS F. FAFFEN / ADOLPH C. HUPFEL / MATHEW P. BREEN / HENRY C. SCHRADER / ARTHUR C. BUTTS / 1905 /","386, 1982",,"Bronze, Somesound granite","Civil servant, businessman, Urban planning, Department of Street Improvements",Welles,1905,,Feitu,2469,,Walton Avenue and East 161st Street,,Monument/Memorial,,,40.828035,NY
New York,Manhattan,Admiral David Glasgow Farragut,Adolphe Gruet,,Stanford,,"Statue, exedra, bas-relief",Madison Square Park,,1.0,N,Augustus,1881,N,,Center: DAVID GLASGOW / FARRAGUT West exedra: THAT THE MEMORY OF A / DARING AND SAGACIOUS COMMANDER AND / GENTLE GREAT-SOULED MAN WHOSE LIFE FROM CHILD- / HOOD WAS GIVEN TO HIS COUNTRY BUT WHO / SERVED HER SUPREMELY IN THE WAR / FOR THE UNION MDCCCLX I - MDCCCLXV / MAY BE PRESERVED AND / HONORED AND THAT THEY WHO COME AFTER / HIM AND WHO WILL OWE HIM SO MUCH MAY / SEE HIM AS HE WAS SEEN BY FRIEND AND / FOE HIS COUNTRYMEN HAVE SET UP / THIS MONUMENT AD MDCCCLXXXI. East exedra: BORN NEAR KNOXVILLE TENNESSEE / JULY V MDCCCI MID- / SHIPMAN MDCCCX BATTLE OF ESSEX / AND PHOEBE MARCH XXVIII MDCCCXIV / LIEUTENANT MDCCCXXV COMMAND- / ER MDCCCXLI CAPTAIN MDCCCLV / BATTLE OF NEW ORLEANS APRIL / XXV MDCCCLXII REAR ADMIRAL / MDCCCLXII BATTLE OF MOBILE BAY AUGUST / V MDCCCLXIV VICE ADMIRAL DECEMBER XX III MDCCCLXIV FIRST ADMIRAL OF THE UNITED STATES OF AMERICA JULY XXVI MDCCCLXVI DIED AT PORTSMOUTH NEW HAMPSHIRE AUGUST XIV MDCCCLXX Bronze crab: AUGUSTUS SAINT GAUDENS SCULPTOR / STANFORD WHITE ARCHITECT,"439, 1945",,Bronze sculpture on granite pedestal,Military,,1880,,Saint-Gaudens,852,,428 Madison Square North,,Monument/Memorial,,,"40.742762,",NY
Staten Island,Staten Island,New Brighton War Memorial,,,,,"Flagstaff base, plaque",North Shore Esplanade Park,,599.0,N,,1953,N,,"THIS TABLET HAS BEEN ERECTED / TO HONOR THE MEN AND WOMEN / OF NEW BRIGHTON WHO ANSWERED / THEIR COUNTRY'S CALL IN /WORLD WAR II 1941-1945 / DEDICATED BY / DONEGAN-MCGINLEY-LANDY POST NO. 1366 / THE AMERICAN LEGION / JULY 4, 1953.",2815,,"Bronze, granite","World War II, War",,1952,,,2,,Richmond Terrace between St. Peters Place and Nicholas Street,,Monument/Memorial,,,40.647986,NY
New York,Manhattan,Claremont Inn Marker,,,,,Plaque,Riverside Park,,1.0,N,,1952,N,,SITE OF THE CLAREMONT INN / ERECTED IN 1788 AS A RESIDENCE / THE BUILDING BECAME A PUBLIC / TAVERN BEFORE THE CIVIL WAR. / IT WAS ACQUIRED BY THE CITY / IN 1878 AND WAS OPERATED AS A / RESTAURANT UNTIL ITS DEMOLITION / IN 1950,,,Deer Isle granite,Landmark,,1952,,,1897,,Riverside Drive and 123rd Street,,Marker,,,40.815433,NY
New York,Manhattan,José Julián Martí,"Domico Scoma Bronze Works, Queens, NY",,,,Statue,Central Park,,1.0,N,Anna,1965,N,,"South side: JOSE MARTI

East side: APOSTOL DE LA INDEPENDENCIA / DE CUBA GUIA DE LOS PUEBLOS / AMERICANOS Y PALADIN DE LA / DIGNIDAD HUMANA SU GENIO / LITERARIO RIVALIZA CON SU / CLARIVIDENCIA POLITICA NACIO / EN HABANA EL 28 DE ENERO DE / 1853. VIVIO QUINCE ANOS DE SU / DESTIERRO EN LA CIUDAD DE NUEVA / YORK MURIO EN EL COMBATE DE / DOS RIOS PROVINCIA DE ORIENTE / EL 19 DE MAYO DE 1895.

West side: APOSTLE OF CUBAN INDEPENDENCE / LEADER OF THE PEOPLES OF AMERICA / AND DEFENDER OF HUMAN DIGNITY / HIS LITERACY GENIUS VIED WITH HIS / POLITICAL FORESIGHT. HE WAS BORN / IN HAVANA ON JANUARY 28, 1853 / FOR FIFTEEN YEARS OF HIS EXILE HE LIVED IN THE CITY OF NEW YORK. / HE DIED IN ACTION AT DOS RIOS IN / ORIENTE PROVINCE ON MAY 19, 1895.","2773, 3190",,"Bronze, dark Barre granite","Equestrian, Cuban, Journalist, Caribbean, Author, philosopher, Latinx, Latin American",,1959,,Huntington,1111,,Avenue of the Americas and West 59th Street,,Monument/Memorial,,,40.766056,NY
New York,Manhattan,Grand Street Boys War Tablet,,U.S. Bronze Sign Company,,,"Plaque, plinth",Sherman Square,,,N,,1954,N,,"A TRIBUTE TO THOSE / WHO GAVE THEIR LIVES / THAT WE MAY LIVE / IN FREEDOM / GRAND STREET BOYS POST NO. 1025 / AMERICAN LEGION/ NOVEMBER 11, 1954",3038,,"Bronze, granite","World War I, World War II, War",,1954,,,,,Broadway and 70th Street,,Monument/Memorial,,,40.777348,NY
Brooklyn,Brooklyn,Abraham Lincoln,,,John,,Relief,Soldiers' and Sailors' Arch,,,Y,Thomas,1901,N,William,"W.R. DONOVAN/ THOMAS EAKINS/
SCULPTORS/ 1893-4","912, 1611",O'Donovan,Bronze,"American Civil War, President of the United States, equestrian, War",Hemingway,1894,,Eakins,,,Grand Army Plaza,,Monument/Memorial,,,40.672987,NY
New York,Manhattan,Jane Addams,,,,,Plaque,City Hall Park,,1.0,N,,1935,N,,"TO COMMEMORATE THE SEVENTY FIFTH BIRTHDAY OF / JANE ADDAMS / SEPTEMBER 6, 1935 / THE FOUNDER OF WOMEN’S INTERNATIONAL LEAGUE FOR / PEACE AND FREEDOM / 1860-1935",,,Bronze,"Women, Reformer, Activist, woman",,1935,,,122,,Broadway and Chambers Street,,Monument/Memorial,,,40.713825,NY
Brooklyn,Brooklyn,Dr. Alexander J.C. Skene,,,,,"Bust, pedestal, stele",Grand Army Plaza,,,N,John,1905,N,,"(ON STELE)
""ALEXANDER J. C. SKENE / M.D.[---]LL.D./ PHYSICIAN [---] AUTHOR / PRESIDENT / DEAN AND / GYNECOLOGIST / OF THE LONG / ISLAND COLLEGE / HOSPITAL""

(ON BUST)
""SKENE""

(ON PEDESTAL)
""FYVIE / ABERDEENSHIRE / SCOTLAND / 1838 / HIGHMOUNT / ULSTER CO. N. Y. / 1900""",141,,"Bronze, marble",Physician,,1905,,Rhind,,,Grand Army Plaza between Vanderbilt and Flatbush Avenue,,Monument/Memorial,,,40.674940,NY
