total_changes,pid,date_reported_as_of,design_start,description,latest_budget_changes,forecast_completion,managing_agency,changes,client_agency,budget_forecast
639.0,1901-11-19,2020-05-01,2017-08-01T00:00:00.000,The design and construction of shoreline reconstruction projects necessary to provide Citywide protection from future flooding caused by elevated seal elvels.,0.0,2022-12-31,EDC,0.0,ORR,89152926.86
732.0,1903-06-05,2023-01-01,2017-01-17T00:00:00.000,"NEW STORM SEWERS IN KING STREET BETWEEN PRESTON AVE AND RIDGECREST AVE, ETC., STATEN ISLAND",0.0,2028-08-25,DDC,-1094000.0,Environmental Protection,80786000.0
1628.0,1900-04-23,2016-06-01,2011-02-14T00:00:00.000,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,-750006.0,2019-07-03,DOT,2036997.0,DOT,52342089.93
1949.0,1900-12-12,2023-01-01,2012-01-17T00:00:00.000,"Project 2 Scope: Refurbishment of the existing pier building including: repair of existing pier structure including pile caps and fendering; construction of new emergency generator, electrical, mechanical, fire pump and fire valve rooms; new exit passageway construction and existing exit passageway refurbishment; re-arrangement and refurbishment of the Operations Building interiors; replacement of fire suppression system throughout the entire pier structure; mechanical, electrical and plumbing system upgrades; refurbishment and painting the existing pier interior steel framing and wall/roof surfaces; recoating the  structure's exterior cladding systems including metal wall and roof  panel system and translucent panel wall cladding system.",0.0,2023-05-31,DDC,126753576.46,Sanitation,187830576.46
434.0,1903-02-26,2022-09-01,2019-01-18T00:00:00.000,,212000.0,2025-01-07,DDC,13113000.0,Fire,44126000.0
1840.0,1902-09-07,2020-10-01,,,,,DDC,47223000.0,Transportation,
1110.0,1902-01-18,2022-09-01,2017-09-18T00:00:00.000,Feasibility Study for the repair and or restoration for Porpoise (Tide Gate)  Bridge in Flushing Meadows Corona Park.,1020000.0,2026-08-12,DDC,82000.0,Transportation,64999000.0
727.0,1902-01-31,2020-10-01,,,,,DDC,33852900.86,Police,
2032.0,1901-02-06,2021-07-01,,"The EPIC - EMR Program: Electronic Medical Records (EMR) System - a single enterprise-wide EMR to meet the needs of HHC's expansive size and improve patient care will replace the legacy EMR - QuadraMed, which is over 25 years old.",0.0,2022-12-31,HHC,15184947.0,H+H,764063231.0
897.0,1902-01-16,2019-01-01,2012-05-23T00:00:00.000,Croton Above Ground Structure And Water Management Systems,51416000.0,2021-03-18,DDC,75117000.0,Environmental Protection,110202000.0
516.0,1902-08-05,2021-03-01,2019-09-03T00:00:00.000,"Reconstruction of main sewage pumps and ancillary components including suction valves, suction piping, seal water system, pressure gauges, suction header, etc. New MSP's should meet the new design parameter of N+2 redundancy during wet weather flow",0.0,2026-02-23,DEP,26923720.62,DEP,48010068.39
2.0,1903-04-30,2023-01-01,2015-12-24T00:00:00.000,Reconstruction of Clearview Pump Station,0.0,2024-12-05,DEP,802582.0,BWT,37027687.85
612.0,1902-10-11,2021-07-01,2019-05-29T00:00:00.000,"This project will construct Grant Park, including converting the roadbed to recreational space.",0.0,2024-02-08,DPR,1489000.0,DPR,32590000.0
1533.0,1901-05-24,2021-12-01,2017-03-31T00:00:00.000,"Brooklyn Supreme Court, Fire Alarm, Sprinkler, 360 Adams Street - New addressable fire detection and alarm system and new sprinkler system.",0.0,2026-03-30,DDC,47003000.0,DCAS,90161000.0
365.0,1902-08-06,2021-12-01,2017-11-17T00:00:00.000,NEW SCHOOL (PHASE II),0.0,2023-09-03,SCA,-221356.0,DOE,66058403.0
1113.0,1901-02-08,2016-11-01,2004-03-18T00:00:00.000,"Gilboa Dam Reconstruction Project includes construction of a new low level outlet (LLO) consisting of 2,000 feet of tunneling, an access shaft, oulet structure and gate valve controls.",4173812.3,2020-07-27,DEP,10376533.49,DEP,205536850.3
-8.0,1900-07-24,2020-05-01,,,,,DDC,62973000.0,Trans. & Env. Protection,
2445.0,1901-03-19,2017-04-01,2014-06-17T00:00:00.000,Reconstruction of the Port Jervis WWTP as required based on the effluent limits proposed by the Delaware River Basin Commission (DRBC),-149079.0,2021-03-26,DEP,9428438.55,DEP,56470712.0
708.0,1902-10-27,2021-03-01,2017-08-15T00:00:00.000,"This project will reconstruct the deteriorated fixed piers, floating docks, bulkhead, and related components, including Sandy-damaged elements.",2067781.02,2024-10-27,DPR,4947362.68,DPR,48487000.0
56.0,1903-07-13,2022-09-01,2021-04-14T00:00:00.000,"The repair of 1,570 piles, concrete pile caps and beams in advanced/severe condition. The repairs will be addressed in three phases through year 2028. There will be additional Design for future phases, Phase I design dates are captured below.",,2027-08-01,EDC,-119030592.92,DSNY,121736671.0
921.0,1901-12-21,2019-01-01,2018-11-01T00:00:00.000,SMLP portion for Red Hook WRRF as part of the New York City Wastewater Resiliency Program.,176565.89,2021-06-23,DEP,13549422.97,DEP,34621097.86
2797.0,1900-04-15,2017-04-01,2005-04-01T00:00:00.000,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",-1084088.92,2020-11-13,DOT,39724388.0,DOT,168597456.72
365.0,1902-08-27,2020-05-01,2018-09-10T00:00:00.000,ADDITION,0.0,2022-09-03,SCA,2268625.0,DOE,54584235.0
2266.0,1901-01-04,2022-04-01,2014-11-24T00:00:00.000,"72"" Trunk Water Main and Combined Sewer Replacement in Flatbush Ave. between Sterling Pl. and 8th Ave., etc., Borough of Brooklyn.",1555000.0,2023-09-29,DDC,39272000.0,Environmental Protection,57915000.0
1816.0,1901-05-16,2016-11-01,2016-08-30T00:00:00.000,Repair the northbound FDR from East 42nd to 49th Streets.,11843670.39,2025-04-01,DOT,-2802822.0,DOT,109356670.39
1553.0,1902-04-29,2019-01-01,2018-01-22T00:00:00.000,"Installation of new building wide fire alarm, sprinkler distribution and BMS system throughout building.",2174985.4,2022-09-30,DDC,17827000.0,DCAS,41516985.4
402.0,1902-11-15,2023-01-01,2022-01-31T00:00:00.000,"Rehabilitation of Hempstead Avenue Bridge over Cross Island Parkway (Service Road), In Borough of Queens",-1125000.0,2030-07-07,DOT,597042.0,DOT,32618042.0
972.0,1902-04-24,2021-12-01,2019-07-01T00:00:00.000,"Roadway reconstruction including new sewers, water main, street lighting and traffic signals: Columbia Street south of Hamilton Avenue.",280000.0,2025-07-14,DDC,6730000.0,Transportation,116944000.0
1448.0,1901-04-20,2019-01-01,2016-07-19T00:00:00.000,"Reconstruction of Service Roads and milling and resurfacing of the main roadways on Grand Concourse from E175 Street to E Fordham Road, including median works and ped refuges.",1415000.0,2022-08-30,DDC,57634000.0,Transportation,79011000.0
642.0,1901-10-12,2020-10-01,,,,,DDC,41243000.0,Environmental Protection,
366.0,1903-03-08,2021-12-01,2014-02-04T00:00:00.000,"Total reconstruction of two street grids in South Jamaica approximately bounded by Sutphin Boulevard, 109th Avenue, 155th Street and Linden Boulevard, and by 157th Street, 111th Avenue, Beddell Street and 116th Avenue.",-5000.0,2026-02-09,DDC,1360000.0,Transportation,56386000.0
1977.0,1901-05-23,2019-05-01,2016-07-27T00:00:00.000,Relocation of Brooklyn Civil and Housing Court to 210 Joralemon St,-8302000.0,2023-03-17,DCAS,200931011.96,DCAS,251443000.0
2180.0,1901-03-07,2018-03-01,2012-07-10T00:00:00.000,Construction of a new storm sewer in 20th Avenue between 126th Street and US Bulkhead.,0.0,2021-06-29,DDC,117177000.0,Environmental Protection,126274000.0
2252.0,1900-09-23,2020-10-01,,Upgrade and enhancement of emergency technology infrastructure to improve interoperability and coordination among public safety agencies and improve call processing time to decrease overall response times.,27982408.0,2021-07-31,DOITT,73735148.87,"FDNY, NYPD",2292599098.73
646.0,1902-09-25,2020-05-01,,,,,DDC,-158027000.0,Environmental Protection,
1172.0,1902-09-11,2019-09-01,2019-08-17T00:00:00.000,"Reconstruction of Beard Street in the Red Hook neighborhood of Brooklyn, including raising the streets, reconstruction of roadway, curbs and sidewalk, and installing a new bulkhead and floodwall along the waterfront. The reconstruction/raising for Beard Street will cover two blocks (Van Brunt St. to Dwight St).",,2024-02-14,DDC,86623000.0,Transportation,97486000.0
549.0,1900-04-03,2016-11-01,2014-09-15T00:00:00.000,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,3234000.0,2020-03-16,DOT,-238419180.0,DOT,350642272.61
1630.0,1902-04-26,2019-05-01,2018-10-09T00:00:00.000,SOUTHEAST QUEENS PRIORITY GRIDS - GROUP 2,25549000.0,2024-07-10,DDC,14480000.0,Transportation,44050000.0
1834.0,1902-03-03,2021-07-01,2018-05-14T00:00:00.000,"SEWER WHEN & WHERE CONTRACT IN South East Queens.  NEW STORM SEWER CONSTRUCTION, REPLACEMENT OR UPGRADES TO SANITARY SEWERS AND WATER MAIN IN PROJECT AREAS.  GREEN INFRASTRUCTURE PROJECTS IN CONJUNCTION WITH WHEN & WHERE PROJECTS.",5160000.0,2024-08-23,DDC,7404000.0,Environmental Protection,36060000.0
1290.0,1901-07-27,2018-03-01,2016-06-08T00:00:00.000,"This project is construction of infrastructure and streetscape improvements in Sunset Park from 37th to 43rd Streets, between the Gowanus Expressway and the waterfront - to activate the waterfront and promote future development.",0.0,2021-05-30,EDC,31633941.69,Mayor's Office,37500000.0
366.0,1902-10-24,2020-01-01,2019-01-29T00:00:00.000,ADDITION/WORK IN SUPPORT OF ADDITION/FIRE ALARM SYSTEM,,2023-09-03,SCA,5307201.0,DOE,84400494.0
2869.0,1900-06-28,2017-04-01,2002-02-20T00:00:00.000,"Reconstruction of Pelham Parkway from the Bronx River Parkway to the Hutchinson River Parkway, including the north service road from Bronx Park East to Eastchester Road.",3677000.0,2018-06-16,DDC,125164000.0,Transportation,134439000.0
59.0,1903-07-19,2022-09-01,2020-08-20T00:00:00.000,PS-BX - Reconstruction of 233rd Street and 154th Street PSs,,2027-02-18,DEP,4295639.0,BWT,54109384.0
1712.0,1901-02-26,2016-01-01,2013-07-01T00:00:00.000,This project will replace the 10 existing pump and blower engines with electric motors for the main sewage pumps and a new cogeneration facility consisting of 5 new dual fuel engines and electrical service distribution upgrades.,25318057.0,2021-01-26,DEP,134242052.88,DEP,220178933.0
1238.0,1902-02-22,2021-03-01,,,,,DDC,155854000.0,Environmental Protection,
2315.0,1901-09-10,2019-09-01,2016-10-26T00:00:00.000,Vision Zero - Queens Boulevard - Segment 2: 73rd Street to Eliot Avenue. Variety of safety and streetscape improvements including partial street reconstruction and resurfacing to address roadway conditions,0.0,2026-05-14,DDC,14201000.0,Transportation,71692000.0
-30.0,1903-06-30,2023-01-01,2021-11-24T00:00:00.000,Hudson River Drainage Chamber Rehabilitation,0.0,2028-03-01,DEP,502287.0,DEP,55214556.33
1113.0,1901-02-08,2020-10-01,2004-03-18T00:00:00.000,"Gilboa Dam Reconstruction Project includes construction of a new low level outlet (LLO) consisting of 2,000 feet of tunneling, an access shaft, oulet structure and gate valve controls.",68983.59,2022-04-01,DEP,10376533.49,DEP,204702947.77
1696.0,1901-09-30,2018-03-01,2013-01-23T00:00:00.000,"Renovation of 3 floors for new office space for the Landmarks Commission, as well as new public hearing room.",0.0,2019-04-19,DDC,35010000.0,DCAS,31529000.0
2869.0,1900-06-28,2022-04-01,2002-02-15T00:00:00.000,Pelham Pkwy main road  W/B from Bronx River Pkwy to Hutchinson River Pkwy    Pelham Pkwy North Service Rd. (S/R) from Bronx Park East to Eastchester Rd.    Stillwell Ave from westbound mainline to north service road,2617000.0,2023-12-22,DDC,125164000.0,Transportation,158429000.0
110.0,1902-06-11,2022-04-01,2019-06-20T00:00:00.000,"Bronx Animal Care Center & Veterinary Clinic is a new 50,000 SF facility that will be housing admissions, adoptions, medical services, and boarding for approximately 70 dogs, 140 cats, 30 rabbits and 20 animals or other species. In addition to the animal housing, the Bronx Animal Care Center will include a wildlife area to rehabilitate wild birds, academic partnership for youth, and enhanced senior services. Site work will include yards to facilitate dog adoptions, covered exercise runs, courtyards, and parking for staff, visitors, and center vehicles, as well as site lighting and low maintenance planting throughout. The building and associated landscape are to achieve LEED Silver standards or higher.",250000.0,2025-02-15,DDC,24815617.0,Health,92103000.0
1155.0,1902-02-26,2018-03-01,2016-08-31T00:00:00.000,"COMBINED SEWER IN 70TH STREET, QUEENS",,2020-06-11,DDC,94201000.0,Environmental Protection,37957000.0
727.0,1902-01-31,2019-05-01,2017-09-14T00:00:00.000,Construction of a new precinct station house facility and associated site work for the new 116th Precinct.,-2521483.0,2022-04-05,DDC,33852900.86,Police,94557000.0
-78.0,1901-12-30,2020-10-01,,,,,DDC,-623757.91,Libraries-QBPL,
1949.0,1900-12-12,2021-12-01,2012-01-17T00:00:00.000,"Project 2 Scope: Refurbishment of the existing pier building including: repair of existing pier structure including pile caps and fendering; construction of new emergency generator, electrical, mechanical, fire pump and fire valve rooms; new exit passageway construction and existing exit passageway refurbishment; re-arrangement and refurbishment of the Operations Building interiors; replacement of fire suppression system throughout the entire pier structure; mechanical, electrical and plumbing system upgrades; refurbishment and painting the existing pier interior steel framing and wall/roof surfaces; recoating the  structure's exterior cladding systems including metal wall and roof  panel system and translucent panel wall cladding system.",-93915288.23,2022-02-28,DDC,126753576.46,Sanitation,93915288.23
2869.0,1900-06-28,2019-09-01,2002-02-15T00:00:00.000,Pelham Pkwy main road  W/B from Bronx River Pkwy to Hutchinson River Pkwy    Pelham Pkwy North Service Rd. (S/R) from Bronx Park East to Eastchester Rd.    Stillwell Ave from westbound mainline to north service road,5487000.0,2023-03-31,DDC,125164000.0,Transportation,150046000.0
156.0,1902-12-17,2022-04-01,2019-02-01T00:00:00.000,This project will stabilize and reconstruct portions of the East River Esplanade.,0.0,2024-11-23,DPR,0.0,DPR,29475000.0
1720.0,1901-08-10,2019-01-01,2017-10-05T00:00:00.000,"Replace the East 156th Street bridge over Access to Housing, Bronx.",0.0,2027-10-09,DOT,-363846.0,DOT,65500000.0
916.0,1902-09-03,2021-12-01,2018-07-27T00:00:00.000,"The Brownsville Library is a comprehensive interior/exterior renovation and addition which includes new fire alarm/BMS, new interior layout, new HVAC, new accessible restrooms, exterior rehabilitation and landscape.",-116000.0,2026-07-02,DDC,6752000.0,Libraries-BPL,31899000.0
362.0,1901-08-21,2022-04-01,2018-08-15T00:00:00.000,"Scope includes paint the south side of the bridge, repair flags and structural steel, evaluate PP20 Bearings, evaluate tension rods at mid-span of the bridge, repair bridge cables and suspenders, replace modular joint, investigate the feasibility of additional clearance at towers, and resurface bridge decks with new waterproofing membrane.",-6832000.0,2026-04-21,DOT,52784947.0,DOT,207382567.0
0.0,1903-07-02,2022-09-01,2022-03-01T00:00:00.000,Reconstruction of the Main Sewage Pumps System at Owls Head WRRF,516777.43,2030-06-13,DEP,32731384.43,DEP,223426777.43
1.0,1902-06-27,2022-04-01,2019-01-01T00:00:00.000,"The construction of an approximately 230,000 sq ft municipal Public Health Lab building for DOHMH.",19334959.71,2025-01-01,EDC,19334959.71,DOHMH,633132280.0
663.0,1902-06-19,2023-01-01,2019-08-20T00:00:00.000,CITYWIDE FUEL TANK REPLACEMENT PROGRAM FOR NEW 2015 EPA PETROLEUM BULK STORAGE REGULATIONS,0.0,2025-01-22,DDC,-1834000.0,DCAS,25666000.0
-1.0,1903-03-20,2023-01-01,2018-04-25T00:00:00.000,"RECONSTRUCTION OF GREENWICH STREET FROM BARCLAY STREET TO CHAMBERS STREET, MANHATTAN",0.0,2024-11-06,DDC,4449000.0,Transportation,36251000.0
1517.0,1901-04-22,2022-09-01,2015-06-19T00:00:00.000,"Project to ensure the reliability of the 74 mile upper Catskill Aqueduct, including replacement of mechanical components, leak mitigation, and biofilm removal/condition assessment.",-2000000.0,2022-11-15,DEP,9642889.68,DEP,242269503.18
1389.0,1901-12-20,2020-01-01,2017-08-18T00:00:00.000,RECONSTRUCTION OF SEA WALL AND DOCK AT OWLS HEAD WWTP,403414.0,2023-02-22,DEP,10985726.8,DEP,63726414.0
1389.0,1901-12-20,2019-05-01,2017-08-18T00:00:00.000,RECONSTRUCTION OF SEA WALL AND DOCK AT OWLS HEAD WWTP,3451430.0,2021-11-08,DEP,10985726.8,DEP,63323000.0
1415.0,1902-01-10,2018-08-01,2016-12-16T00:00:00.000,Reconstruction of Arthur Kill Road From Clark Avenue to Richmond Avenue including widening of roadway,2101000.0,2023-03-13,DDC,22503000.0,Transportation,39897000.0
639.0,1901-11-19,2019-09-01,2017-08-01T00:00:00.000,The design and construction of shoreline reconstruction projects necessary to provide Citywide protection from future flooding caused by elevated seal elvels.,28730525.86,2022-12-31,EDC,0.0,ORR,89152926.86
-388.0,1900-06-18,2021-07-01,2012-12-03T00:00:00.000,"Reconstruction of Bergen Avenue Area, including Storm Sewers, Water Mains, Street Lighting, Traffic Signal  Work, and reconstruction of new outfall at East Mill Basin.",-8446000.0,2023-06-24,DDC,45837000.0,Transportation,81937000.0
711.0,1901-09-25,2021-07-01,2014-09-30T00:00:00.000,"Design and build a new Police Precinct with full basement totaling 43,000 sq. ft. on an existing City owned property in the Bronx.",3453000.0,2022-10-13,DDC,26020000.0,Police,80753000.0
0.0,1903-03-15,2022-09-01,2016-04-27T00:00:00.000,INSTALLATION OF EAST SIDE COASTAL RESILIENCY (ESCR) PROJECT AREA 2 FROM EAST 15TH STREET TO EAST 25TH STREET,10000.0,2024-10-13,DDC,448000.0,Parks & Recreation,217345000.0
925.0,1901-09-22,2019-09-01,,,,,DDC,1921000.0,Environmental Protection,
1712.0,1901-02-26,2018-08-01,2013-07-01T00:00:00.000,"This project will remove the 10 existing pump and blower engines and add electric motors for the main sewage pumps, a new cogeneration facility consisting of 5 new dual fuel engines,  electrical service upgrades and flood protection.",-15131991.0,2022-05-22,DEP,134242052.88,DEP,218296715.0
1238.0,1902-02-22,2020-05-01,,,,,DDC,155854000.0,Environmental Protection,
737.0,1903-05-21,2022-09-01,2019-08-27T00:00:00.000,79TH STREET CROSSTOWN SELECT BUS SERVICE - BOROUGH OF MANHATTAN,470000.0,2028-06-25,DDC,3370000.0,Transportation,67303000.0
1840.0,1902-09-07,2023-01-01,2016-12-15T00:00:00.000,PRELIMINARY AND FINAL DESIGN SERVICES FOR RECONSTRUCTION OF WESTBOURNE NORTON DRIVE.   BOROUGH OF QUEENS,28000000.0,2029-09-26,DDC,47223000.0,Transportation,92665000.0
636.0,1902-12-08,2022-09-01,2020-01-06T00:00:00.000,Hill Dr (Terrace Br) over Prospect Park Lake,-27845976.0,2028-12-06,DOT,-785268.0,NYC Parks,0.0
813.0,1902-04-28,2022-04-01,2016-09-30T00:00:00.000,"High Level Storm and Combine Sewer installation and Water Main replacement in Gowanus Canal Area Phase-2, Brooklyn.",1404000.0,2022-11-23,DDC,8657000.0,Environmental Protection,42105000.0
1908.0,1901-08-06,2021-03-01,,,,,DOT,33135732.1,DOT,
3253.0,1900-07-11,2021-12-01,2012-06-07T00:00:00.000,Reconstruction DUMBO/Vinegar Hill Area including Trunk and Distribution water main replacement; Installation of HLSS and Combined Sewer replacement; Restoration of Belgian block in Water Street; Street lighting and Traffic Signal work.,12000.0,2024-06-04,DDC,96724000.0,Transportation,129480000.0
604.0,1902-03-11,2020-10-01,2000-07-10T00:00:00.000,Rehabilitate the W. 79th St Bridge over Amtrak and Rotunda Complex,2451950.0,2025-06-01,DOT,-51088528.0,"DOT, DPR",202769758.0
646.0,1902-09-25,2021-03-01,,,,,DDC,-158027000.0,Environmental Protection,
2113.0,1901-01-22,2017-09-01,2013-09-30T00:00:00.000,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,-2995000.0,2019-09-22,DDC,-7266000.0,Environmental Protection,46482000.0
932.0,1903-02-01,2022-09-01,2018-10-10T00:00:00.000,"This bridge is a two span concrete encased structure, 153.3 feet wide, 75 feet long and carries a total of 9 lanes of traffic. The bridge itself is an integral part of the Woodhaven Blvd. subway station structure owned and operated by the MTA. The superstructure consists of concrete encased steel stringers framing into concrete encased steel columns which are also used to serve as the retaining wall holding up Queens Blvd. service road.",-20000.0,2027-10-10,DOT,2052000.0,DOT,65211241.0
119.0,1902-11-07,2022-09-01,2019-01-30T00:00:00.000,"Contract C547A is for the construction of two shafts (17B-1 and 18B-1) on City Tunnel No. 3 (CT3), Stage 2 in Queens and Brooklyn",5956926.81,2027-01-24,DEP,3150108.42,DEP,444603572.68
1355.0,1901-08-02,2019-09-01,2017-10-22T00:00:00.000,Construction of New Anaerobic Digesters,16124920.0,2024-09-22,DEP,72852004.14,DEP,444656320.0
1248.0,1901-10-26,2020-10-01,,,,,DDC,75370000.0,DCAS,
1110.0,1902-01-18,2021-12-01,2017-09-18T00:00:00.000,Feasibility Study for the repair and or restoration for Porpoise (Tide Gate)  Bridge in Flushing Meadows Corona Park.,1054000.0,2026-04-06,DDC,82000.0,Transportation,63979000.0
730.0,1902-05-25,2019-09-01,2018-01-26T00:00:00.000,Design and construction of a new school,3837481.0,2021-09-03,SCA,6379885.0,DOE,54362143.0
