borough,project_name,total_schedule_changes,latest_schedule_changes,date_reported_as_of,total_budget_changes,pid,forecast_completion,category,current_phase
,Porpoise Bridge In Flushing Meadows-Corona Park,1110.0,509.0,2021-07-01T00:00:00.000,82000.0,749,2025-12-14T00:00:00.000,Bridges,Design
,Grant Park Construction,612.0,0.0,2022-04-01T00:00:00.000,1489000.0,1015,2025-01-27T00:00:00.000,Parks,Construction Procurement
,NEW UTRECH LIBRARY MAJOR RENOVATIONS,1188.0,0.0,2021-12-01T00:00:00.000,290000.0,841,2026-11-27T00:00:00.000,Libraries,Design
Manhattan,Harlem River Drive Ramp Reconstruction (George Washington Bridge),2697.0,140.0,2023-01-01T00:00:00.000,-3711870.0,708,2035-09-02T00:00:00.000,"Bridges, Streets and Roadways",Design
Manhattan,West 35th Street over Amtrak,2846.0,,2021-03-01T00:00:00.000,-621966.0,696,,Bridges,
Queens,Metropolitan Avenue Bridge over CSX Transport,2027.0,610.0,2020-10-01T00:00:00.000,4699394.0,556,2029-10-24T00:00:00.000,"Bridges, Streets and Roadways",Design
,Bronx Public School 469  New Construction,0.0,0.0,2021-12-01T00:00:00.000,-505800.0,1102,2024-09-03T00:00:00.000,Schools,Construction
Queens,TLC - NEW OFFICE FACILITY - 24-55 BQE WEST,1248.0,403.0,2022-09-01T00:00:00.000,75370000.0,665,2026-05-01T00:00:00.000,Other Government Facilities,Construction
,"FDR Rehabilitation, Northbound (East 42nd to 49th Streets)",1816.0,235.0,2019-05-01T00:00:00.000,-2802822.0,502,2027-03-06T00:00:00.000,Bridges,Design
,SUNSET PARK NORTH BK WATERFRONT GREENWAY,1096.0,120.0,2021-12-01T00:00:00.000,20345000.0,1176,2024-07-13T00:00:00.000,Streets and Roadways,Design
Queens,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,1891.0,34.0,2021-07-01T00:00:00.000,-4338327.57,313,2025-03-21T00:00:00.000,Wastewater Treatment,Construction Procurement
,"Reconstruction Of Arthur Kill Road, Phase I",1415.0,730.0,2021-07-01T00:00:00.000,22503000.0,741,2025-10-30T00:00:00.000,Streets and Roadways,Design
Manhattan,Bellevue Medical Center Priority Mitigation Projects,1854.0,-143.0,2023-01-01T00:00:00.000,0.0,545,2023-04-28T00:00:00.000,Health and Hospitals,Construction
,Reconstruct Main Sewage Pump Controls at Port Richmond WWTP,516.0,223.0,2020-05-01T00:00:00.000,26923720.62,948,2025-09-15T00:00:00.000,Wastewater Treatment,Design
Upstate,"Gilboa Dam Reconstruction, Phase III",1113.0,77.0,2018-03-01T00:00:00.000,10376533.49,405,2020-10-12T00:00:00.000,Water Supply,Construction
,Park Avenue Tunnel (Murray Hill),1568.0,,2020-05-01T00:00:00.000,-17773389.61,536,,Bridges,Construction
,Bronx Public School 468  New Construction,0.0,0.0,2022-04-01T00:00:00.000,0.0,1106,2024-09-03T00:00:00.000,Schools,Construction
,12th Avenue Accessibility Improvements,-98.0,-340.0,2022-09-01T00:00:00.000,51571000.0,1158,2026-01-31T00:00:00.000,Streets and Roadways,Design
,Coastal Resiliency Area 1 - East 23Rd St. To Montg,836.0,364.0,2018-08-01T00:00:00.000,-418193636.37,773,2025-04-30T00:00:00.000,"Industrial Development, Parks",Design
,Central Park Light Infrastructure,1535.0,0.0,2022-09-01T00:00:00.000,-3323649.6,586,2023-06-30T00:00:00.000,"Parks, Streets and Roadways",Construction
,150Th St Spine Phase 1 Storm Sewer At Bergen Basin,753.0,181.0,2022-09-01T00:00:00.000,101452000.0,791,2026-04-03T00:00:00.000,Sewers,Design
,"Reconstruction Of Arthur Kill Road, Phase I",1415.0,197.0,2022-09-01T00:00:00.000,22503000.0,741,2026-05-15T00:00:00.000,Streets and Roadways,Design
,Woodhaven Blvd SBS Phase B,15.0,0.0,2021-12-01T00:00:00.000,-20000.0,1210,2028-10-14T00:00:00.000,Streets and Roadways,Design
Staten Island,Oakwood Beach WWTP Sludge Thickening Improvements,3241.0,84.0,2021-07-01T00:00:00.000,57138101.3,449,2026-07-18T00:00:00.000,Wastewater Treatment,Design
Brooklyn,Bergen Avenue Street Reconstruction,-388.0,0.0,2019-09-01T00:00:00.000,45837000.0,170,2023-06-24T00:00:00.000,Streets and Roadways,Construction
,"Ped Safety Upgrades on Atlantic Avenue, Phase 2",1400.0,297.0,2018-03-01T00:00:00.000,10136496.0,519,2021-12-21T00:00:00.000,Streets and Roadways,Design
Bronx,East 156th Street Bridge over Access to Housing,1720.0,2.0,2022-09-01T00:00:00.000,-363846.0,588,2029-02-21T00:00:00.000,"Bridges, Streets and Roadways",Design
,BBJ Queens Garage - Construction of new multi-level Garage with Community Space,547.0,0.0,2022-09-01T00:00:00.000,1314000.0,1156,2021-10-11T00:00:00.000,Other Government Facilities,Design
,Brooklyn Bridge - Approach Arches Rehabilitation,1908.0,0.0,2019-05-01T00:00:00.000,33135732.1,584,2022-06-01T00:00:00.000,Bridges,Design
,Queens Public School 46 Additionl,365.0,0.0,2021-03-01T00:00:00.000,0.0,1027,2023-09-03T00:00:00.000,Schools,Construction
Queens,20th Avenue Storm and Sanitary Sewer Construction,2180.0,0.0,2019-05-01T00:00:00.000,117177000.0,432,2021-06-29T00:00:00.000,Sewers,Construction
,TRENCH RESTORATION BROOKLYN,1467.0,,2020-10-01T00:00:00.000,6536000.0,855,,Industrial Development,
,Brooklyn Public School 730 New Construction,730.0,,2019-01-01T00:00:00.000,6379885.0,876,2021-09-03T00:00:00.000,Schools,Construction Procurement
,FUEL TANK REPLACEMENT - 71,548.0,59.0,2021-07-01T00:00:00.000,3444000.0,935,2023-03-20T00:00:00.000,Industrial Development,Construction
,GREENWICH STREET RECONSTRUCTION,-1.0,0.0,2022-04-01T00:00:00.000,4449000.0,1175,2024-11-06T00:00:00.000,Streets and Roadways,Construction
,Bronx Sanitation Garage Rehabilitation: Community District 6,913.0,,2019-09-01T00:00:00.000,0.0,971,2025-06-30T00:00:00.000,Sanitation,Design
Citywide,Revenue Cycle Implementation,1279.0,0.0,2023-01-01T00:00:00.000,0.0,723,2023-12-31T00:00:00.000,"Health and Hospitals, IT",IT
,Reconstruction Of Primary Tanks at Bowery Bay WPCP,636.0,-16.0,2022-09-01T00:00:00.000,74442173.0,942,2027-06-23T00:00:00.000,Wastewater Treatment,Design
Citywide,Revenue Cycle Implementation,1279.0,0.0,2022-04-01T00:00:00.000,0.0,723,2022-12-31T00:00:00.000,"Health and Hospitals, IT",IT
Queens,Power Distribution at Bowery Bay WWTP,1684.0,79.0,2017-04-01T00:00:00.000,24235381.01,522,2021-04-23T00:00:00.000,Wastewater Treatment,Construction Procurement
Staten Island,Roma and Hett Avenue Storm and Sanitary Sewer Installation,-8.0,-7.0,2018-03-01T00:00:00.000,62973000.0,206,2019-12-20T00:00:00.000,Sewers,Construction Procurement
,Queensboro Bridge Roadway Replacement over East River,1970.0,14.0,2021-07-01T00:00:00.000,8567339.67,594,2023-12-15T00:00:00.000,"Bridges, Streets and Roadways",Construction
,"Water Main Replacement In 222 Street, Queens",2236.0,745.0,2021-07-01T00:00:00.000,7195000.0,768,2026-02-02T00:00:00.000,Water Supply,Design
,Shore Road Bridge over Hutchinson River,1477.0,101.0,2020-10-01T00:00:00.000,-19049921.84,541,2029-07-15T00:00:00.000,"Bridges, Streets and Roadways",Design
,RED HOOK INTEGRATED FLOOD PROTECTION SYSTEM,1172.0,,2020-01-01T00:00:00.000,86623000.0,985,,Public Safety and Criminal Justice,
"Bronx, Manhattan",Broadway Bridge over Harlem River Replacement,2797.0,0.0,2014-01-01T00:00:00.000,39724388.0,106,2019-08-05T00:00:00.000,Bridges,Design
Manhattan,West 35th Street over Amtrak,2846.0,1060.0,2020-01-01T00:00:00.000,-621966.0,696,2027-04-15T00:00:00.000,Bridges,Design
,Bellevue Men's Shelter: Bathroom Upgrade,,,2023-01-01T00:00:00.000,,1369,2026-10-28T00:00:00.000,Streets and Roadways,Design
,"SAN & STRM SEWER, WM IN CONEY ISLAND AREA, PH 4",1431.0,,2020-10-01T00:00:00.000,1984000.0,1009,,Sewers,
,Croton Above Ground Structure And Landscaping,897.0,524.0,2021-07-01T00:00:00.000,75117000.0,747,2022-08-24T00:00:00.000,Industrial Development,Construction
New York,North River Wastewater Treatment Plant Cogeneration and Electrification,1712.0,60.0,2019-05-01T00:00:00.000,134242052.88,423,2022-07-25T00:00:00.000,Wastewater Treatment,Construction
,Queens IS at 47-10 Barnett Avenue Addition,365.0,0.0,2023-01-01T00:00:00.000,3206657.0,967,2023-09-03T00:00:00.000,Schools,Construction
Bronx,RECONSTRUCTION OF E 177 STREET/DEVOE AVENUE,1839.0,0.0,2022-04-01T00:00:00.000,25050000.0,623,2025-09-26T00:00:00.000,"Industrial Development, Streets and Roadways",Design
,Park Avenue Tunnel (Murray Hill),1568.0,,2019-09-01T00:00:00.000,-17773389.61,536,,Bridges,Construction
Bronx,Bainbridge Avenue Trunk Water Main,1687.0,30.0,2017-09-01T00:00:00.000,25547000.0,454,2019-06-30T00:00:00.000,Water Supply,Construction
Manhattan,West 35th Street over Amtrak,2846.0,451.0,2022-09-01T00:00:00.000,-621966.0,696,2032-03-05T00:00:00.000,Bridges,Design
,Boston Road Bridge Over Hutchinson River Rehabilitation,803.0,,2021-03-01T00:00:00.000,49309814.0,539,,"Bridges, Streets and Roadways",
Queens,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,2003.0,-255.0,2014-05-01T00:00:00.000,23798213.0,101,2018-03-29T00:00:00.000,Bridges,Design
,Upgrades At Brooklyn Animal Shelter,1355.0,,2020-10-01T00:00:00.000,21288000.0,750,,Other Government Facilities,
,"Red Hook Recreation Area Track 1, Soccer Fields 3-5, and Ballfields 1-4 Reconstruction",1082.0,103.0,2020-01-01T00:00:00.000,-10555000.0,974,2021-12-27T00:00:00.000,Parks,Construction Procurement
,GI - GRAVESEND BAY CSO - PHASE III,189.0,0.0,2023-01-01T00:00:00.000,-372000.0,1199,2025-11-19T00:00:00.000,Streets and Roadways,Design
,Queensboro Bridge Roadway Replacement over East River,1970.0,-3694.0,2022-09-01T00:00:00.000,8567339.67,594,2014-01-31T00:00:00.000,"Bridges, Streets and Roadways",Construction
City of Yonkers,Hillview Reservoir Flow Control Improvements,254.0,23.0,2020-10-01T00:00:00.000,-11397050.18,670,2032-06-28T00:00:00.000,Water Supply,Design
Bronx,Bainbridge Avenue Trunk Water Main,1687.0,,2020-01-01T00:00:00.000,25547000.0,454,,Water Supply,
,Flushing Meadows Corona Park World's Fair Marina Reconstruction (Hurricane Sandy),708.0,,2020-10-01T00:00:00.000,4947362.68,1031,2023-12-17T00:00:00.000,Parks,Design
Bronx,West Tremont Avenue over Metro North Railroad,1253.0,214.0,2022-09-01T00:00:00.000,37794543.0,503,2027-08-08T00:00:00.000,Bridges,Design
,Bellvue Shelter:400 East 30th st. Fire Alarm Alarm,256.0,0.0,2023-01-01T00:00:00.000,-352000.0,1265,2025-11-21T00:00:00.000,Other Government Facilities,Design
Bronx,Grand Concourse Metro North Railroad Bridge Construction,836.0,0.0,2022-04-01T00:00:00.000,22682117.0,120,2023-01-16T00:00:00.000,Bridges,Construction
,Bronx Sanitation Garage Rehabilitation: Community District 6,913.0,366.0,2022-09-01T00:00:00.000,0.0,971,2028-06-30T00:00:00.000,Sanitation,Design
Bronx,Lower Concourse Initiative,730.0,1.0,2019-01-01T00:00:00.000,-5100000.0,575,2022-04-02T00:00:00.000,Industrial Development,Design
,NYPD Firearms and Tactics Facility,328.0,132.0,2023-01-01T00:00:00.000,3365000.0,1194,2027-10-18T00:00:00.000,Other Government Facilities,Design
,East River Esplanade Stabilization and Reconstruction Phase 3,612.0,-1.0,2022-09-01T00:00:00.000,3616645.26,973,2024-11-22T00:00:00.000,Parks,Construction Procurement
,Storm Mitigation Loan Program at Bowery Bay,1026.0,35.0,2019-09-01T00:00:00.000,-19623216.41,671,2021-11-16T00:00:00.000,Wastewater Treatment,Design
,"New water main work in 7th avenue between 14th street and 34th street, and other locations as shown on page 3 of attached CPI",181.0,181.0,2023-01-01T00:00:00.000,1335000.0,1178,2027-02-23T00:00:00.000,Streets and Roadways,Design
Upstate,"Gilboa Dam Reconstruction, Phase V",503.0,0.0,2021-03-01T00:00:00.000,-3079490.0,456,2024-11-29T00:00:00.000,Water Supply,Design
,Brooklyn P.S. at 4302 4TH AVE,365.0,-58.0,2020-01-01T00:00:00.000,-221356.0,949,2022-09-03T00:00:00.000,Schools,Construction
Queens,20th Avenue Storm and Sanitary Sewer Construction,2180.0,,2020-01-01T00:00:00.000,117177000.0,432,,Sewers,
,Park Avenue Tunnel (Murray Hill),1568.0,,2021-03-01T00:00:00.000,-17773389.61,536,,Bridges,
,DELANCEY STREET SAFETY IMPROVEMENTS,1217.0,,2020-01-01T00:00:00.000,20937000.0,983,,Streets and Roadways,
Queens,49th Avenue Bridge Replacement,1449.0,,2021-03-01T00:00:00.000,32902419.0,131,,"Bridges, Streets and Roadways",
,Storm & Combined Sewers In 229 Street,652.0,,2021-03-01T00:00:00.000,-9148000.0,776,,Sewers,
,Shore Road Bridge over Hutchinson River,1477.0,,2020-01-01T00:00:00.000,-19049921.84,541,,"Bridges, Streets and Roadways",Design
,"RECONSTRUCTION OF ROSEDALE AREA, PHASE 2",829.0,,2021-03-01T00:00:00.000,61291000.0,1011,,Streets and Roadways,
Brooklyn,Wyckoff Avenue Street Reconstruction,226.0,,2020-05-01T00:00:00.000,43926000.0,191,,Streets and Roadways,
Bronx,New 40th Precinct,711.0,0.0,2019-09-01T00:00:00.000,26020000.0,634,2021-06-25T00:00:00.000,Public Safety and Criminal Justice,Construction
,Bellvue Shelter:400 East 30th st. Fire Alarm Alarm,256.0,,2022-04-01T00:00:00.000,-352000.0,1265,2025-03-10T00:00:00.000,Other Government Facilities,Design
,RECONSTRUCTION OF SOUTH JAMAICA AREA (SEQ200562),366.0,0.0,2023-01-01T00:00:00.000,1360000.0,1163,2027-02-10T00:00:00.000,Streets and Roadways,Design
Bronx,Concourse Village Avenue over Metro North,1865.0,282.0,2020-01-01T00:00:00.000,-186092.37,587,2028-07-25T00:00:00.000,Bridges,Design
Queens,20th Avenue Storm and Sanitary Sewer Construction,2180.0,-365.0,2017-04-01T00:00:00.000,117177000.0,432,2023-08-15T00:00:00.000,Sewers,Construction Procurement
,Next Generation 911 Program,1558.0,,2021-07-01T00:00:00.000,30123504.48,1035,2020-09-25T00:00:00.000,"IT, Public Safety and Criminal Justice",IT
,79TH STREET CROSSTOWN SELECT BUS SERVICE,737.0,371.0,2022-04-01T00:00:00.000,3370000.0,1237,2027-06-25T00:00:00.000,Streets and Roadways,Design
,"City Tunnel No.3, Stage 2 in Queens and Brooklyn, Construction of Shaft 17B and 18B",119.0,13.0,2021-03-01T00:00:00.000,3150108.42,1042,2027-01-24T00:00:00.000,Water Supply,Construction
,Bronx Sanitation Garage Rehabilitation: Community District 6,913.0,365.0,2022-04-01T00:00:00.000,0.0,971,2027-06-30T00:00:00.000,Sanitation,Design
,Storm Mitigation Loan Program at Hunts Point,1091.0,0.0,2022-04-01T00:00:00.000,20080597.79,672,2023-02-17T00:00:00.000,Wastewater Treatment,Construction
,Harper Street Administration Building Reconstruction,,,2022-09-01T00:00:00.000,400000.0,1214,,Other Government Facilities,
Bronx,Jerome Reservoir and Aqueduct Rehabilitation,2363.0,87.0,2020-01-01T00:00:00.000,-833277.14,448,2023-02-11T00:00:00.000,Water Supply,Construction Procurement
,FUEL TANK & SUMP REPLACEMENTS - BROOKLYN,663.0,-315.0,2023-01-01T00:00:00.000,-1940000.0,899,2025-01-22T00:00:00.000,Industrial Development,Construction
,Alley Pond Environmental Center Reconstruction,556.0,0.0,2021-03-01T00:00:00.000,1641000.0,1017,2021-12-14T00:00:00.000,Parks,Construction
,Grant Park Construction,612.0,0.0,2023-01-01T00:00:00.000,1489000.0,1015,2025-08-27T00:00:00.000,Parks,Construction Procurement
,Throgs Neck Pumping Station Rehabilitation and Improvements,1306.0,63.0,2021-12-01T00:00:00.000,25708336.86,722,2024-07-25T00:00:00.000,Wastewater Treatment,Construction Procurement
,Lower Concourse: Park,456.0,0.0,2023-01-01T00:00:00.000,0.0,961,2025-03-31T00:00:00.000,Parks,Construction Procurement
Manhattan,Henry Hudson Parkway over Amtrak (Northbound),1693.0,148.0,2023-01-01T00:00:00.000,500625.0,592,2029-11-26T00:00:00.000,Bridges,Design
,"Grand Concourse Reconstruction, Phase 4 (Great Streets)",1448.0,-141.0,2017-04-01T00:00:00.000,57634000.0,476,2019-06-08T00:00:00.000,Streets and Roadways,Design
,851 GRAND CONCOURSE - FACADE REPAIRS LOCAL LAW 11,77.0,,2022-04-01T00:00:00.000,0.0,1273,2026-03-17T00:00:00.000,Other Government Facilities,Design
Queens,Belt System - Cross Island over 115th Avenue/Dutch Broadway,1845.0,0.0,2018-08-01T00:00:00.000,17528706.0,558,2023-09-08T00:00:00.000,Bridges,Design
Manhattan,West 79th Street over Amtrak and Rotunda Complex Rehabilitation,604.0,0.0,2022-04-01T00:00:00.000,-51088528.0,801,2025-05-16T00:00:00.000,"Bridges, Streets and Roadways",Construction
Manhattan,Coler Specialty Hospital Priority Mitigation Projects,2085.0,349.0,2016-11-01T00:00:00.000,0.0,544,2018-11-15T00:00:00.000,Health and Hospitals,Construction Procurement
Staten Island,Roma and Hett Avenue Storm and Sanitary Sewer Installation,-8.0,61.0,2017-09-01T00:00:00.000,62973000.0,206,2019-12-27T00:00:00.000,Sewers,Design
,Storm Mitigation Loan Program at Bowery Bay,1026.0,-543.0,2019-05-01T00:00:00.000,-19623216.41,671,2021-10-12T00:00:00.000,Wastewater Treatment,Design
,HEMPSTEAD AVE OVER BCIP RAMP NB BIN 2266149,402.0,,2021-03-01T00:00:00.000,597042.0,1050,,"Bridges, Streets and Roadways",
Bronx,Jerome Reservoir and Aqueduct Rehabilitation,2363.0,408.0,2017-09-01T00:00:00.000,-833277.14,448,2021-08-01T00:00:00.000,Water Supply,Construction Procurement
,Grand Street Bridge over Newtown Creek,1645.0,,2019-09-01T00:00:00.000,160682490.0,534,,"Bridges, Streets and Roadways",Design
Bronx,West Tremont Avenue over Metro North Railroad,1253.0,57.0,2023-01-01T00:00:00.000,37794543.0,503,2027-10-04T00:00:00.000,Bridges,Design
,"FDR Rehabilitation, Northbound (East 42nd to 49th Streets)",1816.0,30.0,2021-12-01T00:00:00.000,-2802822.0,502,2029-02-12T00:00:00.000,Bridges,Design
,Coney Island Beach Operations HQ at West 25th Street,134.0,25.0,2023-01-01T00:00:00.000,370000.0,1193,2027-04-17T00:00:00.000,Other Government Facilities,Design
Bronx,RECONSTRUCTION OF E 177 STREET/DEVOE AVENUE,1839.0,,2020-05-01T00:00:00.000,25050000.0,623,,"Industrial Development, Streets and Roadways",
,Power Distribution Improvements at Tallman Island,651.0,-25.0,2020-01-01T00:00:00.000,10926063.83,907,2025-04-05T00:00:00.000,Industrial Development,Design
Staten Island,Oakwood Beach WWTP Headworks Improvements,2857.0,422.0,2020-05-01T00:00:00.000,31867440.0,450,2025-10-16T00:00:00.000,Wastewater Treatment,Construction Procurement
Queens,Edgewood Triangle Roadway Reconstruction,3597.0,-304.0,2016-06-01T00:00:00.000,106503000.0,204,2019-09-25T00:00:00.000,Streets and Roadways,Design
,Porpoise Bridge In Flushing Meadows-Corona Park,1110.0,,2021-03-01T00:00:00.000,82000.0,749,,Bridges,
Bronx,RECONSTRUCTION OF E 177 STREET/DEVOE AVENUE,1839.0,0.0,2019-01-01T00:00:00.000,25050000.0,623,2022-08-14T00:00:00.000,"Industrial Development, Streets and Roadways",Design
,"NEW 48"" TRUNK WATER MAIN IN E 233 STREET",1796.0,,2020-05-01T00:00:00.000,1077000.0,998,,Water Supply,
,FUEL TANK REPLACEMENT - 71,548.0,,2020-10-01T00:00:00.000,3444000.0,935,,Industrial Development,
Bronx,East 174th Street over Sheridan Expressway - Amtrak,1431.0,42.0,2020-05-01T00:00:00.000,5146882.0,701,2028-06-02T00:00:00.000,Bridges,Design
,West 33rd Street,1736.0,730.0,2020-10-01T00:00:00.000,0.0,861,2024-11-29T00:00:00.000,Streets and Roadways,Design
,Queensboro Bridge Roadway Replacement over East River,1970.0,399.0,2020-10-01T00:00:00.000,8567339.67,594,2023-12-01T00:00:00.000,"Bridges, Streets and Roadways",Construction
Manhattan,Riverside Drive/West 158th Street Bridge Rehabilitation,2152.0,676.0,2022-09-01T00:00:00.000,96922794.0,113,2025-05-21T00:00:00.000,"Bridges, Streets and Roadways",Construction
,SOUTH BROOKLYN CROSSTOWN SBS,819.0,,2020-01-01T00:00:00.000,29789000.0,843,,Industrial Development,
Bronx,RECONSTRUCTION OF E 177 STREET/DEVOE AVENUE,1839.0,335.0,2022-09-01T00:00:00.000,25050000.0,623,2026-08-27T00:00:00.000,"Industrial Development, Streets and Roadways",Design
Queens,Edgewood Triangle Roadway Reconstruction,3597.0,,2021-03-01T00:00:00.000,106503000.0,204,,Streets and Roadways,
Manhattan,2nd Avenue Watermain Trunk Construction,2113.0,0.0,2014-01-01T00:00:00.000,-7266000.0,388,2017-10-13T00:00:00.000,Water Supply,Design
Manhattan,West 35th Street over Amtrak,2846.0,-39.0,2021-12-01T00:00:00.000,-621966.0,696,2028-03-27T00:00:00.000,Bridges,Design
,Cunningham Park Garage Reconstruction,703.0,182.0,2022-09-01T00:00:00.000,0.0,1019,2025-01-27T00:00:00.000,Parks,Construction Procurement
,"Combined Sewer In 70Th Street, Queens",1155.0,0.0,2023-01-01T00:00:00.000,94201000.0,788,2023-08-10T00:00:00.000,Sewers,Construction
Brooklyn,Construction of Gowanus CSO retention FAC Superfund Site,1086.0,0.0,2022-04-01T00:00:00.000,432995114.0,550,2031-11-25T00:00:00.000,Industrial Development,Construction Procurement
Queens,Edgewood Triangle Roadway Reconstruction,3597.0,33.0,2022-09-01T00:00:00.000,106503000.0,204,2028-05-21T00:00:00.000,Streets and Roadways,Design
,"RECONSTRUCTION OF ROSEDALE AREA, PHASE 2",829.0,0.0,2022-09-01T00:00:00.000,61291000.0,1011,2026-07-15T00:00:00.000,Streets and Roadways,Design
,FUEL TANK & SUMP REPLACEMENTS - MANHATTAN/S.I.,663.0,0.0,2022-04-01T00:00:00.000,-1754000.0,900,2025-06-29T00:00:00.000,Industrial Development,Design
Bronx,East 174th Street over Sheridan Expressway - Amtrak,1431.0,0.0,2019-01-01T00:00:00.000,5146882.0,701,2026-01-16T00:00:00.000,Bridges,Design
Bronx,Bruckner Expressway Westchester Creek Bridge Reconstruction,2086.0,-58.0,2015-08-01T00:00:00.000,142277136.0,97,2020-08-17T00:00:00.000,"Bridges, Streets and Roadways",Design
,Bronx River CSO Reduction,-712.0,0.0,2021-03-01T00:00:00.000,1210235.0,943,2028-12-14T00:00:00.000,Wastewater Treatment,Design
,"SAN & STRM SEWER, WM IN CONEY ISLAND AREA, PH 4",1431.0,,2019-09-01T00:00:00.000,1984000.0,1009,2024-08-09T00:00:00.000,Sewers,Design
,Storm Mitigation Loan Program at Bowery Bay,1026.0,140.0,2020-10-01T00:00:00.000,-19623216.41,671,2023-01-13T00:00:00.000,Wastewater Treatment,Construction Procurement
"Manhattan, Bronx",Madison Avenue Bridge Reconstruction,1628.0,0.0,2017-04-01T00:00:00.000,2036997.0,114,2019-07-03T00:00:00.000,Bridges,Design
Brooklyn,Brooklyn Supreme Court Fire Alarm System Upgrade,1533.0,,2021-03-01T00:00:00.000,47003000.0,510,,Public Safety and Criminal Justice,
,Power Distribution Improvements at Tallman Island,651.0,241.0,2020-10-01T00:00:00.000,10926063.83,907,2025-12-02T00:00:00.000,Industrial Development,Design
Queens,Power Distribution at Bowery Bay WWTP,1684.0,47.0,2018-03-01T00:00:00.000,24235381.01,522,2021-08-07T00:00:00.000,Wastewater Treatment,Construction Procurement
Queens,Metropolitan Avenue Bridge over CSX Transport,2027.0,0.0,2017-09-01T00:00:00.000,4699394.0,556,2024-09-02T00:00:00.000,"Bridges, Streets and Roadways",Design
Brooklyn,Wyckoff Avenue Street Reconstruction,226.0,0.0,2023-01-01T00:00:00.000,43926000.0,191,2027-02-27T00:00:00.000,Streets and Roadways,Design
,"Water Main Replacement In 222 Street, Queens",2236.0,0.0,2018-08-01T00:00:00.000,7195000.0,768,2022-01-18T00:00:00.000,Water Supply,Design
Manhattan,Coler Specialty Hospital Priority Mitigation Projects,2085.0,60.0,2021-12-01T00:00:00.000,0.0,544,2023-03-01T00:00:00.000,Health and Hospitals,Construction
,SOUTHEAST QUEENS PRIORITY GRIDS - GROUP 2,1630.0,0.0,2022-09-01T00:00:00.000,14480000.0,847,2028-02-29T00:00:00.000,Streets and Roadways,Design
,Queens Public School 46 Additionl,365.0,0.0,2021-07-01T00:00:00.000,0.0,1027,2023-09-03T00:00:00.000,Schools,Construction
,Maspeth Climate Control and Air Quality Improvements,,,2023-01-01T00:00:00.000,,1361,,Other Government Facilities,
,"WESTBOURNE - DUNBAR ROADWAYS/BULKHEADS, QNS",1840.0,,2020-01-01T00:00:00.000,47223000.0,981,,Streets and Roadways,
,Throgs Neck Pumping Station Rehabilitation and Improvements,1306.0,0.0,2022-09-01T00:00:00.000,25708336.86,722,2025-12-16T00:00:00.000,Wastewater Treatment,Construction
,EMS Station 17 - New Facility,434.0,72.0,2022-04-01T00:00:00.000,13113000.0,1153,2024-08-19T00:00:00.000,Other Government Facilities,Design
Brooklyn,Brooklyn Supreme Court Fire Alarm System Upgrade,1533.0,203.0,2018-08-01T00:00:00.000,47003000.0,510,2022-11-01T00:00:00.000,Public Safety and Criminal Justice,Design
Bronx,Bainbridge Avenue Trunk Water Main,1687.0,0.0,2019-09-01T00:00:00.000,25547000.0,454,2020-06-05T00:00:00.000,Water Supply,Construction
Manhattan,"West 59th Street Marine Transfer Station Construction, Phase 2",1949.0,-92.0,2014-05-01T00:00:00.000,126753576.46,347,2017-10-28T00:00:00.000,Sanitation,Construction Procurement
Valhalla,Kensico Eastview Connection Tunnel Construction,3132.0,-10.0,2020-01-01T00:00:00.000,881770648.0,554,2031-05-17T00:00:00.000,Water Supply,Design
Brooklyn,Flatbush Avenue Trunk Watermain Replacement,2266.0,52.0,2015-08-01T00:00:00.000,39272000.0,370,2018-11-29T00:00:00.000,Wastewater Treatment,Design
Marlboro,Rondout-West Branch Bypass Tunnel Construction Project 2,256.0,0.0,2021-07-01T00:00:00.000,202552329.25,409,2023-09-26T00:00:00.000,Water Supply,Construction
Bronx,Grand Concourse Metro North Railroad Bridge Construction,836.0,-149.0,2016-01-01T00:00:00.000,22682117.0,120,2020-07-21T00:00:00.000,Bridges,Design
,New 116Th Pct,727.0,22.0,2022-09-01T00:00:00.000,33852900.86,762,2024-01-21T00:00:00.000,Public Safety and Criminal Justice,Construction
,"Grand Concourse Reconstruction, Phase 4 (Great Streets)",1448.0,292.0,2016-06-01T00:00:00.000,57634000.0,476,2020-04-13T00:00:00.000,Streets and Roadways,Design
Brooklyn,Brooklyn Sanitation Garage Construction: Community District 3,790.0,-75.0,2018-08-01T00:00:00.000,25603365.0,560,2022-10-17T00:00:00.000,Sanitation,Design
,Owls Head WWTP Final Settling System Rehabilitation,345.0,90.0,2023-01-01T00:00:00.000,-3573164.0,946,2028-11-04T00:00:00.000,Wastewater Treatment,Design
,Brooklyn Public School 730 New Construction,730.0,0.0,2021-07-01T00:00:00.000,6379885.0,876,2022-09-03T00:00:00.000,Schools,Construction
City of Yonkers,Hillview Reservoir Chemical Addition Facilities,82.0,64.0,2020-10-01T00:00:00.000,159902202.01,669,2029-03-28T00:00:00.000,Water Supply,Design
,SEELY STREET OVER PROSPECT AVENUE  BIN: 2244470,253.0,27.0,2022-04-01T00:00:00.000,0.0,1119,2027-10-03T00:00:00.000,Bridges,Design
