UrbanZone,accessibility,schoolname,SanFacID,bldgcode,district,location
Queens,No Accessibility,Langston Hughes Library,30757,,District 30,100-01 NORTHERN BLVD
Queens,Fully Accessible,P.S. 102 Bayview,24102,Q102,District 24,55-24 VAN HORN STREET
Bronx,No Accessibility,Thompson Pool (Formerly Named Bronx River Pool),12747,,District 12,E. 174 Street and Bronx River Ave.
Brooklyn,Fully Accessible,P.S. 226 Alfred De B.Mason,21226,K226,District 21,6006 23 AVENUE
Queens,Fully Accessible,P.S. 89Q: The Jose Peralta School of Dreamers,24089,Q089,District 24,85-28 BRITTON AVENUE
Manhattan,Partially Accessible,P.S. 002 Meyer London,2002,M002,District 2,122 Henry Street
Manhattan,Partially Accessible,P.S. 128 Audubon,6128,M128,District 6,560 WEST 169 STREET
Queens,No Accessibility,Hollis Library,29710,,District 29,202-05 HILLSIDE AVE
Brooklyn,Fully Accessible,M.S. 035 Stephen Decatur,16035,K035,District 16,272 Macdonough Street
Brooklyn,No Accessibility,I.S. 98 Bay Academy,21098,K043,District 21,1401 EMMONS AVENUE
Queens,No Accessibility,QPL - Whitestone Library,25749,,District 25,"151-10 14TH ROAD, WHITESTONE"
Queens,No Accessibility,QPL-Bellerose Library,26706,,District 26,250-06 HILLSIDE AVENUE
Manhattan,No Accessibility,Harold O. Levy School,6052,M052,District 6,650 ACADEMY STREET
Brooklyn,No Accessibility,024 BPL - Borough Park Library,15745,,District 15,1265 43rd Street
Bronx,Fully Accessible,P.S. 161 Ponce De Leon School,7161,X161,District 7,628 TINTON AVENUE
Brooklyn,Partially Accessible,P.S. 249 The Caton,17249,K249,District 17,18 MARLBOROUGH ROAD
Staten Island,Fully Accessible,P.S. 56 The Louis Desario School,31056,R056,District 31,250 KRAMER AVENUE
Brooklyn,Fully Accessible,Norma Adams Clemons Academy,17006,K006,District 17,43 SNYDER AVENUE
Bronx,Partially Accessible,P.S. 086 Kingsbridge Heights,10086,X086,District 10,2756 RESERVOIR AVENUE
Queens,Fully Accessible,J.H.S. 067 Louis Pasteur,26067,Q067,District 26,51-60 MARATHON PARKWAY
Queens,No Accessibility,Far Rockaway Library,27753,,District 27,1003 BEACH 20 STREET
Manhattan,No Accessibility,Locke School of Arts and Engineering (The),3185,M185,District 3,20 WEST 112 STREET
Queens,No Accessibility,021 QPL - Astoria Library,30755,,District 30,14-01 ASTORIA BLVD
Queens,Partially Accessible,J.H.S. 216 George J. Ryan,26216,Q216,District 26,64-20 175 Street
Bronx,Partially Accessible,P.S. 152 Evergreen,8152,X152,District 8,1007 EVERGREEN AVENUE
Brooklyn,No Accessibility,McCarren Pool,14724,,District 14,776 Lorimer Street
Manhattan,No Accessibility,NYCHA Vladeck,1714,,District 1,328 MADISON Street
Bronx,Fully Accessible,P.S. 3 Raul Julia Micro Society,10003,X003,District 10,2100 LAFONTAINE AVENUE
Queens,No Accessibility,East Flushing Library,26707,,District 26,196-36 NORTHERN BLVD
Bronx,Partially Accessible,J.H.S. 144 Michelangelo,11144,X144,District 11,2545 GUNTHER AVENUE
Staten Island,No Accessibility,Tottenville Pool,31774,,District 31,Hylan Blvd and Joline Ave
Brooklyn,No Accessibility,NYCHA Louis Pink Resident Association,19718,,District 19,1258 Loring Avenue -Ground Floor
Queens,No Accessibility,Liberty Pool,29793,,District 29,Corner OF 172nd Street &106th Avenue
Queens,Partially Accessible,P.S. 229 Emanuel Kaplan,24229,Q229,District 24,67-25 51 ROAD
Manhattan,No Accessibility,NYCHA 146 Saint Nicholas,3722,,District 3,146 ST. NICHOLAS AVENUE (West 117th
Brooklyn,No Accessibility,BPL - New Utrecht Library,20754,,District 20,1743 86th Street
Queens,No Accessibility,Poppenhusen Library,25707,,District 25,121-23 14TH AVE
Staten Island,No Accessibility,West Brighton Pool,31773,,District 31,Henderson Ave btw Bdwy & Chappel Str
Queens,Fully Accessible,P.S. Q016 The Nancy DeBenedittis School,24016,Q721,District 24,41-15 104 STREET
Brooklyn,No Accessibility,P.S. 159 Isaac Pitkin,19159,K159,District 19,2781 PITKIN AVENUE
Brooklyn,No Accessibility,NYCHA 303 Wyckoff Gardens Resident Association,15706,,District 15,266 Wyckoff Street
Staten Island,No Accessibility,Lyons Pool - NYC Parks,31777,,District 31,Pier 6 and Victory Blvd
Brooklyn,Fully Accessible,Sunset School of Cultural Learning,20939,K746,District 20,270 59th Street
Queens,Partially Accessible,P.S. 149 Christa Mcauliffe,30149,Q149,District 30,93-11 34 AVENUE
Queens,No Accessibility,Jackson Heights Library,30724,,District 30,35-51 81ST ST.
Bronx,No Accessibility,P.S. 055 Benjamin Franklin,9055,X055,District 9,450 SAINT PAUL'S PLACE
Brooklyn,No Accessibility,Kosciusko Pool,13733,,District 13,670 MARCY AVENUE
Queens,No Accessibility,Briarwood Library,28739,,District 28,85-12 MAIN ST
Brooklyn,Partially Accessible,I.S. 211 John Wilson,18211,K211,District 18,1001 EAST 100 STREET
Brooklyn,No Accessibility,Commodore Barry Pool,13738,,District 13,Flushing Ave and North Elliot Place
Brooklyn,No Accessibility,NYCHA Rutland Towers Resident Association,17707,,District 17,955 Rutland Road
Bronx,Fully Accessible,"Elementary School for Math, Science, and Technology",10382,X079,District 10,125 EAST 181 STREET
Bronx,Fully Accessible,P.S. X015 Institute for Environmental Learning,10015,X015,District 10,2195 ANDREWS AVENUE
Brooklyn,Fully Accessible,P.S. 181 Brooklyn,17181,K181,District 17,1023 NEW YORK AVENUE
Queens,Fully Accessible,P.S./I.S. 268,29268,Q268,District 29,92-07 175 STREET
Manhattan,No Accessibility,P.S. 115 Alexander Humboldt,6115,M115,District 6,586 WEST 177 STREET
Queens,No Accessibility,North Hills Library,26712,,District 26,5704 MARATHON PKWY
Queens,No Accessibility,Fort Totten Pool,25738,,District 25,338 Story Ave. Behind Bldg #338
Queens,Fully Accessible,P.S. 043,27043,Q043,District 27,160 BEACH  29 STREET
Queens,No Accessibility,Howard Beach Library,27713,,District 27,92-06 156TH AVE
Brooklyn,No Accessibility,Eagle Academy for Young Men II,23244,K271,District 23,1137 HERKIMER STREET
Queens,Fully Accessible,P.S. 062 Chester Park,27062,Q062,District 27,97-25 108 STREET
Bronx,No Accessibility,P.S. 089 Bronx,11089,X089,District 11,980 MACE AVENUE
Queens,No Accessibility,QPL - Ozone Park Library,27763,,District 27,92-24 ROCKAWAY BLVD
Queens,Partially Accessible,J.H.S. 008 Richard S. Grossley,28008,Q008,District 28,108-35 167 STREET
Queens,Fully Accessible,David N. Dinkins School,28048,Q276,District 28,108-29 155 STREET
Manhattan,Fully Accessible,Beacon High School,2479,M912,District 2,521 WEST 43RD STREET
Queens,Partially Accessible,J.H.S. 185 Edward Bleeker,25185,Q185,District 25,147-26 25 DRIVE
Brooklyn,No Accessibility,Brooklyn Public Library - Jamaica Bay Library,18777,,District 18,9727 Seaview Avenue
Manhattan,No Accessibility,John Jay Pool,2795,,District 2,77th Street & Cherokee Pl.
Queens,No Accessibility,QPL-Auburndale Library,25724,,District 25,25-55 FRANCIS LEWIS BLVD
Bronx,No Accessibility,Crotona Pool,9731,,District 9,173RD STREET AND FULTON AVENUE
Brooklyn,Fully Accessible,Origins High School,22611,K495,District 22,3000 AVENUE X
Queens,Fully Accessible,PS 110,24110,Q315,District 24,43-18 97TH PLACE
Brooklyn,No Accessibility,Bushwick Pool,14704,,District 14,835 Flushing Avenue
