zip,bldgcode,sfcode,koshermealtype,latitude,longitude,siteaddress,city,district
11355,Q020,25020,non-kosher,40.758347,-73.824388,142-30 BARCLAY AVENUE,Queens,25
11212,K298,23298,non-kosher,40.671015,-73.907718,85 WATKINS STREET,Brooklyn,23
10471,,10721,non-kosher,40.889458,-73.898272,West 242 Street and Broadway,Bronx,10
10027,M036,5036,non-kosher,40.810705,-73.957409,123 Morningside Drive,Manhattan,5
11432,,28776,non-kosher,40.707865,-73.795295,89-11 MERRICK BLVD,Queens,28
11207,K292,19292,non-kosher,40.671601,-73.893319,301 VERMONT STREET,Brooklyn,19
11365,,25701,non-kosher,40.732361,-73.81045,158-21 JEWEL AVE,Queens,25
10460,X167,12214,non-kosher,40.839297,-73.879931,1970 WEST FARMS ROAD,Bronx,12
11385,Q088,24088,non-kosher,40.704105,-73.896437,60-85 CATALPA AVENUE,Queens,24
11436,,27762,non-kosher,40.680318,-73.79203,117-11 SUTPHIN BLVD.,Queens,27
11235,,21705,non-kosher,40.576125,-73.966486,16 Brighton First Road,Brooklyn,21
10002,M137,1184,non-kosher,40.711125,-73.985438,327 CHERRY STREET,Manhattan,1
11236,K276,18276,non-kosher,40.634005,-73.908436,1070 EAST  83 STREET,Brooklyn,18
10474,,8786,non-kosher,40.806118,-73.889145,Corner of Tiffany St. Viele Avenue,Bronx,8
10460,X129,12129,non-kosher,40.846128,-73.886721,2055 MAPES AVENUE,Bronx,12
11361,,26710,non-kosher,40.760363,-73.768588,214-20 NORTHERN BLVD,Queens,26
10301,R061,31061,non-kosher,40.634497,-74.097941,445 CASTLETON AVENUE,Staten Island,31
11412,,29725,non-kosher,40.706755,-73.753827,204-01 HOLLIS AVENUE SOUTH,Queens,29
10310,R027,31027,non-kosher,40.628291,-74.117818,11 CLOVE LAKE PLACE,Staten Island,31
10032,,6730,non-kosher,40.843665,-73.93413,2301 Amsterdam Avenue & 173rd Street,Manhattan,6
11206,K318,14318,non-kosher,40.703034,-73.948771,101 WALTON STREET,Brooklyn,14
10027,,5735,non-kosher,40.815113,-73.955,129th Street & Amsterdam Avenue,Manhattan,5
11233,,16747,non-kosher,40.685121,-73.918931,33-35 Saratoga Ave,Brooklyn,16
10009,,1723,non-kosher,40.725325,-73.97621,Easy 10th Street between Ave C and D,Manhattan,1
10453,X117,9117,non-kosher,40.848552,-73.909022,1865 MORRIS AVENUE,Bronx,9
10469,,11753,non-kosher,40.874923,-73.838353,Ely Ave and Burke Ave,Bronx,11
10035,,4717,non-kosher,40.801706,-73.932591,124th Street Betw/1st & 2nd Avenue,Manhattan,4
10469,,11729,non-kosher,40.832814,-73.855407,1216 BURKE AVE,Bronx,11
11236,K272,18272,non-kosher,40.635542,-73.886373,101-24 SEAVIEW AVENUE,Brooklyn,18
10027,M154,5154,non-kosher,40.810499,-73.948902,250 WEST 127 STREET,Manhattan,5
10451,X151,7031,non-kosher,40.822574,-73.92114,250 EAST 156 STREET,Bronx,7
10456,X120,8120,non-kosher,40.822291,-73.906739,890 CAULDWELL AVENUE,Bronx,8
10460,X102,12531,non-kosher,40.838151,-73.866038,1827 ARCHER STREET,Bronx,12
10002,,1703,non-kosher,40.719854,-73.981721,128 Pitt Street,Manhattan,1
11379,Q049,24049,non-kosher,40.719567,-73.875493,63-60 80th Street,Queens,24
11231,K142,15242,non-kosher,40.679462,-74.002022,610 HENRY STREET,Brooklyn,15
11234,K251,22251,non-kosher,40.63195,-73.923894,1037 EAST  54 STREET,Brooklyn,22
11229,,22760,non-kosher,40.591563,-73.923725,2808 Gerritsen Avenue,Brooklyn,22
11372,Q280,30280,non-kosher,40.753345,-73.874109,34-20 94th Street,Queens,30
10024,M470,3402,non-kosher,40.786134,-73.974483,145 WEST  84 STREET,Manhattan,3
10302,,31761,non-kosher,40.640265,-74.135132,Richmond Terrace & Faber Street,Staten Island,31
10456,X145,9328,non-kosher,40.827438,-73.914067,1000 TELLER AVENUE,Bronx,9
11231,K032,15032,non-kosher,40.680159,-73.991141,317 Hoyt Street,Brooklyn,15
10451,,9745,non-kosher,40.831974,-73.923489,165TH STREET AND RIVER AVENUE,Bronx,9
10466,X169,11169,non-kosher,40.881344,-73.839386,3500 EDSON AVENUE,Bronx,11
10305,,31771,non-kosher,40.615413,-74.12299,155 Norway avenue,Staten Island,31
11203,K470,17546,non-kosher,40.658671,-73.943839,600 KINGSTON AVENUE,Brooklyn,17
11218,K437,15839,non-kosher,,,713 CATON AVENUE,Brooklyn,15
11692,,27701,non-kosher,40.593066,-73.784341,312 BEACH 54TH ST.,Queens,27
11223,,21712,non-kosher,40.591872,-73.978407,2304 West 8th,Brooklyn,21
11236,,18711,non-kosher,40.642307,-73.899179,1580 Rockaway Parkway,Brooklyn,18
11233,,16749,non-kosher,40.683161,-73.935075,361 Lewis Avenue,Brooklyn,16
10002,,1713,non-kosher,40.722289,-73.989862,213-15 Eldridge Street,Manhattan,1
11419,,27779,non-kosher,40.687273,-73.824691,103-34 LEFFERTS BLVD,Queens,27
11369,,24711,non-kosher,40.703993,-73.909707,95-06 ASTORIA BLVD,Queens,24
11203,K395,22109,non-kosher,40.635842,-73.933099,1001 EAST  45 STREET,Brooklyn,22
10451,X018,7018,non-kosher,40.816369,-73.922697,502 MORRIS AVENUE,Bronx,7
11225,,17722,non-kosher,40.661116,-73.947773,560 New York Avenue,Brooklyn,17
11208,,19731,non-kosher,40.668397,-73.873084,465 Fountain Ave,Brooklyn,19
11436,Q045,27045,non-kosher,40.671871,-73.788866,126-28 150 STREET,Queens,27
11413,Q231,29356,non-kosher,40.664809,-73.759396,145-00 SPRINGFIELD BOULEVARD,Queens,29
11693,,27709,non-kosher,40.608768,-73.753951,16-26 CROSS BAY BLVD,Queens,27
11204,K205,20205,non-kosher,40.614737,-73.986792,6701 20 AVENUE,Brooklyn,20
10467,X096,11096,non-kosher,40.86073,-73.868986,2385 OLINVILLE AVENUE,Bronx,11
11694,,27773,non-kosher,40.57971,-73.837487,116-15 ROCKAWAY BEACH BLVD.,Queens,27
11208,K007,19007,non-kosher,40.689213,-73.872983,858 JAMAICA AVENUE,Brooklyn,19
11216,K256,13256,non-kosher,40.690595,-73.94961,114 KOSCIUSZKO STREET,Brooklyn,13
10465,X192,8271,non-kosher,40.826794,-73.818083,650 HOLLYWOOD AVENUE,Bronx,8
11210,K269,22846,non-kosher,40.637625,-73.947672,1957 NOSTRAND AVENUE,Brooklyn,22
11236,K515,18566,non-kosher,40.634451,-73.916927,6565 FLATLANDS AVENUE,Brooklyn,18
11377,,30744,non-kosher,40.745524,-73.90982,54-22 SKILLMAN AVE,Queens,30
10030,M123,5123,non-kosher,40.820216,-73.944551,301 WEST 140 STREET,Manhattan,5
11691,,27749,non-kosher,40.596298,-73.77244,433A Beach 40th Street,Queens,27
11221,K106,32106,non-kosher,40.693318,-73.913378,1328 PUTNAM AVENUE,Brooklyn,32
11221,K081,16081,non-kosher,40.692866,-73.935123,990 DEKALB AVENUE,Brooklyn,16
11373,,24732,non-kosher,40.738498,-73.877382,86-07 BROADWAY,Queens,24
11216,K138,17138,non-kosher,40.673943,-73.951559,760 PROSPECT PLACE,Brooklyn,17
10457,X137,10137,non-kosher,40.854257,-73.897404,2225 WEBSTER AVENUE,Bronx,10
10460,X098,12098,non-kosher,40.836245,-73.890591,1619 BOSTON ROAD,Bronx,12
11207,,19707,non-kosher,40.665054,-73.885789,665 New Lots Avenue,Brooklyn,19
11422,,29706,non-kosher,40.660152,-73.739488,144-20 243RD ST,Queens,29
11385,,24718,non-kosher,,,20-12 MADISON ST.,Queens,24
11106,Q166,30166,non-kosher,40.757497,-73.926249,33-09 35 AVENUE,Queens,30
10304,R070,31084,non-kosher,,,45 Waverly Place,Staten Island,31
11423,Q035,29035,non-kosher,40.713438,-73.768894,191-02 90 Avenue,Queens,29
10010,,2799,non-kosher,40.736137,-73.976159,392 Asser Levy Place @ 23rd Street,Manhattan,2
10282,M089,2089,non-kosher,40.71701,-74.013967,201 WARREN STREET,Manhattan,2
11421,,27733,non-kosher,40.694619,-73.861812,85-41 FOREST PARKWAY,Queens,27
11206,,14755,non-kosher,40.704737,-73.93927,340 Bushwick Avenue,Brooklyn,14
11354,,28726,non-kosher,40.708104,-73.798948,98-27 Metropolitan Ave,Queens,28
11212,K275,23518,non-kosher,40.655644,-73.906662,985 ROCKAWAY AVENUE,Brooklyn,23
11105,Q141,30141,non-kosher,40.775766,-73.904508,37-11 21 AVENUE,Queens,30
11203,,18793,non-kosher,40.648725,-73.930067,1000 Utica Avenue,Brooklyn,18
11213,K390,17390,non-kosher,40.67229,-73.937601,1224 PARK PLACE,Brooklyn,17
10475,X160,11160,non-kosher,40.864073,-73.823816,4140 Hutchinson River Parkway East,Bronx,11
10473,X107,8107,non-kosher,40.819221,-73.868735,1695 SEWARD AVENUE,Bronx,8
11207,K328,19328,non-kosher,40.667985,-73.898249,330 ALABAMA AVENUE,Brooklyn,19
11207,K296,32562,non-kosher,40.688647,-73.910589,125 COVERT STREET,Brooklyn,32
11373,Q455,24527,non-kosher,40.740824,-73.874129,48-01 90 STREET,Queens,24
11238,K316,17316,non-kosher,40.674685,-73.961418,750 CLASSON AVENUE,Brooklyn,17
11369,Q127,30127,non-kosher,40.765507,-73.870931,98-01 25 AVENUE,Queens,30
11233,K040,16040,non-kosher,40.680239,-73.921099,265 RALPH AVENUE,Brooklyn,16
11363,,26716,non-kosher,,,249-01 NORTHERN BLVD,Queens,26
11435,Q217,28217,non-kosher,40.710384,-73.811461,85-05 144 STREET,Queens,28
11368,Q061,24061,non-kosher,40.741898,-73.862886,98-50 50 AVENUE,Queens,24
11691,Q253,27253,non-kosher,40.607247,-73.748799,1307 CENTRAL AVENUE,Queens,27
11378,Q153,24153,non-kosher,40.716296,-73.904463,60-02 60 LANE,Queens,24
11354,,25719,non-kosher,40.763998,-73.809754,155-06 ROOSEVELT AVE,Queens,25
11212,K263,23263,non-kosher,40.666187,-73.911279,210 CHESTER STREET,Brooklyn,23
10461,X014,8014,non-kosher,40.835318,-73.826277,3047 BRUCKNER BOULEVARD,Bronx,8
11239,K346,19346,non-kosher,40.64664,-73.881997,1400 PENNSYLVANIA AVENUE,Brooklyn,19
11364,,26718,non-kosher,40.757064,-73.770122,79-50 Bell Blvd,Queens,26
11221,K324,16267,non-kosher,40.68797,-73.932066,800 GATES AVENUE,Brooklyn,16
10467,X177,10077,non-kosher,40.872559,-73.875375,3177 WEBSTER AVENUE,Bronx,10
11208,K218,19218,non-kosher,40.67002,-73.874537,370 FOUNTAIN AVENUE,Brooklyn,19
11210,K152,22152,non-kosher,40.632619,-73.954269,725 EAST  23 STREET,Brooklyn,22
11361,Q405,26503,non-kosher,40.771398,-73.781041,32-24 CORPORAL KENNEDY STREET,Queens,26
10029,M050,4964,non-kosher,40.785559,-73.940919,433 EAST 100 STREET,Manhattan,4
10466,X112,11112,non-kosher,40.88494,-73.843977,1925 SCHIEFFELIN AVENUE,Bronx,11
10033,M048,6048,non-kosher,40.853193,-73.933629,4360-78 BROADWAY,Manhattan,6
11385,Q849,24693,non-kosher,40.699101,-73.902147,976 Seneca Avenue,Queens,24
10456,,9746,non-kosher,40.837177,-73.90798,E. 170th & Clay Ave.,Bronx,9
10002,M188,1188,non-kosher,40.719888,-73.97738,442 EAST HOUSTON STREET,Manhattan,1
11232,,15733,non-kosher,40.649901,-74.004688,7th Avenue btw 41 Street & 44 Street,Brooklyn,15
11354,,25725,non-kosher,,,31-32 UNION ST.,Queens,25
10472,X423,12578,non-kosher,40.832508,-73.878191,1551 East 172 Street,Bronx,12
10458,X254,10254,non-kosher,40.858721,-73.889878,2452 WASHINGTON AVENUE,Bronx,10
11693,Q183,27183,non-kosher,40.58922,-73.805866,2-45 BEACH  79 STREET,Queens,27
10472,X123,8123,non-kosher,40.824989,-73.874162,1025 MORRISON AVENUE,Bronx,8
11234,K312,22312,non-kosher,40.622442,-73.909554,7103 Avenue T,Brooklyn,22
11373,Q007,24007,non-kosher,40.739644,-73.882446,80-55 CORNISH AVENUE,Queens,24
10030,M175,5175,non-kosher,40.814388,-73.942706,175 WEST 134 STREET,Manhattan,5
10002,M131,2868,non-kosher,40.716231,-73.993607,100 HESTER STREET,Manhattan,2
11211,K050,14050,non-kosher,40.711915,-73.960137,183 SOUTH  3 STREET,Brooklyn,14
11412,Q192,29192,non-kosher,40.705989,-73.752885,109-89 204 STREET,Queens,29
10029,M072,4072,non-kosher,40.791444,-73.94745,131 EAST 104 STREET,Manhattan,4
11355,,25752,non-kosher,40.74308,-73.825526,60-05 MAIN ST.,Queens,25
10473,X174,8267,non-kosher,40.815043,-73.85607,456 WHITE PLAINS ROAD,Bronx,8
11433,,28796,non-kosher,40.695879,-73.790734,108-41 GUY R. BREWER BLVD.,Queens,28
10453,X338,9204,non-kosher,40.849416,-73.915217,1780 Dr. Martin Luther King Jr. Blvd,Bronx,9
11369,,30732,non-kosher,40.759078,-73.86984,99 Street btw Northern Blvd & 32nd A,Queens,30
11207,K166,19654,non-kosher,40.659934,-73.885704,800 VAN SICLEN AVE,Brooklyn,19
10026,M088,3088,non-kosher,40.80261,-73.954152,215 WEST 114 STREET,Manhattan,3
10452,X126,9126,non-kosher,40.835866,-73.9282,175 WEST 166 STREET,Bronx,9
10456,X158,12579,non-kosher,40.826933,-73.900593,800 HOME STREET,Bronx,12
11212,,18710,non-kosher,40.655815,-73.915258,9612 Church Avenue,Brooklyn,18
11355,Q237,25237,non-kosher,40.74943,-73.821402,46-21 COLDEN STREET,Queens,25
10029,,4707,non-kosher,40.793562,-73.937181,2180 1st Avenue @ 112th Street,Manhattan,4
11207,,23716,non-kosher,40.663438,-73.912072,694 THOMAS BOYLAND ST.,Brooklyn,23
112606,,14752,non-kosher,40.697556,-73.949822,604  Park Ave,Brooklyn,14
11226,,17723,non-kosher,40.652192,-73.958177,22 Linden Boulevard,Brooklyn,17
10030,M970,5543,non-kosher,40.815237,-73.944299,200-214 WEST 135TH STREET,Manhattan,5
10462,X194,11194,non-kosher,40.83541,-73.846594,2365 WATERBURY AVENUE,Bronx,11
