ID,Title,Year,Rating,Director,Creators,Cast,Genre,Duration,ContentRating,Summary
b-11,The Day After Tomorrow,5/28/2004,5.3,Roland Emmerich,Jeffrey Nachmanoff^Roland Emmerich,Dennis Quaid^Jake Gyllenhaal^Emmy Rossum^Dash Mihok,Drama^Action & Adventure^Mystery & Suspense^Science Fiction & Fantasy,2 hr. 4 min.,PG-13,temperatures in Manhattan. Having taken refuge inside the Manhattan Public Library Sam manages to reach his father by phone. Jack only has time for one warning: stay inside at all costs. As full-scale massive evacuations to the south begin Jack heads north to New York City to save Sam. But not even Jack is prepared for what is about to happen--to him to his son and to his planet.
b-12,The Aggression Scale,NULL,N,Steven C. Miller,Ben Powell,Ryan Hartwig^Fabianne Therese^Ray Wise^Dana Ashbrook,Drama^Action & Adventure^Mystery & Suspense,1 hr. 24 min.,R,"thriller that IndieWire called ""like Home Alone with more death!"""
b-13,Air Collision,NULL,NULL,Liz Adams,Liz Adams,Jordan Ladd^Gerald Webb^Reginald VelJohnson^Michael Teh,Action & Adventure,1 hr. 30 min.,PG,Brace yourself for high tension at 30000 feet as a powerful solar storm disables air traffic control across the United States putting a commercial jet-liner directly in the path of Air Force One. Reginald Veljohnson and Jordan Ladd star. ~ Jason Buchanan Rovi
b-14,Alex Cross,10/19/2012,3.5,Rob Cohen,Kerry Williamson^Marc Moss,Tyler Perry^Matthew Fox^Edward Burns^Jean Reno,Mystery & Suspense^Action & Adventure,1 hr. 41 min.,PG-13,Alex Cross follows the young homicide detective/psychologist (Tyler Perry) from the worldwide best-selling novels by James Patterson as he meets his match in a serial killer (Matthew Fox). The two face off in a high-stakes game of cat and mouse but when the mission gets personal Cross is pushed to the edge of his moral and psychological limits in this taut and exciting action thriller. -- (C) Lionsgate
b-15,Alien Origin,NULL,NULL,Mark Atkins,Mark Atkins,Chelsea Vincent^Peter Pedrero^Philip Coc^Trey McCurley,Action & Adventure^Mystery & Suspense^Science Fiction & Fantasy,1 hr. 31 min.,PG-13,The secrets of mankind's origins are revealed with the discovery of shocking footage from a doomed military mission.
b-16,Allegiance,12/28/2012,4.3,Michael Connors,Michael Connors,Seth Gabel^Aidan Quinn^Bow Wow^Malik Yoba,Mystery & Suspense^Science Fiction & Fantasy,1 hr. 31 min.,R,After being granted a questionable transfer that will keep him stateside as his National Guard unit deploys for Iraq Lieutenant Danny Sefton (Seth Gabel) becomes embroiled in a last minute AWOL attempt by one of his soldiers (Bow Wow) -- forcing him to choose between his loyalties to the fleeing soldier his unit and his fianc. (c) Xlrator Media
b-17,Alter Egos,10/19/2012,NULL,Jordan Galland,Jordan Galland,Kris Lemche^Joey Kern^Brooke Nevin^Danny Masterson,Documentary^Comedy,1 hr. 21 min.,R,Alter Egos takes place in a world in which superheroes have recently lost all government funding and public support. It centers on an under appreciated superhero who jeopardizes a dangerous mission with his own emotional crisis--his girlfriend is cheating on him with his alter ego. (c) Official Site
b-18,The Amazing Adventures of the Living Corpse,NULL,NULL,Justin Paul Ritter,Justin Paul Ritter^Ryan Plato,Claudine Claudio^Michael Villar^Marshal Hilton^Lee Perkins,Action & Adventure^Horror^Animation^Science Fiction & Fantasy,1 hr. 27 min.,R,A soulful zombie fights to keep the dead from rising up from their graves and feasting on the flesh of the living in this animated adaptation of Ken Haeser and Buz Hassoncult cult comic The Living Corpse Exhumed.
b-19,The Amazing Spider-Man,7/3/2012,6.6,Marc Webb,Steve Ditko^Stan Lee^Alvin Sargent^Steve Kloves^James Vanderbilt,Andrew Garfield^Emma Stone^Rhys Ifans^Denis Leary,Action & Adventure^Science Fiction & Fantasy,2 hr. 16 min.,PG-13,Connors (Ifans) his father's former partner. As Spider-Man is set on a collision course with Connors' alter-ego The Lizard Peter will make life-altering choices to use his powers and shape his destiny to become a hero. -- (C) Sony
b-20,American Reunion,4/6/2012,5.2,Jon Hurwitz,Adam Herz^Hayden Schlossberg^Jon Hurwitz,Alyson Hannigan^Jason Biggs^Chris Klein^Thomas Ian Nicholas,Comedy^Romance,1 hr. 50 min.,R,Heather grew apart but Finch still longs for Stifler's mom. Now these lifelong friends have come home as adults to reminisce about-and get inspired by-the hormonal teens who launched a comedy legend. -- (C) Universal
b-21,Any Day Now,12/14/2012,6.7,Travis Fine,Travis Fine^George Arthur Bloom,Alan Cumming^Garret Dillahunt^Isaac Leyva^Gregg Henry,Drama,1 hr. 37 min.,R,authorities Rudy and Paul must fight a biased legal system to adopt the child they have come to love as their own. (c) Music Box Films
b-22,Apostle Peter and the Last Supper,NULL,N,Gabriel Sabloff,Gabriel Sabloff^Timothy Ratajczak,Robert Loggia^Bruce Marchiano^Laurence Fuller^Ryan Alosio,Drama^Faith & Spirituality,1 hr. 28 min.,Unrated,Journey back to Biblical times in this faith-based {drama} telling the tale of Jesus (Bruce Marchiano) and Peter (Robert Loggia) the latter of whom rose up from common beginnings to become a prominent figure in the history of Christianity. ~ Jason Buchanan Rovi
b-23,The Apparition,8/24/2012,2.2,Todd Lincoln,Todd Lincoln,Ashley Greene^Sebastian Stan^Julianna Guill^Rick Gomez,Mystery & Suspense^Horror,1 hr. 23 min.,PG-13,force. -- (C) Warner Bros.
b-24,Arbitrage,9/14/2012,7,Nicholas Jarecki,Nicholas Jarecki,Susan Sarandon^Richard Gere^Tim Roth^Brit Marling,Mystery & Suspense^Drama,1 hr. 47 min.,R,Brooke (Brit Marling) Miller's also balancing an affair with French art-dealer Julie Cote (Laetetia Casta). Just as he's about to unload his troubled empire an unexpected bloody error forces him to juggle family business and crime with the aid of Jimmy Grant (Nate Parker) a face from Miller's past. -- (C) Official Site
b-25,Arcadia,NULL,6.7,Olivia Silver,Olivia Silver,John Hawkes^Ryan Simpkins^Kendall Toole^Ty Simpkins,Drama,1 hr. 31 min.,Unrated,mesmerized by the strange new scenery and clinging to her stuffed bunny Harrison. Older sister Caroline nonchalantly accepts his stories more focused on the boyfriend she's leaving behind. And nine-year-old Nat too young to suspect a thing is eager to see the epic Grand Canyon. But Tom's mood shifts as often as the landscape outside their window and the kids soon find themselves in increasingly unpleasant and even dangerous situations. Mom's presence seems to recede further with every mile they travel. (c) Film Movement
b-26,Argo,10/12/2012,8.4,Ben Affleck,Chris Terrio,Ben Affleck^Alan Arkin^John Goodman^Bryan Cranston,Mystery & Suspense^Drama,2 hr.,R,"only a matter of time before the six are found out and likely killed a CIA ""exfiltration"" specialist named Tony Mendez (Ben Affleck) comes up with a risky plan to get them safely out of the country. A plan so incredible it could only happen in the movies. -- (C) Warner Bros."
b-27,Art Machine,2/7/2014,N,Doug Karr,Nuno Faustino^Doug Karr,Joseph Cross^Jessica Szohr^Meredith Hagner^Christopher Abbott,Comedy,1 hr. 29 min.,Unrated,experimentation quickly spinning out of control. As he becomes consumed by his mania he begins to regard his mother (Joey Lauren Adams) as part of a system that's keeping him down and magnetically rallies the rebels to take part in his progressively subversive art exhibition--one that will ultimately shock and destroy. (c) Pie Face
b-28,ATM,4/6/2012,4,David Allen Brooks,Chris Sparling,Brian Geraghty^Josh Peck^Alice Eve^Mike O'Brien,Mystery & Suspense^Horror,1 hr. 30 min.,R,cat-and-mouse. -- (C) IFC
b-29,Atlas Shrugged: Part II,10/12/2012,3,John Putch,Brian Patrick O'Toole^Duke Sandefur^Duncan Scott,Samantha Mathis^Jason Beghe^Esai Morales^Patrick Fabian,Drama,1 hr. 52 min.,PG-13,World. But the motor is dead... there is no one left to decipher its secret... and someone is watching. It's a race against the clock to find the inventor before the motor of the World is stopped for good. Who is John Galt? -- (C) Official Site
b-30,Atom The Amazing Zombie Killer,NULL,NULL,Zack Beins,Tim Johnson^Zack Beins^Richard Taylor,Lloyd Kaufman^Babette Bombshell^Shawn C. Phillips,Horror^Comedy,1 hr. 20 min.,Unrated,Atom is an amazing zombie killer has a horny girlfriend...and is the best bowler in the league! But don't tell that to Dario and the Slashers the evil bowling rivals who will stop at nothing to thwart Atom and his buddies. When all of his problems come to a head Atom must battle his worst nightmare--ZOMBIES! May the bloodbath begin! let's ROCK and BOWL in this outrageous horror comedy!
b-31,The Avengers,8/14/1998,3,Jeremiah Chechik,Don MacPherson,Ralph Fiennes^Uma Thurman^Sean Connery^Eileen Atkins,Action & Adventure,1 hr. 30 min.,PG-13,This movie version of the '60s British T.V. series follows ultra-cool secret agents John Steed and Emma Peel on their mission from the English government to track down supervillain Sir August de Wynter. They all battle for control of a powerful weather-controlling device: the Prospero Project.
b-32,The Babymakers,8/3/2012,3.5,Jay Chandrasekhar,Peter Gaulke^Gerry Swallow,Paul Schneider^Olivia Munn^Kevin Heffernan^Wood Harris,Action & Adventure^Comedy,1 hr. 33 min.,R,laugh-out loud comedy showing how far one couple will go in hopes of creating a new life. -- (C) Official Site
b-33,Bachelorette,9/7/2012,5.5,Leslye Headland,Leslye Headland,Kirsten Dunst^Isla Fisher^Lizzy Caplan^James Marsden,Comedy,1 hr. 31 min.,R,(Lizzy Caplan) is a whip-smart sarcastic who's actually a closet romantic and Katie (Isla Fisher) is a ditzy beauty who loves the good life. But when Becky insists on keeping the bachelorette party tame the women proceed with an after-hours celebration of their own. -- (C) Official Site
b-34,Bad Ass,4/13/2012,4.7,Craig Moss,Craig Moss^Elliot Tishman,Danny Trejo^Ron Perlman^Joyful Drake^Charles S. Dutton,Action & Adventure,1 hr. 30 min.,R,Decorated Vietnam hero Frank Vega returns home only to get shunned by society leaving him without a job or his high school sweetheart. It's not until forty years later when an incident on a commuter bus (where he protects an elderly black man from a pair of skin heads) makes him a local hero where he's suddenly celebrated once again. But his good fortune suddenly turns for the worse when his best friend Klondike is murdered and the police aren't doing anything about it. -- (C) Official Site
b-35,Bad Kids Go to Hell,12/7/2012,4.3,Matthew Spradlin,Matthew Spradlin^Barry Wernick,Judd Nelson^Ben Browder^Cameron Deane Stewar...^Ali Faulkner,Mystery & Suspense^Comedy,1 hr. 31 min.,R,finally come to punish the school's worst (and seemingly untouchable) brats? One thing is for sure...Daddy's money can't save them now. -- (C) Official Site
b-36,Barbie In A Mermaid Tale 2,2/4/2012,N,NULL,NULL,Kelly Sheridan^Ashleigh Ball^Kathleen Barr^Nicole Oliver,Animation^Kids & Family,1 hr. 15 min.,Unrated,of both worlds!
b-37,Barbie: The Princess & the Popstar,NULL,NULL,Ezekiel Norton,Steve Granat^Cydne Clark,Kelly Sheridan,Animation^Kids & Family,1 hr. 16 min.,Unrated,This musical adventure stars Barbie in the role of Tori a kindhearted princess who prefers song and dance to attending to her royal duties. When Keira her favorite pop star comes for a visit the two discover a magical secret that allows one to look like the other. It isn't long before they agree to swap lives but it isn't long before they both girls realize that the other's life isn't as rosy as what they imagined.
b-38,The Barrens,9/28/2012,N,Darren Lynn Bousman,Darren Lynn Bousman,Stephen Moyer^Mia Kirshner^Allie MacDonald^Peter DaCunha,Horror,1 hr. 38 min.,R,It's known as the Jersey Devil the winged beast spawned 400 years ago by Satan himself. Some say this creature still inhabits the dense pine forests of southern New Jersey where Richard Vineyard (Moyer) takes his family for a rustic weekend camping trip. As the Vineyard family ventures further into the woods in search of the perfect campsite Richard teeters on the edge of sanity. Welcome to a new kind of horror that lives - and kills - in a place called The Barrens. -- (C) Anchor
b-39,Barricade,9/25/2012,NULL,Andrew Currie,Michelbrent Collings,Eric McCormack^Jody Thompson^Connor Dwelly^Ryan Grantham,Action & Adventure^Horror,1 hr. 22 min.,PG-13,A psychiatrist seeking to find normalcy after the sudden passing of his wife takes his two kids to a remote cabin for healing and bonding. Their joy soon turns to despair when the family is terrorized by unknown forces and the father will stop at nothing to save them from peril. -- (C) Barricade Productions
b-40,Batman: The Dark Knight Returns Part 1,NULL,7.9,Jay Oliva,Bob Goodman,Peter Weller^Ariel Winter^David Selby^Wade Williams,Action & Adventure^Animation,2 hr. 14 min.,PG-13,Superman in a battle that only one of them will survive.
b-41,The Battery,6/10/2014,N,Jeremy Gardner,Jeremy Gardner,Adam Cronheim^Alana O'Brien^Niels Bolle^Jamie Pantanella,Drama^Horror,1 hr. 41 min.,Unrated,Zombies. Baseball. Road Trip. What more do you need? A FilmBuff Presentation.
b-42,Battlefield America,6/1/2012,2.8,C. Brian,C. Brian^Marques Houston^Chris Stokes^Christopher B. Stokes,Marques Houston^Mekia Cox^Lynn Whitfield^Christopher Michael ...,Musical & Performing Arts^Drama,1 hr. 46 min.,PG-13,With Sean motivating them The Bad Boys find the confidence to rise to the challenge and defeat their nemesis The Bang Squad at the annual dance battle competition Battlefield America! -- (C) Cinedigm
b-43,Battleship,5/18/2012,4.6,Peter Berg,Brian Koppelman^David Levien^Jon Hoeber^Erich Hoeber,Taylor Kitsch^Alexander Skarsgrd^Rihanna^Brooklyn Decker,Action & Adventure^Science Fiction & Fantasy,2 hr. 11 min.,PG-13,USS Sampson; Rihanna as Petty Officer Raikes Hopper's crewmate and a weapons specialist on the USS John Paul Jones; and international superstar Liam Neeson as Hopper and Stone's superior (and Sam's father) Admiral Shane. -- (C) Universal
b-44,The Bay,11/2/2012,6.6,Barry Levinson,Barry Levinson^Michael Wallach,Kristen Connolly^Will Rogers^Kether Donohue^Frank Deal,Horror,1 hr. 25 min.,R,parasitic outbreak. Told from the perspective of those who were there and saw what happened The Bay unfolds over 24 hours though people's iPhones Androids 911 calls web cams and whatever else could be used to document the nightmare in Claridge. -- (C) Official Site
b-45,BearCity 2: The Proposal,9/28/2012,N,Douglas Langway,Douglas Langway,Gerald McCullouch^Joe Conti^Stephen Guarino^Brian Keane,Comedy,1 hr. 45 min.,Unrated,"the groom learns a whole new meaning to the word ""Daddy!"" BearCity 2: The Proposal is a romp full of fur fun and family as the bears realize that marriage is much more than just the freedom to say ""I do."" -- (C) Official Site"
b-46,Beasts of the Southern Wild,6/27/2012,8.2,Benh Zeitlin,Benh Zeitlin^Lucy Alibar,Dwight Henry^Lowell Landes^Levy Easterly^Pamela Harper,Drama,1 hr. 31 min.,PG-13,proportions. -- (C) Fox Searchlight
b-47,Beauty and the Beast,1/13/2012,8.4,Gary Trousdale,NULL,Paige O'Hara^Robby Benson^Jerry Orbach^Angela Lansbury,Animation^Romance^Drama^Kids & Family^Musical & Performing Arts^Science Fiction & Fantasy,1 hr. 25 min.,G,a mantel clock among others-and ultimately learns to see beneath the Beast's exterior to discover the heart and soul of a prince. -- (C) Disney
b-48,The Beauty Inside,9/11/2015,6,Jong-Yeol Baek,Jeong-ye Park^Seon-jeong Kim,Beom-su Lee^Han Hyo-joo^Ji-han Do^Chun Woo-hee,Comedy,2 hr. 7 min.,Unrated,Every morning Woo-jin wakes up in a different body. His age gender and nationality may change but the one constant in his life is Yi-soo - the women he loves. She knows his secret and loves him anyway. With every transformation Woo-jin has to figure out how to return to his own body and reunite with Yi-soo. The surprise sleeper hit of Cannes THE BEAUTY INSDIE is a body-hopping romantic comedy that asks the question - where does love begin?
b-49,Being Flynn,3/2/2012,5.9,Paul Weitz,Nick Flynn^Paul Weitz,Robert De Niro^Paul Dano^Julianne Moore^Olivia Thirlby,Drama,1 hr. 42 min.,R,and slowly Nick comes to realize he has been given the chance to make a real future not only for himself but for his struggling father too. -- (C) Focus
b-50,Ben Banks,NULL,N,Bryce Clark,Bryce Clark,Mischa Barton^Ben Banks^Alex Beh^Katharine Towne,Drama^Comedy,1 hr. 30 min.,Unrated,Ben Banks the 28-year-old journalism student smokes weed and avoids responsibility. Ben Banks the movie asks; What would it take to awaken ambition in this guy? The answer? A local conspiracy a dead body and a gorgeous woman (Mischa Barton) with a troubled past.
b-51,Bending the Rules,3/9/2012,NULL,Artie Mandelberg,Dylan Schaffer,Edge^Jamie Kennedy^Philip Baker Hall^Jessica Walter,Drama^Action & Adventure^Sports & Fitness,1 hr. 23 min.,PG-13,gets tough it's time to start Bending the Rules. -- (C) WWE
b-52,Bernie,4/27/2012,7.5,Richard Linklater,Richard Linklater^Skip Hollandsworth,Jack Black^Matthew McConaughey^Shirley MacLaine^Rick Dial,Comedy,1 hr. 44 min.,PG-13,became fully dependent on Bernie and his generosity and Bernie struggled to meet her increasing demands. Bernie continued to handle her affairs and the townspeople went months without seeing Marjorie. The people of Carthage were shocked when it was reported that Marjorie Nugent had been dead for some time and Bernie Tiede was being charged with the murder. -- (C) Official Site
b-53,Best Man Down,11/8/2013,5.2,Ted Koland,Ted Koland,Justin Long^Tyler Labine^Jess Weixler^Addison Timlin,Drama^Comedy,1 hr. 31 min.,PG-13,(Addison Timlin) in a small northern Minnesota town - all bets are off on who Lumpy really was. (c) Magnolia
b-54,Beverly Hills Chihuahua 3: Viva La Fiesta!,NULL,N,Lev L. Spiro,Jeffrey Bushell^Dana Starfield,George Lopez^Odette Annable^Emily Osment^Madison Pettis,Comedy^Kids & Family,1 hr. 29 min.,G,Papi to help Rosa find - and celebrate - her inner strength which turns out to be bigger than she ever dreamed. Overflowing with laughter love and excitement this is tail-wagging fun for the whole family!
b-55,Beyond The Reach,4/17/2015,4.8,Jean-Baptiste Lonetti,Stephen Susco,Michael Douglas^Jeremy Irvine^Hanna Mangan Lawrenc...^Ronny Cox,Mystery & Suspense,1 hr. 31 min.,R,A high-rolling corporate shark (Michael Douglas) and his impoverished young guide (Jeremy Irvine) play the most dangerous game during a hunting trip in the Mojave Desert in this lean mean cat-and-mouse thriller. (C) Roadside Attractions
b-56,Big Miracle,2/3/2012,6.2,Ken Kwapis,Jack Amiel^Michael Begler,John Krasinski^Drew Barrymore^Kristen Bell^Dermot Mulroney,Drama^Action & Adventure^Romance^Comedy,1 hr. 47 min.,PG,Inspired by the true story that captured the hearts of people across the world the rescue adventure Big Miracle tells the amazing tale of a small town news reporter (John Krasinski) and an animal-loving volunteer (Drew Barrymore) who are joined by rival world superpowers to save a family of majestic gray whales trapped by rapidly forming ice in the Arctic Circle. -- (C) Universal
b-57,Bill W.,5/18/2012,6.6,Dan Carracino,Kevin Hanlon^Patrick Gambuti Jr.,NULL,Documentary,1 hr. 44 min.,Unrated,success that made him an icon within A.A. but also an alcoholic unable to be a member of the very society he had created. A reluctant hero Bill Wilson lived a life of sacrifice and service and left a legacy that continues every day all around the world. -- (C) Official Site
b-58,Bindlestiffs,6/19/2012,NULL,Andrew Edison,Andrew Edison^Luke Loftin,John Karna^Andrew Edison^Luke Loftin^Morgan Alexander,Comedy,1 hr. 20 min.,R,they're planning a high school massacre and sets out on a mission to stop them at all costs.
b-59,Black Rock,5/17/2013,5.2,Katie Aselton,Mark Duplass,Kate Bosworth^Lake Bell^Katie Aselton^Will Bouvier,Mystery & Suspense^Drama,1 hr. 19 min.,R,Three childhood friends set aside their personal issues and reunite for a girls' weekend on a remote island off the coast of Maine. One wrong move turns their weekend getaway into a deadly fight for survival. (c) LD
b-60,Blood For Irina,NULL,NULL,Chris Alexander,Chris Alexander,Shauna Henry^Carrie Gemmell^David Goodfellow^Andre Becker,Horror,1 hr. 10 min.,Unrated,A 1000 year old vampire dwelling in a derelict seaside motel finds her own future and the future of the hotel manager taking a surprising turn with the unexpected arrival of a jaded prostitute in this horror yarn from Fangoria editor Chris Alexander. ~ Jason Buchanan Rovi
b-61,Border Run (The Mule),10/1/2012,NULL,Gabriela Tagliavini,Don Fiebiger^Amy Kolquist,Sharon Stone^Billy Zane^Miguel Rodarte^Rosemberg Salgado,Mystery & Suspense,1 hr. 36 min.,R,A conservative Phoenix television reporter (Sharon Stone) gets caught in a treacherous game of deception and death when she goes to Mexico to investigate the disappearance of her brother in this drama based on a true story.
b-62,The Bourne Legacy,8/10/2012,5.8,Tony Gilroy,Dan Gilroy^Tony Gilroy,Jeremy Renner^Edward Norton^Rachel Weisz^Joan Allen,Mystery & Suspense^Action & Adventure,2 hr. 15 min.,PG-13,series newcomers Rachel Weisz Edward Norton Stacy Keach and Oscar Isaac while franchise veterans Albert Finney Joan Allen David Strathairn and Scott Glenn reprise their roles. -- (C) Universal
b-63,Brake,3/23/2012,5,Gabe Torres,Timothy Mannion,Stephen Dorff^Chyler Leigh^JR Bourne^Tom Berenger,Mystery & Suspense^Action & Adventure,1 hr. 31 min.,R,plot. He will not be set free until he gives up information about the President he's been trained not to reveal. -- (C) IFC
b-64,Branded,9/7/2012,2.6,Alexander Doulerain,Alexander Doulerain^Jamie Bradshaw,Ed Stoppard^Leelee Sobieski^Jeffrey Tambor^Ingeborga Dapkunaite,Drama^Mystery & Suspense^Science Fiction & Fantasy,1 hr. 46 min.,R,Branded is a dark and mind-bending journey into a surreal dystopian society where corporate brands have unleashed a monstrous global conspiracy to get inside our minds and keep the population disillusioned dependent and passive. One man's Misha (Ed Stoppard) passion to unlock the truth behind the conspiracy will lead to an epic battle with the hidden forces that really control our world. -- (C) Official Site
b-65,Braveheart,5/26/1995,7.2,Mel Gibson,Randall Wallace,Mel Gibson^Sophie Marceau^Patrick McGoohan^Catherine McCormack,Drama^Action & Adventure^Classics,2 hr. 57 min.,R,years later a man educated both in the classics and in the art of war. There he finds his childhood sweetheart Murron (Catherine McCormack) and the two quickly fall in love. There are murmurs of revolt against the English throughout the village but Wallace remains aloof wishing simply to tend to his crops and live in peace. However when his love is killed by English soldiers the day after their secret marriage (held secretly so as to prevent the local English lord from exercising the repulsive right of prima noctae the privilege of sleeping with the bride on the first night of the marriage) he springs into action and single-handedly slays an entire platoon of foot soldiers. The other villagers join him in destroying the English garrison and thus begins the revolt against the English in what will eventually become full-fledged war. Wallace eventually leads his fellow Scots in a series of bloody battles that prove a serious threat to English domination and along the way has a hushed affair with the Princess of Wales (the breathtaking Sophie Marceau) before his imminent demise. For his efforts Gibson won the honor of Best Director from the Academy; the movie also took home statuettes for Best Picture Cinematography Makeup and Sound Effects. ~ Jeremy Beday Rovi
b-66,Breaking Wind,3/27/2012,N,Craig Moss,Craig Moss,Heather Ann Davis^Eric Callero^Frank Pacheco^Danny Trejo,Comedy,1 hr. 22 min.,R,The director of The 40 Year Old Virgin Who Knocked Up Sarah Marshall and Felt Super Bad About It turns his satirical sights on the Twilight Saga in this spoof that finds brooding teen Stella torn between a vain bloodsucker named Edward and a randy lycanthrope named Jacob.
b-67,Broken Roads,12/14/2012,N,Justin Chambers,Justin Chambers,Sally Kirkland^Aidan Bristow^Shoshanna Bush^Rolonda Watts,Drama,2 hr. 32 min.,Unrated,A teen's life is shattered by a tragic car accident leaving his mother dead and him distraught and lost. He's forced to move to a small town to live with his grandmother whom he's never met. After living together they discover that they're unable to find peace with their own demons until they've found peace with each other. BROKEN ROADS is a portrait of dealing with loss a journey toward rediscovery and the hills climbed which forever change us. (c) Official Site
b-68,Bully,4/13/2012,7,Lee Hirsch,Cynthia Lowen^Lee Hirsch,Ja'Meya Jackson^Kelby Johnson^Londa Johnson^Bob Johnson,Documentary^Special Interest,1 hr. 38 min.,PG-13,gun on her school bus. With an intimate glimpse into homes classrooms cafeterias and principals' offices the film offers insight into the often cruel world of the lives of bullied children. -- (C) Weinstein
b-69,The Metropolitan Opera: Madama Butterfly,4/2/2016,NULL,Anthony Minghella,Giacomo Puccini^Giuseppe Giacosa and Luigi Illica,Kristine Opolais^Patricia Racette^Massimo Giordano^Roberto Alagna,Special Interest,3 hr. 21 min.,Unrated,Patrick Summers conducts.
