ID,Title,Year,Rating,Director,Creators,Cast,Genre,Duration,ContentRating,Summary
a-11,The Aggression Scale,2012-03-10,5.9,Steven C. Miller,Ben Powell,Ryan Hartwig^Fabianne Therese^Ray Wise,Action^Crime^Thriller,85 min,R,When out-on-bail mob boss Bellavance discovers that $500000 of his money is missing he sends four hardcore hit men to send a "loud and messy" message to the suspected thieves' families. But when the killers invade the Rutledge home they'll meet the household's emotionally disturbed young son Owen. Owen has a history of violent behavior knows how to make lethal booby-traps and is about to teach these thugs some deadly lessons in extreme vengeance.
a-12,Air Collision,2012-03-27,2.9,Liz Adams,Liz Adams,Reginald VelJohnson^Jordan Ladd^Gerald Webb,Action^Adventure^Thriller,92 min,PG,A fierce electromagnetic storm cripples communications; as a result two planes - one a commercial jet the other Air Force One carrying the President of the United States and his family - are on a collision course.
a-13,Alex Cross,2012-10-19,5.1,Rob Cohen,Marc Moss^Kerry Williamson,Tyler Perry^Matthew Fox^Rachel Nichols,Action^Crime^Mystery^Thriller,101 min,PG-13,Dr. Alex Cross is on his last police duty to track down an assassin called Picasso who's been torturing and killing rich businessmen in Detroit. Soon when the mission gets personal Cross is pushed to the edge of his moral and psychological limits to end this once and for all.
a-14,Alien Origin,2012-06-12,1.9,Mark Atkins,NULL,Philip Coc^Eric Darins^Daniela Flynn,Biography^Horror^Sci-Fi^Thriller,88 min,NOT RATED,A movie created from "found footage" of a lost military expedition that exposes the origins of life on earth.
a-15,Alter Egos,2012-11-20,5.2,Jordan Galland,Jordan Galland,Kris Lemche^Brooke Nevin^Joey Kern,Comedy,80 min,R,Brendan a.k.a. the instant ice-forming superhero Fridge has become jealous of himself over his steady girlfriend Emily's preference for sleeping with posturing Fridge over whiny geek Brendan. Superhero buddy C-Thru would like Brendan to get it together get out of his Fridge tights and have a good wash. With superheroes in public disfavor and government subsidizing being pulled its a sad day when they have to haul in Shrink the last known and captured supervillain. Waiting for nightfall when Shrink can be transported from their motel room Brendan runs across Claudel the motel manager who dislikes superheroes and Jimmy an embittered cop who can turn invisible for only a few seconds. As Brendan and Claudel start to connect Brendan discovers a set-up that puts his future freedom and good name in jeopardy.
a-16,The Amazing Adventures of the Living Corpse,2012-07-14,3.8,Justin Paul Ritter,Ken Haeser^Buz Hasson,Maria Olsen^Marshal Hilton^Lee Perkins,Animation^Action^Fantasy^Horror,88 min,R,A somewhat self-aware zombie takes it upon himself to keep the rest of the walking dead at bay.
a-17,The Amazing Spider-Man,2012-07-03,7.1,Marc Webb,James Vanderbilt^Alvin Sargent,Andrew Garfield^Emma Stone^Rhys Ifans,Action^Adventure^Fantasy,136 min,PG-13,Peter Parker (Garfield) is an outcast high schooler who was abandoned by his parents as a boy leaving him to be raised by his Uncle Ben (Sheen) and Aunt May (Field). Like most teenagers Peter is trying to figure out who he is and how he got to be the person he is today. Peter is also finding his way with his first high school crush Gwen Stacy (Stone) and together they struggle with love commitment and secrets. As Peter discovers a mysterious briefcase that belonged to his father he begins a quest to understand his parents' disappearance - leading him directly to Oscorp and the lab of Dr. Curt Connors (Ifans) his father's former partner. As Spider-Man is set on a collision course with Connors' alter-ego The Lizard Peter will make life-altering choices to use his powers and shape his destiny to become a hero.
a-18,American Reunion,2012-04-06,6.8,Jon Hurwitz,Jon Hurwitz^Hayden Schlossberg,Jason Biggs^Alyson Hannigan^Seann William Scott,Comedy,113 min,R,Over a decade has passed and the gang return to East Great Falls Michigan for the weekend. They will discover how their lives have developed as they gather for their high school reunion. How has life treated Michelle Jim Heather Oz Kevin Vicky Finch Stifler and Stifler's mom? In the summer of 1999 it was four boys on a quest to lose their virginity. Now Kara is a cute high school senior looking for the perfect guy to lose her virginity to.
a-19,Any Day Now,2013-09-06,7.5,Travis Fine,Travis Fine^George Arthur Bloom,Alan Cumming^Garret Dillahunt^Isaac Leyva,Drama,98 min,R,In the late 1970s when a mentally handicapped teenager is abandoned a gay couple takes him in and becomes the family he's never had. But once the unconventional living arrangement is discovered by authorities the men must fight a biased legal system to adopt the child they have come to love as their own.
a-20,Apostle Peter and the Last Supper,2012,6.8,Gabriel Sabloff,Timothy Ratajczak^Gabriel Sabloff,Robert Loggia^Bruce Marchiano^Laurence Fuller,Drama^History,NULL,NULL,Three days before his execution the elderly Apostle Peter tells his jailer about his time with Jesus.
a-21,The Apparition,2012-08-24,4.1,Todd Lincoln,Todd Lincoln,Ashley Greene^Sebastian Stan^Tom Felton,Horror^Thriller,82 min,PG-13,When frightening events start to occur in their home young couple Kelly and Ben discover they are being haunted by a presence that was accidentally conjured during a university parapsychology experiment. The horrifying apparition feeds on their fear and torments them no matter where they try to run. Their last hope is an expert in the supernatural but even with his help they may already be too late to save themselves from this terrifying force.
a-22,Arbitrage,2012-09-14,6.6,Nicholas Jarecki,Nicholas Jarecki,Richard Gere^Susan Sarandon^Brit Marling,Drama^Thriller,107 min,R,Robert Miller is a successful financial businessman with a loving wife and a smart daughter ready to take over the family business. Professional secrets involving illegal fraudulent activities start coming out at the same time that Robert's personal secrets take a turn for the worse and threaten to derail everything he has achieved.
a-23,Arcadia,2014-01-01,6.1,Olivia Silver,Olivia Silver,Ryan Simpkins^Ty Simpkins^Kendall Toole,Drama,91 min,NULL,Greta's dad Tom is moving the family cross-country in a dented station wagon promising a California paradise to his kids. All that's missing is Mom.
a-24,Argo,2012-10-12,7.8,Ben Affleck,Chris Terrio^Tony Mendez,Ben Affleck^Bryan Cranston^John Goodman,Drama^History^Thriller,120 min,R,In 1979 the American embassy in Iran was invaded by Iranian revolutionaries and several Americans were taken hostage. However six managed to escape to the official residence of the Canadian Ambassador and the CIA was ordered to get them out of the country. With few options exfiltration expert Tony Mendez devised a daring plan: create a phony Canadian film project looking to shoot in Iran and smuggle the Americans out as its production crew. With the help of some trusted Hollywood contacts Mendez created the ruse and proceeded to Iran as its associate producer. However time was running out with the Iranian security forces closing in on the truth while both his charges and the White House had grave doubts about the operation themselves.
a-25,ATM,2012-03-02,4.6,David Brooks,Chris Sparling,Alice Eve^Josh Peck^Brian Geraghty,Horror^Thriller,90 min,R,After a party David Hargrove gives a ride home to his colleagues Emily Brandt and Corey Thompson. Corey decides to have dinner and they go to an isolated ATM. Soon they are threatened by an unknown man and they become trapped in the ATM trying to survive.
a-26,Art Machine,2012-10-12,6.9,Doug Karr,Nuno Viera Faustino^Doug Karr,Joseph Cross^Jessica Szohr^Joey Lauren Adams,Comedy,NULL,NULL,On the verge of a coming of age showcase a failing child prodigy painter desperately seeks inspiration; his world explodes through an incendiary meeting with a pyrotechnic artist but in order to relinquish the chokehold of his domineering mother he must resolve the clash between creative genius and clinical mania.
a-27,Atlas Shrugged: Part I,2011-04-15,5.8,Paul Johansson,Brian Patrick O'Toole^John Aglialoro,Taylor Schilling^Grant Bowler^Matthew Marsden,Drama^Mystery^Sci-Fi,97 min,PG-13,It was great to be alive once but the world was perishing. Factories were shutting down transportation was grinding to a halt granaries were empty--and key people who had once kept it running were disappearing all over the country. As the lights winked out and the cities went cold nothing was left to anyone but misery. No one knew how to stop it no one understood why it was happening - except one woman the operating executive of a once mighty transcontinental railroad who suspects the answer may rest with a remarkable invention and the man who created it - a man who once said he would stop the motor of the world. Everything now depends on finding him and discovering the answer to the question on the lips of everyone as they whisper it in fear: Who *is* John Galt?
a-28,Atom the Amazing Zombie Killer,2012-04-20,4.3,Zack Beins,Zack Beins^Tim Johnson,Tom Autry^Matthew M. Baxter^Brad Beins,Comedy^Horror,80 min,NULL,Atom is an amazing zombie killer has a horny girlfriend...and is the best bowler in the league! But don't tell that to Dario and the Slashers the evil bowling rivals who will stop at nothing to thwart Atom and his buddies. When all of his problems come to a head Atom must battle his worst nightmare--ZOMBIES! May the bloodbath begin! let's ROCK and BOWL in this outrageous horror comedy!
a-29,The Avengers,2012-05-04,8.1,Joss Whedon,Joss Whedon^Zak Penn,Robert Downey Jr.^Chris Evans^Scarlett Johansson,Action^Adventure^Sci-Fi,143 min,PG-13,Nick Fury is director of S.H.I.E.L.D an international peace keeping agency. The agency is a who's who of Marvel Super Heroes with Iron Man The Incredible Hulk Thor Captain America Hawkeye and Black Widow. When global security is threatened by Loki and his cohorts Nick Fury and his team will need all their powers to save the world from disaster.
a-30,The Babymakers,2012-08-24,4.9,Jay Chandrasekhar,Peter Gaulke^Gerry Swallow,Paul Schneider^Olivia Munn^Kevin Heffernan,Comedy,95 min,R,After failing to get his wife pregnant a guy (Schneider) recruits his pals to steal the deposit he left at a sperm bank years ago.
a-31,Bachelorette,2012-09-06,5.3,Leslye Headland,Leslye Headland^Leslye Headland,Kirsten Dunst^Isla Fisher^Lizzy Caplan,Comedy^Romance,87 min,R,On the night of one of their old high school friend's wedding three irresponsible and capricious bridesmaids reunite for one last bachelorette bacchanal in the Big Apple. They unintentionally create a mess of their best friend Becky's wedding dress before she marries her sweetheart Dale. They attempt to repair the situation by spending the evening before and morning of the wedding desperate to get the dress to Becky on time before the wedding starts whilst discovering themselves and what they truly want from their lives along the way.
a-32,Bad Ass,2012-08-13,5.5,Craig Moss,Craig Moss^Elliot Tishman,Danny Trejo^Charles S. Dutton^Ron Perlman,Action^Comedy^Crime,90 min,R,Decorated Vietnam hero Frank Vega returns home only to get shunned by society leaving him without a job or his high school sweetheart. It's not until forty years later when an incident on a commuter bus (where he protects an elderly black man from a pair of skin heads) makes him a local hero where he's suddenly celebrated once again. But his good fortune suddenly turns for the worse when his best friend Klondike is murdered and the police aren't doing anything about it.
a-33,Bad Kids Go to Hell,2012-12-07,4.5,Matthew Spradlin,Matthew Spradlin^Barry Wernick,Judd Nelson^Ben Browder^Amanda Alch,Comedy^Mystery^Thriller,91 min,R,The Breakfast Club meets The Grudge in this sexy dark comedy-thriller! Six prep school kids from Crestview Academy home to the spoiled offspring of society's elite find themselves stuck in detention on a frightfully dark and stormy Saturday afternoon. During their 8 hour incarceration each of the six kids falls victim to a horrible "accident" until only one of them remains. As each of these spoiled rich kids bites the dust the story takes on a series of humorous and frantic twists and turns. Is one of the kids secretly evening the school's social playing field? Or have the ghosts of prestigious Crestview Academy finally come to punish the school's worst (and seemingly untouchable) brats? One thing is for sure...Daddy's money can't save them now. (Based on the best selling indie comic book series/graphic novel of the same name.)
a-34,Barbie in a Mermaid Tale 2,2012-03-06,5.7,William Lau,Elise Allen,Kelly Sheridan^Ashleigh Ball^Kathleen Barr,Animation^Family,73 min,NULL,Barbie returns in Mermaid Tale 2 as the beautiful surfing mermaid Merliah Summers. Merliah is going to Australia for the ultimate surfing competition with her friends both human and sea. Things are looking up for Merliah until the evil mermaid Eris returns to try and take over the throne again. Its up to Merliah to stop Eris and save the beautiful mer-world of Oceana. As Merliah races the clock to save her mothers kingdom and finish the big surfing competition  Merliah learns anything is possible and that her love for both worlds land and sea are what brings out the best. Kelly Sheridan is back as the voice of the beautiful surfing Princess Merliah Summers.
a-35,Barbie: The Princess & the Popstar,2012-09-11,5.6,Ezekiel Norton,Steve Granat^Cydne Clark,Kelly Sheridan^Jennifer Waris^Ashleigh Ball,Animation^Family,86 min,NULL,In this sparkling musical adventure Barbie(TM) stars as Tory(TM) the kind-hearted princess of Meribella who would rather sing and dance than perform her royal duties. When her favorite pop star Keira(TM) visits the Kingdom the girls discover they have much in common including a magical secret that lets them look like one another. At first swapping places seems like a great idea until each girl realizes that the other's life isn't as easy as it seems! But Meribella also has a magical secret and when it's stolen the whole kingdom is put in danger. Will true friendship save the day? Filled with fantastic songs fabulous fashions and fun new friends it's an exciting musical celebration that shows the best thing you can be is yourself.
a-36,The Barrens,2012-11-30,4.6,Darren Lynn Bousman,Darren Lynn Bousman,Stephen Moyer^Mia Kirshner^Allie MacDonald,Horror,94 min,R,This movie is about the Vineyard family and their trip to the New Jersey Pine Barrens. There is a legend that the Jersey Devil lives in these woods. It came about after a woman known as Mother Leeds had 13 children but she offered up the 13th child to the Devil so she and her other children didn't have to leave their house as they were going to be forced out by the town folk because she was having too many kids in the area back in the 1700s. So it's now the present and the Vineyard family are going to camp there so the father (Stephen Moyer) can release his father's ashes. But while there they hear that someone has gone missing and Richard (Moyer) thinks it's the work of the Jersey Devil. So they move their camp site to get away from the rest of the campers only to find that they're in more trouble than they were before. But is the legend of the Jersey Devil real or is it just another story?
a-37,Barricade,2012-09-25,4.5,Andrew Currie,Michaelbrent Collings,Eric McCormack^Jody Thompson^Conner Dwelly,Horror^Mystery^Thriller,82 min,PG-13,This movie is about the Shade family a year after the death of the mother/wife Leah the husband and father (Eric McCormack) and his two children go to a cabin retreat in the mountains. While there they are tormented by visions and happenings that start to scare them. But are these incidents real or in their minds? The father feels compelled to barricade them in the cabin in order to keep them safe. But will it work out?
a-38,Batman Revealed,2012-05-01,4.8,Chris Clark,Bob Kane^Chris Clark,David B. Stewart III^Chris Clark^Derek Mindler,Action^Crime^Drama,62 min,NULL,When The Penguin finds something out he shouldn't have the future of Batman and Robin becomes uncertain.
a-39,Batman: The Dark Knight Returns Part 1,2012-09-25,8.0,Jay Oliva,Bob Kane^Frank Miller,Peter Weller^Ariel Winter^David Selby,Animation^Action^Crime,76 min,PG-13,Batman has not been seen for ten years. A new breed of criminal ravages Gotham City forcing 55-year-old Bruce Wayne back into the cape and cowl. But does he still have what it takes to fight crime in a new era?
a-40,The Battery,2013-06-04,6.4,Jeremy Gardner,Jeremy Gardner,Jeremy Gardner^Adam Cronheim^Niels Bolle,Adventure^Drama^Horror,101 min,NOT RATED,Two former baseball players Ben (Jeremy Gardner) and Mickey (Adam Cronheim) cut an aimless path across a desolate New England. They stick to the back roads and forests to steer clear of the shambling corpses that patrol the once bustling cities and towns. In order to survive they must overcome the stark differences in each other's personalities. Ben embraces an increasingly feral lawless and nomadic lifestyle while Mickey is unable to accept the harsh realities of the new world and longs for the creature comforts he once took for granted. A bed a girl and a safe place to live. When the men intercept a radio transmission from a seemingly thriving protected community Mickey will stop at nothing to find it even though it is made perfectly clear that he is not welcome.
a-41,Battlefield America,2012-06-21,2.6,Chris Stokes,Marques Houston^Chris Stokes,Marques Houston^Mekia Cox^Christopher Jones,Drama^Musical,106 min,PG-13,A young businessman who lands a community service sentence falls in with a group of misfit kids who need mentoring. With the help of a pro instructor he works to get the kids ready for a big underground dance competition.
a-42,Battleship,2012-05-18,5.9,Peter Berg,Jon Hoeber^Erich Hoeber,Alexander SkarsgÃ¥rd^Brooklyn Decker^Liam Neeson,Action^Adventure^Sci-Fi^Thriller,131 min,PG-13,Based on the classic Hasbro naval combat game Battleship is the story of an international fleet of ships who come across an alien armada while on Naval war games exercise. An intense battle is fought on sea land and air. What do the aliens want?
a-43,The Bay,2012-11-21,5.6,Barry Levinson,Michael Wallach^Barry Levinson,Will Rogers^Kristen Connolly^Kether Donohue,Horror^Sci-Fi^Thriller,84 min,R,This "found-footage" film is set in 2009 in the town of Claridge Maryland on the Chesapeake Bay. During the town's annual 4th of July Crab Festival townspeople become sick exhibiting a variety of symptoms which leads local news reporters to suspect something has infected the water there. No one is sure what it is or how it's transmitted but as people start to behave strangely and others turning up dead fear spawns into panic. The town is shut down as government authorities confiscate video footage from every media or personal source they find in an effort to cover-up the incident. But one local reporter who witnessed the epidemic was able to document assemble and hide this film in hopes that one day the horrible truth would be revealed . . .
a-44,BearCity 2: The Proposal,2012-07-20,6.5,Douglas Langway,Douglas Langway,Kevin Smith^Kathy Najimy^Richard Riehle,Comedy,110 min,NULL,Kathy Najimy plays den mother to the returning cast of bears boys and cubs for a Bear Week bachelor party in Provincetown! Take a trip down the aisle with Roger and Tyler to one of the most magical beach towns on earth in this romantic comedy for all. Kevin Smith Lt. Dan Choi Frank DiCaro Mike Ruiz and Varla Jean Merman lend their support to our lovable gang as they navigate through a foam party ex-boyfriends and 6000 sexy men. Meanwhile Richard Riehle (Bridesmaids) as father of the groom learns a whole new meaning to the word "Daddy!" BearCity 2: The Proposal is a romp full of fur fun and family as the bears realize that marriage is much more than just the freedom to say "I do."
a-45,Beasts of the Southern Wild,2012-07-05,7.3,Benh Zeitlin,Lucy Alibar^Benh Zeitlin,QuvenzhanÃ© Wallis^Dwight Henry^Levy Easterly,Drama^Fantasy,93 min,PG-13,Hushpuppy an intrepid six-year-old girl lives with her father Wink in the Bathtub a southern Delta community at the edge of the world. Wink's tough love prepares her for the unraveling of the universe; for a time when he's no longer there to protect her. When Wink contracts a mysterious illness nature flies out of whack temperatures rise and the ice caps melt unleashing an army of prehistoric creatures called aurochs. With the waters rising the aurochs coming and Wink's health fading Hushpuppy goes in search of her lost mother.
a-46,The Beauty Inside,2015-09-11,6.8,Jong-Yeol Baek,NULL,Woo-hee Chun^Ji-han Do^Hyo-ju Han,Drama^Romance,127 min,NULL,Woo-jin wakes up in a different body everyday regardless of age gender and nationality. Sometimes he's a man a woman old young or even a foreigner. He's the same person on the inside but on the outside he's always someone new. Looking at a different face in the mirror every morning is hard for him to get used to. The only constant in his life is the girl he loves Yi-soo who knows his secret and loves him anyway. Each time he transforms Woo-jin must figure out how to return to his own body and reunite with Yi-soo.
a-47,Being Flynn,2012-04-19,6.4,Paul Weitz,Paul Weitz^Nick Flynn,Paul Dano^Robert De Niro^Julianne Moore,Drama,102 min,R,Nick Flynn in his 20s hasn't found his place in the world yet but hopes to be a writer. Around the time he takes a job at a homeless shelter in Boston his father Jonathan who considers himself a great writer and who hasn't see Nick in years abruptly makes fleeting contact. A few months later the down-and-out Jonathan shows up at Nick's shelter and becomes a resident. This disorients Nick; he doesn't handle it well compounded by Jonathan's belligerent behavior. Nick's memories of his mother his budding relationship with a co-worker and his own demons make things worse. Can anything improve? Is he his father's son?
a-48,Beauty and the Least: The Misadventures of Ben Banks,2013-05-07,4.0,Bryce Clark,Bryce Clark,Ben Banks^Katharine Towne^Mischa Barton,Comedy^Drama^Romance,85 min,NULL,A hopeless slacker portrayed by the character's real-life namesake finds his ambition awakened by a gorgeous waitress who is hiding from her past. Strong emotions compel Ben to find the porn mogul who is distributing pictures of his new squeeze.
a-49,Bending the Rules,2012-03-09,5.1,Artie Mandelberg,Dylan Schaffer,Jamie Kennedy^Adam Copeland^Jennifer Esposito,Comedy^Crime,83 min,PG-13,A district attorney is determined to take down a corrupt New Orleans cop.
a-50,Bernie,2012-06-22,6.8,Richard Linklater,Skip Hollandsworth^Richard Linklater,Jack Black^Shirley MacLaine^Matthew McConaughey,Comedy^Crime^Drama,104 min,PG-13,We meet Bernie Tiede (1958- ) a chubby undertaker who takes pride in his work. He's a Gospel-singing tenor. In a series of interviews with townspeople mixed with flashbacks we follow Bernie: he arrives in Carthage Texas (pop. 7000) where old ladies adore him; he befriends a wealthy mean-spirited widow named Marjorie Nugent; they become companions in both daily routines and expensive vacations. Among those interviewed only her stockbroker and Danny Buck the local district attorney are unsympathetic toward the sunny sometimes saccharine Bernie. Marjorie changes from sour and alone to happy with Bernie; then she gets possessive. What will sweet Bernie do?
a-51,Best Man Down,2013-10-03,6.5,Ted Koland,Ted Koland,Justin Long^Jess Weixler^Tyler Labine,Comedy^Drama,89 min,PG-13,The best man at Scott (Long) and Kristin's (Weixler) Arizona destination wedding Lumpy (Labine) is the life of the party until a long indulgent night leads to his untimely death. Forced to cancel their honeymoon and fly back to Minneapolis to arrange for his funeral Scott and Kristin meet Ramsey (Timlin) and learn that Lumpy isn't quite who they thought he was.
a-52,Beverly Hills Chihuahua 3: Viva La Fiesta!,2012-09-18,4.7,Lev L. Spiro,Dana Starfield^Jeffrey Bushell,Marcus Coloma^Erin Cahill^Cedric Yarbrough,Adventure^Comedy^Family,89 min,G,Papi and Chloe joined by their five playful pups and their owners Rachel and Sam move into the posh Langham Hotel complete with a luxurious doggy spa. But there's trouble when Rosa the littlest member of the pack feels smaller and less special than ever. Now it's up to Papi to help Rosa find and celebrate her inner strength which turns out to be bigger than she ever dreamed...
a-53,Beyond,2010-12-10,7.0,Pernilla August,Susanna Alakoski^Pernilla August,Noomi Rapace^Ola Rapace^Outi MÃ¤enpÃ¤Ã¤,Drama,99 min,NULL,A drama set in 1970s Sweden and centered on a young woman's experiences growing up in a home riddled with abuse and alcoholism.
a-54,Big Miracle,2012-02-03,6.5,Ken Kwapis,Jack Amiel^Michael Begler,Drew Barrymore^John Krasinski^John Pingayak,Biography^Drama^Romance,107 min,PG,An animal-loving volunteer and a small-town news reporter are joined by a native Alaskan boy to rally an entire community - and eventually rival world superpowers - to save a family of majestic gray whales trapped by rapidly forming ice in the Arctic Circle.
a-55,Big Top Scooby-Doo!,2012-10-09,7.0,Ben Jones,Douglas Langdale,Frank Welker^Mindy Cohn^Grey Griffin,Animation^Family^Fantasy,80 min,NULL,Scooby-Doo and the gang investigates the mystery of a chain of jewel robbery's exclusively reported that the robberies where made by werewolves. The team decides in going undercover as circus performers in order to catch the one/s responsible.
a-56,Bill W.,2012-05-18,7.5,Dan Carracino,Dan Carracino^Patrick Gambuti Jr.,Bill Wilson^Dr. Bob^Blake J. Evans,Documentary^Biography^History,104 min,UNRATED,William G. Wilson is co-founder of Alcoholics Anonymous a man included in TIME Magazine's "100 Persons of the 20th Century." Interviews recreations and rare archival material reveal how Bill Wilson a hopeless drunk near death from his alcoholism found a way out of his own addiction and then forged a path for countless others to follow. With Bill as its driving force A.A. grew from a handful of men to a worldwide fellowship of over 2 million men and women - a success that made him an icon within A.A. but also an alcoholic unable to be a member of the very society he had created. A reluctant hero Bill Wilson lived a life of sacrifice and service and left a legacy that continues every day all around the world.
a-57,Bindlestiffs,2012-01,4.3,Andrew Edison,Andrew Edison^Andrew Edison,John Karna^Luke Loftin^Andrew Edison,Comedy,80 min,R,Three high school virgins suspended from school on a bogus graffiti charge flee to the inner city in an attempt to live out the plot of The Catcher in the Rye - a book they neither have read nor understand. BINDLESTIFFS documents their struggles along the way as they surrender their virginities to vagrants prostitutes and crack fiends. Hot on their tail is Charlie the deranged school security guard. Under the impression that the boys are planning a school shooting he takes the law into his own hands to stop them and save America.
a-58,Black Rock,2013-05-17,4.8,Katie Aselton,Mark Duplass^Katie Aselton,Katie Aselton^Lake Bell^Kate Bosworth,Horror^Thriller,83 min,R,Three women who were good friends in the past get back together for the first time since they were kids to spend time on an island called Black Rock. They meet some local hunters and find out they know one of them from when they were children. After inviting them to join them in a few drinks on the beach the atmosphere changes into one of panic and horror as the situation and friendships are turned on their head in a brutal confrontation.
a-59,Blood for Irina,2012-11-02,3.5,Chris Alexander,Chris Alexander,Shauna Henry^Carrie Gemmell^David Goodfellow,Horror,70 min,NULL,Irina is dying. A predator who stalks streets at night looking for blood she has lived over a century; tormented by memory living in a run-down motel by the sea Irina has reached the end. Her perceptions skewed her body and mind revolting against themselves she waits for an exit. Her private hell is echoed by the motel manager driven by an obsession to protect Irina and keep her secrets safe and a broken prostitute whose desperate plight may be worse than Irina's. It's the tale of three people living a life on the fringe trapped in world of literal and figurative decay.
a-60,Border Run,2013-08-28,4.2,Gabriela Tagliavini,Don Fiebiger^Amy Kolquist,Sharon Stone^Promise LaMarco^Billy Zane,Crime^Thriller,96 min,R,A female American reporter searches for her missing brother against the backdrop of violence and human smuggling across the US/Mexican border.
