#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
_id,ltable.ID,rtable.ID,ltable.Director,ltable.Title,ltable.Year,rtable.Director,rtable.Title,rtable.Year,gold
29,335,324,Heidi Ewing,Freakonomics,9/3/2010,Seth Gordon,Freakonomics,10/1/2010,1
30,340,329,Nicholas Stoller,Get Him to the Greek,6/4/2010,Nicholas Stoller,Get Him to the Greek,6/4/2010,1
31,344,299,Shana Feste,The Greatest,11/5/2009,Shana Feste,Country Strong,1/7/2011,0
32,347,336,Dennis Dugan,Grown Ups,6/25/2010,Dennis Dugan,Grown Ups,6/25/2010,1
33,354,340,Steve Pink,Hot Tub Time Machine,3/26/2010,Steve Pink,Hot Tub Time Machine,3/26/2010,1
34,360,346,Glenn Ficarra,I Love You Phillip Morris,1/7/2011,John Requa,I Love You Phillip Morris,12/3/2010,1
35,373,356,Lisa Cholodenko,The Kids Are All Right,7/30/2010,Lisa Cholodenko,The Kids Are All Right,7/9/2010,1
36,378,1567,M. Night Shyamalan,The Last Airbender,7/1/2010,M. Night Shyamalan,The Village,7/30/2004,0
37,381,363,Anand Tucker,Leap Year,1/8/2010,Anand Tucker,Leap Year,1/8/2010,1
38,382,994,Zack Snyder,Legend of the Guardians: The Owls of Ga'Hoole,9/24/2010,Zack Snyder,Watchmen,3/6/2009,0
39,390,372,Paul Weitz,Little Fockers,12/22/2010,Paul Weitz,Little Fockers,12/22/2010,1
40,392,1131,Taylor Hackford,Love Ranch,1/6/2011,Taylor Hackford,Proof of Life,12/8/2000,0
41,430,410,Floria Sigismondi,The Runaways,3/19/2010,Floria Sigismondi,The Runaways,4/9/2010,1
42,455,433,Florian Henckel von Donnersmarck,The Tourist,12/10/2010,Florian Henckel von Donnersmarck,The Tourist,12/10/2010,1
43,458,2553,Ethan Coen,True Grit,12/22/2010,Ethan Coen,Inside Llewyn Davis,12/6/2013,0
44,460,431,Tony Scott,Unstoppable,11/12/2010,Jake Scott,Tooth Fairy,11/30/2004,0
45,464,2139,Jake Scott,Welcome to the Rileys,11/18/2011,Kenn Scott,Adventures of Johnny Tao Rock Around the Dragon,2/3/2007,0
46,475,36,Miguel Arteta,Youth in Revolt,1/8/2010,,Barbie In A Mermaid Tale 2,2/4/2012,0
47,477,628,Ruben Fleischer,30 Minutes or Less,8/12/2011,Jon Avnet,88 Minutes,4/18/2008,0
48,486,462,Gonzalo LÃ³pez-Gallego,Apollo 18,9/2/2011,Gonzalo Lopez Gallego,Apollo 18,9/2/2011,1
49,494,36,Jodie Foster,The Beaver,5/19/2011,,Barbie In A Mermaid Tale 2,2/4/2012,0
50,498,1906,John Whitesell,Big Mommas: Like Father Like Son,2/18/2011,Clint Eastwood,Flags of Our Fathers,10/20/2006,0
51,500,420,David Lickley,Born to Be Wild,4/8/2011,David Fincher,The Social Network,10/1/2010,0
52,502,476,Paul Feig,Bridesmaids,5/13/2011,Paul Feig,Bridesmaids,5/13/2011,1
53,511,2635,Marcus Nispel,Conan the Barbarian,8/19/2011,,Plus One - The Home Video,,0
54,514,36,Alex Kendrick,Courageous,9/30/2011,,Barbie In A Mermaid Tale 2,2/4/2012,0
55,514,486,Alex Kendrick,Courageous,9/30/2011,Alex Kendrick,Courageous,9/30/2011,1
56,521,703,David Bowers,Diary of a Wimpy Kid: Rodrick Rules,3/25/2011,Steven Spielberg,Indiana Jones and the Kingdom of the Crystal Skull,5/22/2008,0
57,532,1077,Stephen Daldry,Extremely Loud & Incredibly Close,1/20/2012,Stephen Frears,High Fidelity,3/31/2000,0
58,534,502,Trent Cooper,Father of Invention,11/3/2011,Trent Cooper,Father of Invention,10/14/2011,1
59,535,2581,Kevin Williams,Fear of a Black Republican,4/1/2011,Tom Williams,Last Weekend,8/29/2014,0
60,556,2068,Tate Taylor,The Help,8/10/2011,Steve Taylor,The Second Chance,2/17/2006,0
61,575,244,Salim Akil,Jumping the Broom,5/6/2011,Salim Akil,Sparkle,8/17/2012,0
62,578,543,Jonathan Hensleigh,Kill the Irishman,5/11/2012,Jonathan Hensleigh,Kill the Irishman,3/11/2011,1
63,624,588,Alister Grierson,Sanctum,2/4/2011,Alister Grierson,Sanctum,2/4/2011,1
64,628,2635,Matt Russell,Seven Days in Utopia,9/2/2011,,Plus One - The Home Video,,0
65,636,291,Dito Montiel,The Son of No One,7/9/2011,Alex Gibney,Casino Jack And The United States Of Money,5/7/2010,0
66,641,2639,Zack Snyder,Sucker Punch,3/25/2011,Zack Parker,Proxy,4/18/2014,0
67,645,3059,Jeff Nichols,Take Shelter,11/10/2011,Mike Nichols,Primary Colors,3/20/1998,0
68,668,3114,Frank Coraci,Zookeeper,7/8/2011,Frank Coraci,The Wedding Singer,2/13/1998,0
69,671,627,Anne Fletcher,27 Dresses,1/18/2008,Anne Fletcher,27 Dresses,1/9/2008,1
70,674,820,David Zucker,An American Carol,10/3/2008,Tim Disney,American Violet,4/17/2009,0
71,719,672,Dennis Lee,Fireflies in the Garden,7/17/2008,Dennis Lee,Fireflies in the Garden,10/14/2011,1
72,726,2120,Nicholas Stoller,Forgetting Sarah Marshall,4/18/2008,Joseph McGinty Nichol,We Are Marshall,12/22/2006,0
73,734,686,David Koepp,Ghost Town,9/19/2008,David Koepp,Ghost Town,9/5/2008,1
74,738,1887,Bruce Hendricks,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2/1/2008,Greg Coolidge,Employee of the Month,10/6/2006,0
75,745,36,Brian Smrz,Hero Wanted,7/10/2008,,Barbie In A Mermaid Tale 2,2/4/2012,0
76,751,702,Louis Leterrier,The Incredible Hulk,6/13/2008,Louis Leterrier,The Incredible Hulk,6/12/2008,1
77,752,1055,Steven Spielberg,Indiana Jones and the Kingdom of the Crystal Skull,5/22/2008,Steven Soderbergh,Erin Brockovich,3/17/2000,0
78,752,1771,Steven Spielberg,Indiana Jones and the Kingdom of the Crystal Skull,5/22/2008,Steven Spielberg,War of the Worlds,6/29/2005,0
79,757,2412,Patricia Rozema,Kit Kittredge: An American Girl,7/2/2008,David O. Russell,American Hustle,12/20/2013,0
80,779,3063,Rob Cohen,The Mummy: Tomb of the Dragon Emperor,8/1/2008,Rob Cohen,The Rat Pack,8/22/1998,0
81,793,1707,Steven Sebring,Patti Smith: Dream of Life,8/6/2008,Doug Liman,Mr. & Mrs. Smith,6/7/2005,0
82,810,36,Sam Mendes,Revolutionary Road,1/23/2009,,Barbie In A Mermaid Tale 2,2/4/2012,0
83,814,756,Carter Smith,The Ruins,4/4/2008,Carter Smith,The Ruins,4/4/2008,1
84,816,2055,Gina Prince-Bythewood,The Secret Life of Bees,10/17/2008,Mark McNabb,Billy Owens and the Secret of the Runes,,0
85,825,1161,Kirk De Micco,Space Chimps,7/18/2008,Clint Eastwood,Space Cowboys,8/4/2000,0
86,842,786,Carl Deal,Trouble the Water,12/5/2008,Carl Deal,Trouble the Water,8/22/2008,1
87,845,789,Gregory Hoblit,Untraceable,1/25/2008,Gregory Hoblit,Untraceable,1/25/2008,1
88,848,792,Woody Allen,Vicky Cristina Barcelona,8/15/2008,Woody Allen,Vicky Cristina Barcelona,5/17/2008,1
89,853,797,Timur Bekmambetov,Wanted,6/27/2008,Timur Bekmambetov,Wanted,6/12/2008,1
90,861,806,Peyton Reed,Yes Man,12/19/2008,Peyton Reed,Yes Man,12/19/2008,1
91,874,816,R.W. Goodwin,Alien Trespass,1/1/2009,R.W. Goodwin,Alien Trespass,4/3/2009,1
92,910,846,Sophie Barthes,Cold Souls,5/5/2010,Sophie Barthes,Cold Souls,8/7/2009,1
93,921,858,Neill Blomkamp,District 9,8/14/2009,Neill Blomkamp,District 9,8/14/2009,1
94,931,868,Justin Lin,Fast & Furious 6,5/24/2013,John Singleton,2 Fast 2 Furious,6/6/2003,0
95,940,852,Mark Neveldine,Gamer,9/4/2009,Mark Neveldine,Crank 2: High Voltage,4/17/2009,0
96,943,2635,Matt Aselton,Gigantic,6/19/2009,,Plus One - The Home Video,,0
97,961,36,Bob Gosse,I Hope They Serve Beer in Hell,9/25/2009,,Barbie In A Mermaid Tale 2,2/4/2012,0
98,968,901,Gregor Jordan,The Informers,4/24/2009,Gregor Jordan,The Informers,4/24/2009,1
99,974,2635,Davis Guggenheim,It Might Get Loud,8/27/2009,,Plus One - The Home Video,,0
100,988,919,Brandon Camp,Love Happens,9/18/2009,Brandon Camp,Love Happens,9/18/2009,1
101,989,920,Robert Iscove,Love N' Dancing,1/6/2011,Robert Iscove,Love N' Dancing,5/14/2008,1
102,999,464,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Jason Winer,Arthur,4/8/2011,0
103,999,470,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Jodie Foster,The Beaver,5/6/2011,0
104,999,778,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Bryan Bertino,The Strangers,5/29/2008,0
105,999,807,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Kevin Smith,Zack and Miri Make a Porno,10/31/2008,0
106,999,1027,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,John Whitesell,Big Mommas: Like Father Like Son,2/18/2011,0
107,999,1046,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Michael Dinner,The Crew,8/25/2000,0
108,999,1369,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,David L. Cunningham,To End All Wars,12/6/2002,0
109,999,1450,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Nick Hamm,Godsend,12/1/2003,0
110,999,1506,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Ernest R. Dickerson,Never Die Alone,3/26/2004,0
111,999,1523,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Sean Patrick Mcnamara,Raise Your Voice,10/8/2004,0
112,999,1983,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Danielle Agnello,Lime Salted Love,,0
113,999,2321,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Ed Glaser,Press Start,,0
114,999,2338,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Tamara Jenkins,The Savages,11/28/2007,0
115,999,2753,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Les Mayfield,Blue Streak,9/17/1999,0
116,999,2824,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Barry Levinson,Liberty Heights,11/17/1999,0
117,999,2866,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Ron Shelton,Play It to the Bone,12/24/1999,0
118,999,2968,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Betty Thomas,Dr. Dolittle,6/26/1998,0
119,999,2980,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Bob Hoge,The Godson,10/6/1998,0
120,999,3121,,Michael Jackson's 'This Is It': The Gloved One,1/26/2010,Pat Proft,Wrongfully Accused,8/21/1998,0
121,1012,2218,Rob Marshall,Nine,12/25/2009,Garry Marshall,Georgia Rule,5/11/2007,0
122,1014,943,Bill Duke,Not Easily Broken,1/9/2009,Bill Duke,Not Easily Broken,1/9/2009,1
123,1014,2635,Bill Duke,Not Easily Broken,1/9/2009,,Plus One - The Home Video,,0
124,1032,961,Rebecca Miller,The Private Lives of Pippa Lee,7/10/2009,Rebecca Miller,The Private Lives of Pippa Lee,11/27/2009,1
125,1037,965,Andy Fickman,Race to Witch Mountain,3/13/2009,Andy Fickman,Race to Witch Mountain,3/13/2009,1
126,1049,976,J.J. Abrams,Star Trek,5/8/2009,J.J. Abrams,Star Trek,5/7/2009,1
127,1057,2974,Michael Bay,Pearl Harbor,5/25/2001,Michael Bay,Transformers: Revenge of the Fallen,6/24/2009,0
128,1063,986,Craig Johnson,True Adolescents,7/29/2011,Craig Johnson,True Adolescents,7/29/2011,1
129,1076,1364,Dominic Sena,Whiteout,9/11/2009,Dominic Sena,Swordfish,6/8/2001,0
130,1086,2134,Mikael HÃ¥fstrÃ¶m,1408,6/22/2007,Mikael Hfstrm,1408,6/22/2007,1
131,1088,2135,David Slade,30 Days of Night,10/19/2007,David Slade,30 Days of Night,10/19/2007,1
132,1090,2137,Julie Taymor,Across the Universe,10/12/2007,Julie Taymor,Across the Universe,9/14/2007,1
133,1093,2140,Allan Harmon,Afghan Knights,7/31/2007,Allan Harmon,Afghan Knights,7/31/2007,1
134,1107,1244,Steve Carr,Are We Done Yet?,4/4/2007,Steve Carr,Dr. Dolittle 2,6/22/2001,0
135,1108,2155,Andrew Dominik,The Assassination of Jesse James by the Coward Robert Ford,10/19/2007,Andrew Dominik,The Assassination of Jesse James by the Coward Robert Ford,10/5/2007,1
136,1113,2635,Michael Lehmann,Because I Said So,2/2/2007,,Plus One - The Home Video,,0
137,1115,2491,Sidney Lumet,Before the Devil Knows You're Dead,12/7/2007,Fede Alvarez,Evil Dead,4/5/2013,0
138,1117,1185,Robert Zemeckis,Beowulf,11/16/2007,Robert Zemeckis,What Lies Beneath,7/21/2000,0
139,1118,2164,Josh Gordon,Blades of Glory,3/30/2007,Will Speck & Josh Gordon,Blades of Glory,3/30/2007,1
140,1129,1402,Michael Roesch,Brotherhood of Blood,10/14/2008,Zana Briski,Born Into Brothels,12/8/2004,0
141,1141,2502,Scott Wiper,The Condemned,4/27/2007,Scott Walker,The Frozen Ground,8/23/2013,0
142,1145,2187,Fred Savage,Daddy Day Camp,8/8/2007,Fred Savage,Daddy Day Camp,8/8/2007,1
143,1165,2635,Adam Jay Epstein,Extreme Movie,7/29/2009,,Plus One - The Home Video,,0
144,1182,1761,Mary Harron,American Psycho,4/14/2000,Duncan Tucker,Transamerica,1/20/2006,0
145,1187,1118,Spike Lee,Bamboozled,10/20/2000,Spike Lee,The Original Kings of Comedy,8/18/2000,0
146,1191,1023,Stephen Metcalfe,Beautiful Joe,6/9/2000,Stephen Metcalfe,Beautiful Joe,6/9/2000,1
147,1198,1030,Ben Younger,Boiler Room,2/18/2000,Ben Younger,Boiler Room,2/18/2000,1
148,1199,2751,Joe Berlinger,Book of Shadows: Blair Witch 2,10/27/2000,Bob Griffin,The Blair Witch Project,7/30/1999,0
149,1206,1431,John Waters,Cecil B. DeMented,9/1/2000,John Waters,A Dirty Shame,9/24/2004,0
150,1216,683,Michael Dinner,The Crew,8/25/2000,Michael Haneke,Funny Games,3/14/2008,0
151,1229,1056,Barry Levinson,An Everlasting Piece,3/23/2001,Barry Levinson,An Everlasting Piece,2/1/2001,1
152,1230,1057,Fenton Bailey,The Eyes of Tammy Faye,1/25/2000,Fenton Bailey,The Eyes of Tammy Faye,6/1/2000,1
153,1249,1310,Stephen Frears,High Fidelity,3/31/2000,Stephen Sommers,The Mummy Returns,5/4/2001,0
154,1258,778,Mark Jonathan Harris,Into the Arms of Strangers: Stories of the Kindertransport,11/24/2000,Bryan Bertino,The Strangers,5/29/2008,0
155,1260,3094,Stanley Tucci,Joe Gould's Secret,5/26/2000,Michael Bay,13 Hours: The Secret Soldiers Of Benghazi,1/15/2016,0
156,1270,2135,Deborah Hoffmann,Long Night's Journey Into Day,12/20/2001,David Slade,30 Days of Night,10/19/2007,0
157,1274,1098,Nora Ephron,Lucky Numbers,10/27/2000,Nora Ephron,Lucky Numbers,10/27/2000,1
158,1281,1105,Jon Gunn,Mercy Streets,10/31/2000,Jon Gunn,Mercy Streets,10/31/2000,1
159,1294,1117,Myles Connell,The Opportunists,8/11/2000,Myles Connell,The Opportunists,8/11/2000,1
160,1304,1127,Ed Harris,Pollock,3/23/2001,Ed Harris,Pollock,12/15/2000,1
161,1305,1128,Michael Addis,Poor White Trash,6/16/2000,Michael Addis,Poor White Trash,11/10/2000,1
162,1311,1134,Brian Robbins,Ready to Rumble,4/7/2000,Brian Robbins,Ready to Rumble,4/7/2000,1
163,1325,1147,Wes Craven,Scream 3,2/4/2000,Wes Craven,Scream 3,2/4/2000,1
164,1326,1148,Reg Traviss,Screwed,6/3/2011,Scott Alexander,Screwed,5/12/2000,1
165,1342,3073,Robert Greenwald,Steal This Movie,6/28/2002,Norton Virgien,The Rugrats Movie,11/20/1998,0
166,1365,1184,Christopher McQuarrie,The Way of the Gun,9/8/2000,Christopher McQuarrie,The Way of the Gun,9/8/2000,1
167,1370,1116,Matt Williams,Where the Heart Is,4/28/2000,Ethan Coen,O Brother Where Art Thou?,12/22/2000,0
168,1372,1192,Jonathan Lynn,The Whole Nine Yards,2/18/2000,Jonathan Lynn,The Whole Nine Yards,2/18/2000,1
169,1388,2412,Les Mayfield,American Outlaws,8/17/2001,David O. Russell,American Hustle,12/20/2013,0
170,1391,36,Julie Davis,Amy's Orgasm,10/21/2004,,Barbie In A Mermaid Tale 2,2/4/2012,0
171,1396,1270,Gary Trousdale,Atlantis: The Lost Empire,6/15/2001,Scott Hicks,Hearts in Atlantis,9/28/2001,0
172,1402,2635,John Moore,Behind Enemy Lines,11/30/2001,,Plus One - The Home Video,,0
173,1459,1268,Mark Waters,Head Over Heels,2/2/2001,Mark Waters,Head over Heels,2/2/2001,1
174,1483,1054,Chris Nahon,Kiss of the Dragon,7/6/2001,Courtney Solomon,Dungeons & Dragons,12/8/2000,0
175,1495,920,Nicole Holofcener,Lovely & Amazing,8/2/2002,Robert Iscove,Love N' Dancing,5/14/2008,0
176,1506,1309,David Lynch,Mulholland Drive,10/19/2001,David Lynch,Mulholland Drive,10/8/2001,1
177,1522,1323,Alejandro AmenÃ¡bar,The Others,8/10/2001,Alejandro Amenbar,The Others,8/10/2001,1
178,1541,541,Dennis Dugan,Saving Silverman,2/9/2001,Dennis Dugan,Just Go with It,2/11/2011,0
179,1541,1545,Dennis Dugan,Saving Silverman,2/9/2001,Marc Webb,The Amazing Spider-Man 2,5/2/2014,0
180,1543,1341,Keenen Ivory Wayans,Scary Movie 2,7/4/2001,Keenen Ivory Wayans,Scary Movie 2,7/4/2001,1
181,1551,36,Andrew Adamson,Shrek,5/18/2001,,Barbie In A Mermaid Tale 2,2/4/2012,0
182,1563,1631,Jay Chandrasekhar,Super Troopers,2/15/2002,Jay Chandrasekhar,The Dukes of Hazzard,8/5/2005,0
183,1565,590,Dominic Sena,Swordfish,6/8/2001,Dominic Sena,Season of the Witch,1/7/2011,0
184,1565,2635,Dominic Sena,Swordfish,6/8/2001,,Plus One - The Home Video,,0
185,1568,1367,Jill Sprecher,Thirteen Conversations About One Thing,7/5/2002,Jill Sprecher,Thirteen Conversations About One Thing,9/1/2001,1
186,1572,2635,Maria Ripoll,Tortilla Soup,8/31/2001,,Plus One - The Home Video,,0
187,1587,2635,Peter Segal,50 First Dates,2/13/2004,,Plus One - The Home Video,,0
188,1592,2129,Oliver Stone,Alexander,11/24/2004,Oliver Stone,World Trade Center,8/9/2006,0
189,1593,1384,Charles Shyer,Alfie,11/5/2004,Charles Shyer,Alfie,11/5/2004,1
190,1595,1942,Louie Schwartzberg,America's Heart & Soul,7/2/2004,Ward Serrill,The Heart of the Game,6/11/2005,0
191,1595,2150,Louie Schwartzberg,America's Heart & Soul,7/2/2004,Lorraine Senna,Americanizing Shelley,5/4/2007,0
192,1601,1390,Martin Scorsese,The Aviator,12/25/2004,Martin Scorsese,The Aviator,12/17/2004,1
193,1615,2635,Paul Greengrass,The Bourne Supremacy,7/23/2004,,Plus One - The Home Video,,0
194,1616,1011,Daniel Taplitz,Breakin' All the Rules,5/14/2004,Billy Bob Thornton,All the Pretty Horses,12/25/2000,0
195,1619,1319,Eric Bress,The Butterfly Effect,1/23/2004,Eric Bross,On the Line,10/26/2001,0
196,1625,248,Joe Roth,Christmas with the Kranks,11/24/2004,Richard Rich,The Swan Princess Christmas,,0
197,1626,36,David Twohy,The Chronicles of Riddick,6/11/2004,,Barbie In A Mermaid Tale 2,2/4/2012,0
198,1637,1419,Lance Rivera,The Cookout,9/3/2004,Lance Rivera,The Cookout,9/3/2004,1
199,1642,1425,Sergio Arau,A Day Without a Mexican,5/21/2004,Sergio Arau,A Day Without a Mexican,5/14/2004,1
200,1650,2154,Steve Carver,Drum,8/27/1976,Steve Carr,Are We Done Yet?,4/4/2007,0
201,1659,1441,Marc Forster,Finding Neverland,12/17/2004,Marc Forster,Finding Neverland,11/12/2004,1
202,1667,1450,Nick Hamm,Godsend,4/30/2004,Nick Hamm,Godsend,12/1/2003,1
203,1676,2635,Robert Harmon,Highwaymen,2/19/2004,,Plus One - The Home Video,,0
204,1692,36,Greg Lombardo,Knots,2004,,Barbie In A Mermaid Tale 2,2/4/2012,0
205,1703,36,Jonathan Demme,The Manchurian Candidate,7/30/2004,,Barbie In A Mermaid Tale 2,2/4/2012,0
206,1713,1497,Renny Harlin,Mindhunters,5/13/2005,Renny Harlin,Mindhunters,5/13/2005,1
207,1721,1503,Gregg Araki,Mysterious Skin,6/24/2005,Gregg Araki,Mysterious Skin,5/6/2005,1
208,1723,1903,Jon Turteltaub,National Treasure,11/19/2004,Morgan,Final Destination 3,2/10/2006,0
209,1725,1507,Dennie Gordon,New York Minute,5/7/2004,Dennie Gordon,New York Minute,5/7/2004,1
210,1731,3119,Robert Townsend,B*A*P*S,3/28/1997,Robert Towne,Without Limits,9/11/1998,0
211,1735,1517,Brian Robbins,The Perfect Score,1/30/2004,Brian Robbins,The Perfect Score,1/30/2004,1
212,1736,2635,Joel Schumacher,The Phantom of the Opera,12/22/2004,,Plus One - The Home Video,,0
213,1743,1523,Sean McNamara,Raise Your Voice,10/8/2004,Sean Patrick Mcnamara,Raise Your Voice,10/8/2004,1
214,1749,2635,James Wan,Saw,10/29/2004,,Plus One - The Home Video,,0
215,1750,595,Raja Gosnell,Scooby-Doo 2: Monsters Unleashed,3/26/2004,Raja Gosnell,The Smurfs,7/29/2011,0
216,1750,931,Raja Gosnell,Scooby-Doo 2: Monsters Unleashed,3/26/2004,Robert Letterman,Monsters vs. Aliens,3/27/2009,0
217,1755,1535,Spike Lee,She Hate Me,7/30/2004,Spike Lee,She Hate Me,7/28/2004,1
218,1759,2453,John Sayles,Silver City,9/24/2004,John Carney,Begin Again,6/27/2014,0
219,1765,1543,David Mamet,Spartan,3/12/2004,David Mamet,Spartan,3/12/2004,1
220,1822,1597,F. Gary Gray,Be Cool,3/4/2005,F. Gary Gray,Be Cool,3/4/2005,1
221,1827,1602,Stephen Kay,Boogeyman,2/4/2005,Stephen T. Kay,Boogeyman,2/4/2005,1
222,1838,803,Andrew Adamson,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,12/9/2005,Charles Robert Carner,Witless Protection,2/22/2008,0
223,1849,36,Mikael HÃ¥fstrÃ¶m,Derailed,11/11/2005,,Barbie In A Mermaid Tale 2,2/4/2012,0
224,1867,1638,Thomas Bezucha,The Family Stone,12/16/2005,Tom Bezucha,The Family Stone,12/16/2005,1
225,1874,838,John Singleton,Four Brothers,8/12/2005,Rian Johnson,The Brothers Bloom,5/15/2009,0
226,1879,1649,Kamal,Goal,5/11/2007,Kamal,Goal,5/11/2007,1
227,1883,1652,Bill Paxton,The Greatest Game Ever Played,9/30/2005,Bill Paxton,The Greatest Game Ever Played,9/30/2005,1
228,1884,2420,Lexi Alexander,Green Street Hooligans,9/9/2005,Uwe Boll,Assault On Wall Street,5/10/2013,0
229,1896,1667,David Duchovny,House of D,4/29/2005,David Duchovny,House of D,5/7/2004,1
230,1897,1668,Jaume Collet-Serra,House of Wax,5/6/2005,Jaume Collet-Serra,House of Wax,5/6/2005,1
231,1898,1669,Craig Brewer,Hustle & Flow,7/22/2005,Craig Brewer,Hustle & Flow,7/22/2005,1
232,1915,1686,Peter Jackson,King Kong,12/14/2005,Peter Jackson,King Kong,12/14/2005,1
233,1930,1699,Eric Darnell,Madagascar,5/27/2005,Conrad Vernon,Madagascar,5/27/2005,1
234,1933,920,Randall Miller,Marilyn Hotchkiss' Ballroom Dancing & Charm School,1/12/2006,Robert Iscove,Love N' Dancing,5/14/2008,0
235,1959,1724,Ben Younger,Prime,10/28/2005,Ben Younger,Prime,10/28/2005,1
236,1964,396,Chris Columbus,Rent,11/23/2005,Chris Columbus,Percy Jackson & the Olympians: The Lightning Thief,2/12/2010,0
237,1964,2635,Chris Columbus,Rent,11/23/2005,,Plus One - The Home Video,,0
238,1994,1759,Mike Mills,Thumbsucker,10/7/2005,Mike Mills (II),Thumbsucker,9/16/2005,1
239,1996,1208,Duncan Tucker,Transamerica,3/3/2006,Les Mayfield,American Outlaws,8/17/2001,0
