route_type,cco_st,streetwidt,roadway_typ,edit_date,STAIR_ST,st,marg_wharf,feat_type_id,record_st,street_nm,build_stat,borough
Gen_use,,50,Surface St,,,,,1,,Coursen Place,Improved,Staten Island
Gen_use,,75,Surface St,,,,,1,,Court Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,215 Street,Improved,Queens
Gen_use,,80,Surface St,,,,No,1,,31 Avenue,Improved,Queens
Gen_use,,50,Surface St,,,,,1,,Lathrop Avenue,Improved,Staten Island
Gen_use,,80,Surface St,,,,,1,,Avenue Z,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Hatfield Place,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Stuyvesant Avenue,Improved,Staten Island
Gen_use,,100,Surface St,,,,,1,,Borinquen Place,Improved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,149 Avenue,Improved,Queens
Gen_use,,50,Surface St,,,,,1,,Nelson Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Westport Street,Improved,Staten Island
Gen_use,,80,Surface St,,,,,1,,Sycamore Street,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Garden Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,68 Avenue,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,Bradford Street,Improved,Brooklyn
Gen_use,,30,Surface St,,N,,N,1,,96 Road,Unimproved,Queens
Other,,,Surface St,,,,,0,,Mariners Lane,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Rye Avenue,Improved,Staten Island
Gen_use,,50,Surface St,,,,,1,,Merle Place,Unimproved,Staten Island
Gen_use,,50,Surface St,,,,,1,,Riley Place,Improved,Staten Island
Gen_use,,80,Surface St,,N,,N,1,,Horton Avenue,Unimproved,Queens
Gen_use,,70,Surface St,,,,No,1,,Rockaway Beach Boulevard,Improved,Queens
Gen_use,,60,Surface St,,,,No,1,,109 Avenue,Improved,Queens
Mjr_st,,80,Surface St,,,,,1,,St. Nicholas Avenue,Improved,Manhattan
Gen_use,,60,Surface St,,,,,1,,Hawthorne Avenue,Improved,Staten Island
Mjr_st,,80,Surface St,,,,No,1,,Parsons Boulevard,Improved,Queens
Gen_use,,Unknown,Surface St,,,,No,1,,14 Avenue,Improved,Queens
Artrl,,Unknown,Surface St,,,,,1,,Richmond Parkway,Unimproved,Staten Island
Gen_use,,50,Surface St,,,,,1,,Liberty Avenue,Improved,Staten Island
Gen_use,,50,Surface St,,,,,1,,Broome Street,Improved,Manhattan
Gen_use,,60,Surface St,,,,,1,,Hollers Avenue,Improved,Bronx
Gen_use,,60,Surface St,,,,No,1,,242 Street,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,Aldus Street,Improved,Bronx
Artrl,,>100,Surface St,,,,,1,,Boston Road,Improved,Bronx
Gen_use,,60,Surface St,,,,No,1,,Norton Avenue,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,Islington Street,Unimproved,Staten Island
Gen_use,,49.5,Surface St,,,,,1,,Centre Street,Improved,Bronx
Gen_use,,80,Surface St,,,,,1,,Thornycroft Avenue,Unimproved,Staten Island
Mjr_st,,100,Surface St,,,,,1,,Richmond Terrace,Part_improved,Staten Island
Other,,,Surface St,,,,,0,,Bayview Avenue,Improved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,169 Street,Improved,Queens
Mjr_st,,100,Surface St,,,,,1,,4 Avenue,Improved,Brooklyn
Mjr_st,,80,Surface St,,,,,1,,18 Avenue,Improved,Brooklyn
Gen_use,,120,Surface St,,,,,1,,Seaview Avenue,Improved,Brooklyn
Gen_use,,70,Surface St,,,,,1,,Palma Drive,Improved,Staten Island
Gen_use,,70,Surface St,,,,No,1,,46 Avenue,Improved,Queens
Gen_use,,50,Surface St,,,,,1,,Pacific Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,176 Street,Improved,Queens
Gen_use,,80,Surface St,,,,,1,,Avenue N,Improved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,100 Avenue,Improved,Queens
Gen_use,,60,Surface St,,,,No,1,,157 Street,Improved,Queens
Other,,,Surface St,,,,,0,,Marissa Street,Improved,Queens
Mjr_st,,80,Surface St,,,,,1,,Broadway,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,83 Drive,Improved,Queens
Other,,,Surface St,,,,,0,,Louise Lane,Improved,Staten Island
Gen_use,N,50,Surface St,,N,,N,1,,Beach 27 Street,Improved,Queens
Gen_use,,100,Surface St,,,,,1,,86 Street,Improved,Brooklyn
Gen_use,,60-150,Surface St,,,,No,1,,178 Place,Improved,Queens
Other,Y,50,Surface St,,,,,0,True,Garson Avenue,Improved,Staten Island
Gen_use,,80,Surface St,,,,,1,,Avenue O,Improved,Brooklyn
Other,,,Surface St,,N,,N,0,,Riviera Court,Improved,Queens
Gen_use,,>75,Surface St,,,,No,1,,88 Avenue,Improved,Queens
Other,,,Walkway,,,,,0,,West 116 Street,Improved,Manhattan
Gen_use,,60,Surface St,,,,,1,,Herzl Street,Improved,Brooklyn
Mjr_st,,80,Surface St,,,,,1,,Fulton Street,Improved,Brooklyn
Gen_use,,50,Surface St,,,,,1,,Henry Street,Improved,Brooklyn
Gen_use,,70,Surface St,,,,No,1,,39 Avenue,Improved,Queens
Mjr_st,,80,Surface St,,,,,1,,Grand Street,Improved,Brooklyn
Gen_use,,30,Surface St,,,,No,1,,45 Avenue,Improved,Queens
Other,N,,Surface St,,N,,N,0,,Pershing Loop South,Improved,Brooklyn
Gen_use,,80,Surface St,,,,,1,,Havemeyer Avenue,Improved,Bronx
Gen_use,,60,Surface St,,,,,1,,62 Street,Improved,Brooklyn
Gen_use,,80,Surface St,,,,,1,,Foster Avenue,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Franklin Avenue,Improved,Bronx
Gen_use,,63-64,Surface St,,,,,1,,Duane Street,Improved,Manhattan
Mjr_st,,80,Surface St,,,,,1,,Avenue U,Improved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,144 Avenue,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,East 2 Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,East 81 Street,Improved,Manhattan
Gen_use,,50,Surface St,,,,,1,,Gurdon Street,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Palmetto Street,Improved,Brooklyn
Mjr_st,,~70,Surface St,,,,No,1,,Myrtle Avenue,Improved,Queens
Mjr_st,,80,Surface St,,,,,1,,Amboy Road,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,21 Street,Improved,Brooklyn
Other,Y,,Surface St,,N,,N,0,,Broadway,Improved,Queens
Other,,,Surface St,,,,,0,,Greenfield Court,Improved,Staten Island
Other,,,Surface St,,,,,0,,Seth Loop,Improved,Staten Island
Gen_use,,70,Surface St,,,,,1,,Rodney Street,Improved,Brooklyn
Other,,,Surface St,,,,,0,False,Dock Avenue,Improved,Brooklyn
Other,,,Surface St,,,,,0,True,Giegerich Place,Unimproved,Staten Island
Gen_use,,60,Surface St,,,,,1,,East Figurea Avenue,Improved,Staten Island
Gen_use,,50,Surface St,,,,,1,,Miller Street,Improved,Staten Island
Gen_use,,50,Surface St,,,,No,1,,104 Street,Improved,Queens
Gen_use,,80,Surface St,,,,,1,,Schenectady Avenue,Improved,Brooklyn
Gen_use,,50,Surface St,,,,,1,,Adair Street,Part_improved,Queens
Gen_use,,50,Surface St,,,,No,1,,82 Street,Improved,Queens
Gen_use,,50,Surface St,,,,,1,,Ludlow Street,Improved,Manhattan
Gen_use,,50,Surface St,,,,,1,,Parkinson Avenue,Improved,Staten Island
Gen_use,,70,Surface St,,,,,1,,Chester Avenue,Improved,Brooklyn
Gen_use,,70,Surface St,,,,No,1,,94 Avenue,Improved,Queens
Mjr_st,,100,Surface St,,,,,1,,Amsterdam Avenue,Improved,Manhattan
Other,,,Surface St,,,,,0,,Filipe Lane,Improved,Staten Island
Gen_use,,40,Surface St,,,,No,1,,23 Terrace,Improved,Queens
Mjr_st,,100,Surface St,,,,,1,,Steuben Street,Improved,Staten Island
Other,Y,30,Surface St,,N,,N,0,True,Woodside Avenue,Improved,Staten Island
Gen_use,,80,Surface St,,,,,1,,West 166 Street,Improved,Manhattan
Gen_use,,60,Surface St,,,,,1,,Woodstock Avenue,Improved,Staten Island
Artrl,,>50,Surface St,,,,No,1,,Jackie Robinson Parkway,Improved,Queens
Gen_use,,20,Surface St,,,,,1,,Lester Court,Improved,Brooklyn
Gen_use,,80,Surface St,,,,,1,,Avenue T,Improved,Brooklyn
Gen_use,,80,Surface St,,,,,1,,Brielle Avenue,Improved,Staten Island
Mjr_st,,80,Surface St,,,,,1,,Arthur Kill Road,Improved,Staten Island
Other,,,Surface St,,,,,0,True,Beach 38 Street,Unimproved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,98 Street,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,Calyer Street,Improved,Brooklyn
Gen_use,,80,Surface St,,,,,1,,Avenue Z,Improved,Brooklyn
Gen_use,,Unknown,Surface St,,,,No,1,,209 Street,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,59 Street,Improved,Brooklyn
Gen_use,,80,Surface St,,,,,1,,Highlawn Avenue,Improved,Brooklyn
Gen_use,,70,Surface St,,,,,1,,Stanley Avenue,Improved,Brooklyn
Gen_use,,80,Surface St,,,,,1,,12 Avenue,Improved,Brooklyn
Gen_use,,70,Surface St,,,,,1,,Dean Street,Improved,Brooklyn
Gen_use,,>70,Surface St,,,,No,1,,48 Avenue,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,White Street,Improved,Brooklyn
Gen_use,,80,Surface St,,,,,1,,14 Avenue,Improved,Brooklyn
Gen_use,,30,Surface St,,,,,1,,West 188 Street,Improved,Bronx
Gen_use,,60,Surface St,,N,,N,1,,120 Street-Rubie Plaza,Unimproved,Queens
Gen_use,,50,Surface St,,,,No,1,,Gouverneur Avenue,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,Lindenwood Avenue,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Charles Avenue,Improved,Staten Island
Other,Y,50,Surface St,,,,,0,True,Curtis Court,Improved,Staten Island
Mjr_st,,100,Surface St,,,,,1,,Frederick Douglass Boulevard,Improved,Manhattan
Mjr_st,,100,Surface St,,,,,1,,2 Avenue,Improved,Manhattan
Gen_use,,60,Surface St,,,,,1,,Bennett Avenue,Improved,Manhattan
Other,,,Surface St,,N,,N,0,,Battery Road,Improved,Staten Island
Gen_use,,50,Surface St,,,,,1,,Park Avenue,Improved,Bronx
Other,,,Surface St,,N,,N,0,,Alex Circle,Improved,Staten Island
Gen_use,,40,Surface St,,,,,1,,Dalemere Road,Improved,Staten Island
Gen_use,,59.7-59.8,Surface St,,,,,1,,Bleecker Street,Improved,Manhattan
Gen_use,,50,Surface St,,,,,1,,Hicks Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,240 Street,Improved,Queens
Gen_use,,50,Surface St,,,,,1,,Reno Avenue,Improved,Staten Island
Gen_use,,80,Surface St,,,,,1,,Clinton Avenue,Improved,Brooklyn
Gen_use,N,60,Surface St,,,,,1,,Dartmouth Street,Improved,Queens
Gen_use,,66,Surface St,,,,,1,,Heberton Avenue,Improved,Staten Island
Gen_use,,50,Surface St,,,,,1,,Mayberry Promenade,Improved,Staten Island
Gen_use,,90,Surface St,,,,,1,,East 76 Street,Improved,Brooklyn
Gen_use,,70,Surface St,,,,,1,,Amity Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Park Terrace West,Improved,Manhattan
Gen_use,,25,Surface St,,N,,N,1,,Depot Road,Unimproved,Queens
Gen_use,,Unknown,Surface St,,,,,1,,75 Avenue,Improved,Queens
Gen_use,,47,Surface St,,,,,1,,Glen Street,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Tudor Place,Improved,Bronx
Gen_use,,50,Surface St,,,,,1,,Sheffield Avenue,Improved,Brooklyn
Mjr_st,,>75,Surface St,,,,,1,,Old Fulton Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Tibbett Avenue,Part_improved,Bronx
Other,,Unknown,Surface St,,,,,0,,Charter Road,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,St. Lawrence Avenue,Improved,Bronx
Other,,,Surface St,,,,,0,,Perry Avenue,Improved,Brooklyn
Mjr_st,,125-150,Surface St,,,,,1,,East Houston Street,Improved,Manhattan
Gen_use,,100,Surface St,,,,,1,,Avenue Of The Americas,Improved,Manhattan
Gen_use,,50,Surface St,,,,No,1,,131 Street,Improved,Queens
Gen_use,,50,Surface St,,,,,1,,Scheffelin Avenue,Unimproved,Staten Island
Gen_use,,~80,Surface St,,,,,1,,Tillotson Avenue,Improved,Bronx
Gen_use,N,60,Surface St,,N,,N,1,,13 Road,Improved,Queens
Gen_use,,60,Surface St,,N,,N,1,,147 Road,Unimproved,Queens
Artrl,,100,Surface St,,,,,1,,Father Capodanno Boulevard,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Engert Avenue,Improved,Brooklyn
Gen_use,,47,Surface St,,,,,1,,Clove Road,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Herzl Street,Improved,Brooklyn
Other,,,Walkway,,,,,0,True,Brighton 3 Lane,Improved,Brooklyn
Gen_use,,>75,Surface St,,,,,1,,Dyker Place,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Lombardy Street,Improved,Brooklyn
Other,,Unknown,Surface St,,,,,0,,Ocean Avenue North,Improved,Queens
Gen_use,,70,Surface St,,,,,1,,Wallabout Street,Improved,Brooklyn
Other,Y,40,Surface St,,,,,0,True,Cowen Place,Improved,Staten Island
Mjr_st,,100,Surface St,,,,,1,,Woodrow Road,Improved,Staten Island
Gen_use,,50,Surface St,,,,,1,,King Street,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Hart Street,Improved,Brooklyn
Gen_use,,80,Surface St,,,,,1,,Avenue K,Improved,Brooklyn
Mjr_st,,110,Surface St,,,,,1,,Avenue U,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Brookfield Avenue,Improved,Staten Island
Mjr_st,,55,Surface St,,,,,1,,Arthur Kill Road,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Calhoun Avenue,Improved,Bronx
Gen_use,,60,Surface St,,,,,1,,East 7 Street,Improved,Brooklyn
Gen_use,,50,Surface St,,,,No,1,,98 Place,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,East Brandis Avenue,Improved,Staten Island
Gen_use,,50,Surface St,,,,No,1,,12 Street,Improved,Queens
Gen_use,,70,Surface St,,,,No,1,,115 Avenue,Improved,Queens
Other,,,Surface St,,,,,0,,Seneca Loop,Improved,Staten Island
Gen_use,,80,Surface St,,,,,1,,Crotona Avenue,Improved,Bronx
Mjr_st,,100,Surface St,,,,,1,,Hylan Boulevard,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,28 Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Elmbank Street,Improved,Staten Island
Other,Y,<60,Surface St,,,,,0,True,Herbert Street,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Meagher Avenue,Improved,Bronx
Gen_use,,50,Surface St,,,,No,1,,98 Street,Improved,Queens
Gen_use,,70,Surface St,,,,,1,,Clinton Street,Improved,Brooklyn
Gen_use,,70,Surface St,,,,,1,,Park Avenue,Improved,Brooklyn
Gen_use,,80,Surface St,,,,,1,,East 115 Street,Improved,Manhattan
Gen_use,,100,Surface St,,,,No,1,,Borden Avenue,Improved,Queens
Gen_use,,50,Surface St,,,,,1,,York Street,Improved,Brooklyn
Mjr_st,,80,Surface St,,,,,1,,Bedford Avenue,Improved,Brooklyn
Other,,,Surface St,,,,,0,False,3 Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Harrison Street,Improved,Staten Island
Gen_use,,50,Surface St,,,,,1,,Seba Avenue,Improved,Brooklyn
Gen_use,,70,Surface St,,,,,1,,Blake Avenue,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Sheldon Avenue,Improved,Staten Island
Gen_use,,Unknown,Surface St,,,,,1,,Andes Road,Improved,Manhattan
Gen_use,,150,Surface St,,,,,1,,Park Avenue,Improved,Brooklyn
Gen_use,,50,Surface St,,,,,1,,Ramble Road,Improved,Staten Island
Mjr_st,,>80,Surface St,,,,No,1,,Grand Avenue,Improved,Queens
Mjr_st,,130,Surface St,,,,,1,,Van Cortlandt Avenue West,Improved,Bronx
Gen_use,,60,Surface St,,,,No,1,,Caldwell Avenue,Improved,Queens
Gen_use,,70,Surface St,,,,,1,,Madison Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Varick Avenue,Improved,Brooklyn
Gen_use,,70,Surface St,,,,,1,,New Lots Avenue,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,49 Street,Improved,Brooklyn
Gen_use,,80,Surface St,,,,,1,,Arlington Avenue,Improved,Staten Island
Mjr_st,,100,Surface St,,,,,1,,Hylan Boulevard,Improved,Staten Island
Mjr_st,N,80,Surface St,,,,,1,,71 Avenue,Improved,Queens
Gen_use,,80,Surface St,,,,,1,,Avenue T,Improved,Brooklyn
Gen_use,,50,Surface St,,,,,1,,Flatlands 4 Street,Improved,Brooklyn
Gen_use,,50,Surface St,,,,,1,,Walsh Court,Improved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,180 Street,Improved,Queens
Gen_use,,80,Surface St,,,,,1,,10 Avenue,Improved,Brooklyn
Gen_use,,80,Surface St,,,,,1,,Rogers Avenue,Improved,Brooklyn
Gen_use,,80,Surface St,,,,No,1,,Murdock Avenue,Improved,Queens
Gen_use,,Unknown,Surface St,,,,No,1,,87 Road,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,East 58 Street,Improved,Manhattan
Other,,,Surface St,,,,,0,,Willets Street,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,Calhoun Avenue,Improved,Bronx
Gen_use,,60,Surface St,,,,,1,,62 Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Bionia Avenue,Improved,Staten Island
Other,,,Surface St,,,,,0,,Conference Court,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Armstrong Avenue,Improved,Staten Island
Gen_use,,70,Surface St,,,,No,1,,29 Avenue,Improved,Queens
Gen_use,,80,Surface St,,,,,1,,Caswell Avenue,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,West 19 Street,Improved,Manhattan
Gen_use,,50,Surface St,,,,,1,,Hoyt Street,Improved,Brooklyn
Gen_use,,80,Surface St,,,,No,1,,99 Street,Improved,Queens
Gen_use,,60,Surface St,,N,,N,1,,73 Place,Unimproved,Queens
Gen_use,,45,Surface St,,,,,1,,West 150 Street,Improved,Manhattan
Gen_use,,80,Surface St,,,,,1,,11 Avenue,Improved,Brooklyn
Gen_use,,80,Surface St,,,,,1,,Brielle Avenue,Improved,Staten Island
Gen_use,,50,Surface St,,,,,1,,Charles Avenue,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,South 4 Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Downing Street,Improved,Brooklyn
Gen_use,N,50,Surface St,,N,,N,1,,Beach 22 Street,Improved,Queens
Gen_use,,50,Surface St,,,,No,1,,Beach 118 Street,Improved,Queens
Gen_use,,50,Surface St,,,,,1,,South Railroad Avenue,Improved,Staten Island
Gen_use,,Unknown,Surface St,,,,,1,,Narrows Road South,Improved,Staten Island
Artrl,,Unknown,Surface St,,,,,1,,Henry Hudson Parkway,Improved,Manhattan
Gen_use,,100,Surface St,,,,,1,,Mercer Street,Improved,Manhattan
Gen_use,,70,Surface St,,,,,1,,Newport Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,93 Road,Improved,Queens
Gen_use,,125,Surface St,,,,,1,,36 Avenue,Improved,Queens
Other,Y,50,Surface St,,N,,N,0,True,Finlay Avenue,Improved,Staten Island
Gen_use,,70,Surface St,,,,,1,,Katan Avenue,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,East 45 Street,Improved,Brooklyn
Other,,Unknown,Surface St,,,,,1,,Beach 201 Street,Part_improved,Queens
Gen_use,,80,Surface St,,,,,1,,Harold Street,Improved,Staten Island
Gen_use,,75,Surface St,,,,,1,,Columbia Street,Improved,Brooklyn
