gispropnum,regulation_soccer,t_ball,field_lighted,volleyball,wheelchairfootball,field_number,accessible,adult_football,borough,track_and_field,maintenanceagreement,the_geom,system,ll_baseb_13andolder,surface_type,lacrosse,precinct,ll_baseb_12andunder,cricket,flagfootball,councildistrict,hockey,stlength,pickleball
M144,False,True,False,False,False,07,False,False,M,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97349795435784, 40.72297349532259], [-73.97345153288627, 40.722928198010116], [-73.97304169170637, 40.72287151566822], [-73.97299481803599, 40.722888635974705], [-73.972939364879, 40.72291879362225], [-73.97289270880601, 40.72295660314184], [-73.97285664596765, 40.72300061064482], [-73.97283255953943, 40.723049125310745], [-73.97282137708288, 40.723100282411124], [-73.97282352671743, 40.72315211713922], [-73.97283892761638, 40.72320263574736], [-73.97286698641663, 40.72324989839336], [-73.9729066255922, 40.723292088487], [-73.9729563224811, 40.723327583841446], [-73.97301416607137, 40.723355021525244], [-73.97307793391779, 40.72337334651007], [-73.97314517498111, 40.723381854016225], [-73.97321330667936, 40.723380217452466], [-73.97327970839483, 40.723368501045734], [-73.97334183037691, 40.72334715356282], [-73.97338557935768, 40.723324448335305], [-73.97342428795298, 40.72329695211852], [-73.97349795435784, 40.72297349532259]]]]}",M144-ZN06-BASEBALL-2,False,Natural,False,9.0,True,False,False,2.0,False,602.0699346373304,
M214,False,False,False,False,False,03,False,False,M,False,True,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94454996122711, 40.788308921500054], [-73.94442108607022, 40.78825358577125], [-73.94437649685892, 40.788315757361545], [-73.94450496077685, 40.788371334275865], [-73.94454996122711, 40.788308921500054]]]]}",M214-HANDBALL-1,False,Asphalt,False,23.0,False,False,False,8.0,False,133.64844812567662,
B018,False,False,False,False,False,04,False,False,B,False,True,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88345972724518, 40.63591002246651], [-73.88439966856596, 40.63596132383237], [-73.88446098464841, 40.635894249013845], [-73.88466168718267, 40.63591309936946], [-73.8847154380947, 40.635810182445496], [-73.88474714612673, 40.635702084325835], [-73.88475601232382, 40.63559152649891], [-73.88474181449133, 40.635481291353095], [-73.8847049096616, 40.63537415463961], [-73.88464622711213, 40.63527281342511], [-73.88456724364775, 40.635179817629904], [-73.88446994823504, 40.63509750876111], [-73.88437877378485, 40.63503976854215], [-73.88427857695187, 40.634991478230496], [-73.88417103483988, 40.63495344725848], [-73.88405794777108, 40.63492631228743], [-73.88394120857203, 40.63491052817321], [-73.88382277068038, 40.63490635712867], [-73.883704618594, 40.63491387139635], [-73.88358872770276, 40.6349329433023], [-73.88356149445706, 40.635108217217876], [-73.88347085684022, 40.635143558150986], [-73.8833937388125, 40.635848414048766], [-73.88345972724518, 40.63591002246651]]]]}",B018-ZN05-BASEBALL-3,True,Natural,False,69.0,True,False,False,42.0,False,1312.7683999189971,
X010,False,False,True,False,False,,False,False,X,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.89547965880286, 40.83894144482382], [-73.89535549477466, 40.83889916120403], [-73.89523942657684, 40.83909418749336], [-73.89536076776614, 40.83913646867549], [-73.89547965880286, 40.83894144482382]]]]}",X010-ZN03-TENNIS-21,False,Asphalt,False,42.0,False,False,False,15.0,False,230.8700076056184,False
X260,False,False,False,False,False,02,False,False,X,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88940373644277, 40.8161194402845], [-73.88941807400543, 40.81608068671643], [-73.88942401827924, 40.81604068601256], [-73.88942141583372, 40.81600047900225], [-73.88941033368863, 40.815961113928324], [-73.88939106054687, 40.815923616732015], [-73.8893640985432, 40.81588896222945], [-73.88933015023643, 40.81585805518926], [-73.889290099695, 40.81583169969803], [-73.88924499000456, 40.815810582030075], [-73.88919599722242, 40.815795252613256], [-73.88914439603064, 40.81578611068818], [-73.88909153130774, 40.81578339437591], [-73.88903877902644, 40.81578717433736], [-73.88898751544194, 40.81579735194238], [-73.88893907323242, 40.81581366282996], [-73.88889471660264, 40.81583568138598], [-73.88897347685113, 40.81614416686546], [-73.88903140526709, 40.8161704109018], [-73.88940373644277, 40.8161194402845]]]]}",X260-BASEBALL-2,False,Natural,False,41.0,True,False,False,17.0,False,472.538696928181,
Q364,False,False,False,False,False,,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.77239717427297, 40.75699488499201], [-73.77229937960713, 40.75680039359696], [-73.77217972759281, 40.75683046092591], [-73.77227047191441, 40.75702850269586], [-73.77239717427297, 40.75699488499201]]]]}",Q364-TENNIS-1,False,Asphalt,False,111.0,False,False,,19.0,False,224.35963334447928,
B028,False,False,False,False,False,02,False,False,B,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.0168831125599, 40.60696134101066], [-74.01694016366288, 40.60690656288815], [-74.01680313071661, 40.60682388089378], [-74.01674494310264, 40.60687944707077], [-74.0168831125599, 40.60696134101066]]]]}",B028-ZN01-HANDBALL-4,False,Asphalt,False,68.0,False,False,False,50.0,False,148.5127072556711,
Q300,False,False,False,False,False,02,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.822292957179, 40.74878494715962], [-73.82237783814028, 40.74887029765732], [-73.82245341970565, 40.748827166390946], [-73.82236853870245, 40.74874181594841], [-73.822292957179, 40.74878494715962]]]]}",Q300-05-HANDBALL-3,False,Asphalt,False,109.0,False,False,False,20.0,False,130.34054555454873,
B300,False,False,False,False,False,01,False,False,B,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97136572905109, 40.69375017782681], [-73.9713904756169, 40.693875327350604], [-73.97152917882559, 40.693860679786106], [-73.97150443290117, 40.6937334329977], [-73.97136572905109, 40.69375017782681]]]]}",B300-BASKETBALL-1,False,Asphalt,False,88.0,False,False,False,35.0,False,170.75010204601816,
B007,False,False,False,False,False,02,False,False,B,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00129554396916, 40.597628255436355], [-74.0012196046825, 40.597698286298325], [-74.00130874622894, 40.597753116330004], [-74.00138301144382, 40.597683488863694], [-74.00129554396916, 40.597628255436355]]]]}",B007-BASKETBALL-4,False,Asphalt,False,62.0,False,False,False,47.0,False,129.14700628858287,
Q127,False,False,False,False,False,03,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.79584095110675, 40.69430708483487], [-73.79613783144013, 40.6941804610606], [-73.796048816385, 40.69405892290321], [-73.79574952109843, 40.69418689563754], [-73.79584095110675, 40.69430708483487]]]]}",Q127-BASKETBALL-1,False,Asphalt,False,103.0,False,False,False,28.0,False,290.86075503600136,
Q358,False,False,False,False,False,02,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.73136529897978, 40.73192889390232], [-73.73148998578314, 40.73195664313821], [-73.73153342638138, 40.73183934551085], [-73.73140983329714, 40.731811083778965], [-73.73136529897978, 40.73192889390232]]]]}",Q358-HANDBALL-1,False,Asphalt,False,105.0,False,False,False,23.0,False,160.83297187935707,
Q389,False,False,False,False,False,08,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.82535870545782, 40.58442289212403], [-73.82523137562342, 40.584462440500715], [-73.82527313631243, 40.58454131439581], [-73.82540223272015, 40.58450244225041], [-73.82535870545782, 40.58442289212403]]]]}",Q389-BASKETBALL-10,False,Asphalt,False,100.0,False,False,False,32.0,False,139.1343447550268,
B166C,False,False,False,False,False,05,False,False,B,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98991152590786, 40.583000731895325], [-73.98997212642925, 40.582964274994254], [-73.99002662351947, 40.58292259269273], [-73.99007424816622, 40.58287627477598], [-73.99011432584588, 40.58282597407411], [-73.99014629069717, 40.58277240286077], [-73.9901696914284, 40.582716318444575], [-73.99018419722348, 40.58265851326337], [-73.99018960246671, 40.58259980317742], [-73.99018583028584, 40.582541019364896], [-73.9901729360962, 40.58248299301312], [-73.99015109933272, 40.58242654271048], [-73.99012063171749, 40.58237246724336], [-73.99008196190566, 40.582321530286045], [-73.99003563666676, 40.582274452296794], [-73.98998231143644, 40.582231898810605], [-73.98992273850628, 40.58219447053323], [-73.98985776111876, 40.58216269703735], [-73.98978829811463, 40.58213702685645], [-73.98971532976076, 40.582117822981225], [-73.98963988830256, 40.58210535745633], [-73.98956303906877, 40.58209980597583], [-73.98948586984238, 40.58210124698208], [-73.98907883237726, 40.58270478688237], [-73.98910576112459, 40.582748443228766], [-73.98991152590786, 40.583000731895325]]]]}",B166C-ZN02-BASEBALL-5,True,Natural,False,60.0,True,False,False,47.0,False,978.5036027353189,
X092,False,False,False,False,False,03,False,False,X,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.89507875917562, 40.89627893122205], [-73.89496672381684, 40.89626409831084], [-73.89485304938692, 40.89626144105376], [-73.89474002371708, 40.896271013760185], [-73.89462991960337, 40.89629262400188], [-73.894524952084, 40.89632583707586], [-73.89442723096484, 40.89636998316372], [-73.89433872519136, 40.896424177108365], [-73.89426121299664, 40.89648732647047], [-73.89419625337439, 40.896558161216205], [-73.8941451540002, 40.896635257098325], [-73.89410894389033, 40.89671706354351], [-73.89408834842841, 40.89680193424454], [-73.89408378455751, 40.89688816227319], [-73.8940953441072, 40.8969740133819], [-73.89412279373427, 40.8970577593218], [-73.89416558078857, 40.89713771656906], [-73.89510340085525, 40.89707100826553], [-73.89516259670715, 40.89702385953376], [-73.89507875917562, 40.89627893122205]]]]}",X092-ZN06-BASEBALL-2,False,Natural,False,50.0,False,False,False,11.0,False,1059.5966368592717,
Q388,False,False,False,False,False,01,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.75150029431498, 40.75380867648358], [-73.75126724356325, 40.7533446850412], [-73.75119434413455, 40.75336201819404], [-73.75112472518984, 40.7533859077916], [-73.75105940048208, 40.75341600483221], [-73.75099932252313, 40.75345187193356], [-73.75094536955538, 40.75349298420482], [-73.75089832773614, 40.7535387436155], [-73.75085888165393, 40.75358848167579], [-73.75082760954102, 40.753641472933424], [-73.75080496428909, 40.75369694483725], [-73.75079127933178, 40.75375408765541], [-73.7507867520108, 40.753812068847104], [-73.75079145064946, 40.753870041182026], [-73.75080530382552, 40.75392716072743], [-73.75082811218458, 40.75398259407789], [-73.75085954128272, 40.75403553184759], [-73.75146675226615, 40.75386681933024], [-73.75150029431498, 40.75380867648358]]]]}",Q388-BASEBALL-1,False,Natural,False,111.0,True,False,False,23.0,False,700.6229652483844,
Q021,False,False,False,False,False,01,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.77354980590214, 40.73006225653374], [-73.77345487799592, 40.7298607280444], [-73.7733345467639, 40.72989500334527], [-73.77342904658794, 40.730095614370434], [-73.77354980590214, 40.73006225653374]]]]}",Q021-ZN02-TENNIS-10,False,Asphalt,False,107.0,False,False,False,23.0,False,226.8537592177648,
Q024,False,False,False,False,False,01,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.80867873769199, 40.74510353543846], [-73.80874038041438, 40.74511500043751], [-73.80880688874231, 40.745120947958966], [-73.80981524820666, 40.745159155574214], [-73.80993186752728, 40.74514992155833], [-73.81004300383775, 40.74512150655103], [-73.81011833507598, 40.74508900713901], [-73.81018574433193, 40.74504765162661], [-73.81024345007896, 40.74499853481255], [-73.81028992716264, 40.744942953633334], [-73.8103239459517, 40.74488237930959], [-73.81034460680051, 40.74481841237581], [-73.81035136501971, 40.74475274399813], [-73.81034404047183, 40.74468711096361], [-73.81032282717113, 40.74462324886947], [-73.81028828512376, 40.74456284528332], [-73.81024132978436, 40.74450749830363], [-73.8101832013996, 40.74445867058453], [-73.81011543669437, 40.74441765237041], [-73.81003982870531, 40.74438552991385], [-73.80995837359929, 40.74436315117048], [-73.80987322810076, 40.744351108621174], [-73.80883564398007, 40.74431337618169], [-73.80872105461039, 40.74432287000341], [-73.80861185354937, 40.744350936655], [-73.80852213697821, 40.744391170854854], [-73.80844446350616, 40.7444439429885], [-73.80838181910022, 40.74450722649999], [-73.80833661076325, 40.74457858864223], [-73.80831057745056, 40.74465528757875], [-73.80830471754149, 40.74473437491719], [-73.80831925652002, 40.74481281361952], [-73.80835363717574, 40.74488758694681], [-73.80838374529547, 40.744930073517466], [-73.8084202996831, 40.744969527082986], [-73.80846277862926, 40.74500538395174], [-73.80851057620245, 40.7450371334218], [-73.80856300934279, 40.74506432139545], [-73.80861933085501, 40.745086561207074], [-73.80867873769199, 40.74510353543846]], [[-73.8098687949799, 40.74441921849089], [-73.80993066994911, 40.74442839414475], [-73.8099901983391, 40.74444417382766], [-73.81004616865759, 40.74446623586445], [-73.81009744080991, 40.74449413172808], [-73.81014297094158, 40.744527293284044], [-73.8101818327161, 40.74456504453129], [-73.8102132350265, 40.74460661874043], [-73.81023653735691, 40.7446511692845], [-73.8102512674922, 40.74469778767754], [-73.81025712382363, 40.744745526090796], [-73.81025398714674, 40.74479341268025], [-73.81024192297247, 40.74484047230222], [-73.81022117436584, 40.74488574721308], [-73.81019216544624, 40.744928315986265], [-73.81015548713195, 40.744967310598646], [-73.8101118840529, 40.74500193892249], [-73.8100622462351, 40.74503149461787], [-73.81000758299595, 40.74505537690169], [-73.809949006342, 40.74507309952599], [-73.80988770962475, 40.74508430154965], [-73.80982494147044, 40.7450887544998], [-73.80876436400656, 40.745048567407856], [-73.80870182898785, 40.745037376495056], [-73.80864210189368, 40.745019383267824], [-73.8085864520917, 40.74499497075527], [-73.80853606803794, 40.74496465873138], [-73.80849201942128, 40.74492909194487], [-73.80845524654009, 40.7448890283941], [-73.80842653075393, 40.74484532126696], [-73.80840648387753, 40.744798901812686], [-73.80839553403858, 40.74475075680524], [-73.80839391270185, 40.744701912311704], [-73.80840165592794, 40.74465340848025], [-73.80841859733354, 40.74460627791582], [-73.80844437644109, 40.74456152498274], [-73.8084784446705, 40.74452010150124], [-73.8085200772301, 40.744482889658215], [-73.80856838619833, 40.74445068221855], [-73.80862234425366, 40.74442416545564], [-73.80868080129667, 40.74440390297066], [-73.80874251289124, 40.744390326735584], [-73.80880616634481, 40.74438372543042], [-73.809038918026, 40.74439219093665], [-73.80903418152454, 40.744467533159145], [-73.80967227377273, 40.74449073739719], [-73.8096772079727, 40.7444122527009], [-73.8098687949799, 40.74441921849089]]]]}",Q024-ZN04-TRACK-1,False,Asphalt,False,109.0,False,False,False,20.0,False,2838.475007201418,
Q340,False,False,False,False,False,01,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92111603942915, 40.74777640450025], [-73.92097172518419, 40.74776068898719], [-73.92095862156339, 40.747829185136204], [-73.92110291149034, 40.74784456115776], [-73.92111603942915, 40.74777640450025]]]]}",Q340-HANDBALL-3,False,Asphalt,False,108.0,False,False,False,26.0,False,131.0801868075107,
Q004,False,False,False,False,False,13,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9245493142558, 40.77599037897136], [-73.92453524308397, 40.775996381513956], [-73.92467132506994, 40.776179592308836], [-73.92478005386812, 40.77613292273693], [-73.92464399415354, 40.77594973999942], [-73.9245493142558, 40.77599037897136]]]]}",Q004-ZN04-TENNIS-6,False,Asphalt,False,114.0,False,False,False,22.0,False,222.4649497262273,
M190,False,False,False,False,False,04,False,False,M,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95584173163894, 40.81463362543086], [-73.95592296667137, 40.81472485616482], [-73.95602271394226, 40.81467519221436], [-73.9559402067357, 40.81458444553131], [-73.95584173163894, 40.81463362543086]]]]}",M190-HANDBALL-1,False,Asphalt,False,26.0,False,False,False,7.0,False,145.94489794134864,
Q001,False,True,False,False,False,06,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.74854966001796, 40.741854040681716], [-73.74822140929206, 40.74223814238683], [-73.74828224473625, 40.74229313627671], [-73.74835500544904, 40.74233899079331], [-73.7484373550754, 40.742374235680124], [-73.74852665168163, 40.742397738609434], [-73.74862003048457, 40.74240874588858], [-73.74871449138989, 40.74240690426556], [-73.74880700551311, 40.74239227286888], [-73.74889460162774, 40.74236532069491], [-73.74895198385667, 40.742339309369335], [-73.74900458265917, 40.74230798988642], [-73.74905155551646, 40.74227186470288], [-73.74909214841767, 40.74223151481323], [-73.74912571012122, 40.742187585372214], [-73.74915170282746, 40.7421407812149], [-73.74916970814506, 40.74209185426201], [-73.74917943898359, 40.742041589137344], [-73.7486246516891, 40.741836645328014], [-73.74854966001796, 40.741854040681716]]]]}",Q001-ZN03-BASEBALL-1,False,Natural,False,111.0,False,False,False,23.0,False,717.0994105492495,
Q444,False,False,False,False,False,01,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91838572185257, 40.76073959666596], [-73.9184392719746, 40.76067399678402], [-73.9183208056404, 40.760618070738005], [-73.91826596633221, 40.76068416042608], [-73.91838572185257, 40.76073959666596]]]]}",Q444-HANDBALL-1,False,Asphalt,False,114.0,False,False,False,22.0,False,134.0700660562411,
Q376,False,False,False,False,False,04,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.82450028378204, 40.73629675452022], [-73.8246684879671, 40.73630453809266], [-73.82467874364411, 40.73616781133528], [-73.82451054310681, 40.73615877337295], [-73.82450028378204, 40.73629675452022]]]]}",Q376-BASKETBALL-4,False,Asphalt,False,107.0,False,False,False,24.0,False,193.67631835615344,
B369,False,False,False,False,False,,False,False,B,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98387107517831, 40.573175855516915], [-73.98380547457178, 40.5731566678163], [-73.98374139160441, 40.573156658764475], [-73.9836811686873, 40.57317336306055], [-73.98363207160423, 40.573204765471516], [-73.98360002029779, 40.57324707925054], [-73.98358888018049, 40.57329519989043], [-73.98359999666727, 40.57334332370852], [-73.9836135842151, 40.5733655541953], [-73.98364144006361, 40.57339357078212], [-73.9838780627015, 40.5733678303207], [-73.98390211239338, 40.573336997931996], [-73.98387107517831, 40.573175855516915]]]]}",B369-BASEBALL-1,False,,False,60.0,False,False,,47.0,False,286.888544469561,
M065,False,False,False,False,False,04,False,False,M,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98205726790854, 40.7160488870323], [-73.98191202276237, 40.71600489599173], [-73.98186681363822, 40.71609399976871], [-73.98201276313169, 40.71613799637888], [-73.98205726790854, 40.7160488870323]]]]}",M065-HANDBALL-3,False,Asphalt,False,7.0,False,False,False,1.0,False,156.38425468381587,
