o_orderkey,o_custkey,o_orderpriority,o_comment
262,304,4-NOT SPECIFIED,l packages. blithely final pinto beans use carefu
263,1162,2-HIGH, pending instructions. blithely un
288,71,1-URGENT,"uriously final requests. even, final ideas det"
289,1039,3-MEDIUM,sily. slyly special excuse
290,1180,4-NOT SPECIFIED,efully dogged deposits. furiou
291,1411,1-URGENT,dolites. carefully regular pinto beans cajol
292,223,2-HIGH,g pinto beans will have to sleep f
293,301,2-HIGH,"re bold, ironic deposits. platelets c"
294,505,3-MEDIUM,kly according to the frays. final dolphins affix quickly 
295,190,2-HIGH, unusual pinto beans play. regular ideas haggle
320,4,2-HIGH,ar foxes nag blithely
321,1226,3-MEDIUM,equests run. blithely final dependencies after the deposits wake caref
322,1336,1-URGENT,fully across the slyly bold packages. packages against the quickly regular i
323,392,1-URGENT,arefully pending foxes sleep blithely. slyly express accoun
324,1052,1-URGENT," about the ironic, regular deposits run blithely against the excuses"
325,401,5-LOW,ly sometimes pending pa
326,760,2-HIGH, requests. furiously ironic asymptotes mold carefully alongside of the blit
327,1447,5-LOW,ng the slyly final courts. slyly even escapades eat 
352,1066,2-HIGH,ke slyly bold pinto beans. blithely regular accounts against the spe
353,19,5-LOW, quiet ideas sleep. even instructions cajole slyly. silently spe
354,1384,2-HIGH,ly regular ideas wake across the slyly silent ideas. final deposits eat b
355,701,5-LOW,"s. sometimes regular requests cajole. regular, pending accounts a"
356,1469,4-NOT SPECIFIED,"as wake along the bold accounts. even, "
357,604,2-HIGH,"e blithely about the express, final accounts. quickl"
358,23,2-HIGH,"l, silent instructions are slyly. silently even de"
359,776,3-MEDIUM,n dolphins. special courts above the carefully ironic requests use
384,1132,5-LOW,", even accounts use furiously packages. slyly ironic pla"
385,331,5-LOW,hless accounts unwind bold pain
386,602,2-HIGH, haggle quickly. stealthily bold asymptotes haggle among the furiously even re
387,34,4-NOT SPECIFIED, are carefully among the quickly even deposits. furiously silent req
388,448,4-NOT SPECIFIED,ar foxes above the furiously ironic deposits nag slyly final reque
389,1270,2-HIGH,"ing to the regular asymptotes. final, pending foxes about the blithely sil"
390,1027,5-LOW,"xpress asymptotes use among the regular, final pinto b"
391,1103,2-HIGH,orges thrash fluffil
416,403,5-LOW, the accounts. fluffily bold depo
417,547,3-MEDIUM,"ironic, even packages. thinly unusual accounts sleep along the slyly unusual "
418,949,4-NOT SPECIFIED,. furiously ironic instruc
419,1163,3-MEDIUM,osits. blithely pending theodolites boost carefully
420,902,4-NOT SPECIFIED,leep carefully final excuses. fluffily pending requests unwind carefully above
421,392,5-LOW,"egular, even packages according to the final, un"
422,731,4-NOT SPECIFIED,aggle carefully across the accounts. regular accounts eat fluffi
423,1034,1-URGENT,quests. deposits cajole quickly. furiously bold accounts haggle q
448,1498,3-MEDIUM," regular, express foxes use blithely. quic"
449,958,2-HIGH,. furiously regular theodolites affix blithely 
450,475,4-NOT SPECIFIED,d theodolites. boldly bold foxes since the pack
451,988,5-LOW,nic pinto beans. theodolites poach carefully; 
452,596,1-URGENT,"t, unusual instructions above the blithely bold pint"
453,442,5-LOW,ss foxes. furiously regular ideas sleep according to t
454,488,5-LOW,dolites sleep carefully blithely regular deposits. quickly regul
455,121,1-URGENT, about the final platelets. dependen
480,715,5-LOW,ealthy pinto beans. fluffily regular requests along the special sheaves wake 
481,304,2-HIGH,ly final ideas. packages haggle fluffily
482,1252,1-URGENT,ts. deposits wake: final acco
483,349,2-HIGH,cross the carefully final e
484,544,3-MEDIUM,"grouches use. furiously bold accounts maintain. bold, regular deposits"
485,1006,2-HIGH, regular ideas nag thinly furiously s
486,509,4-NOT SPECIFIED,riously dolphins. fluffily ironic requ
487,1079,1-URGENT,ithely unusual courts eat accordi
512,631,5-LOW,ding requests. carefully express theodolites was quickly. furious
513,607,2-HIGH,regular packages. pinto beans cajole carefully against the even
514,749,2-HIGH, cajole furiously. slyly final excuses cajole. slyly special instructions 
515,1420,4-NOT SPECIFIED,eposits are furiously furiously silent pinto beans. pending pack
516,440,2-HIGH,"lar, unusual platelets are carefully. even courts sleep bold, final pinto bea"
517,94,5-LOW,slyly pending deposits cajole quickly packages. furiou
518,1444,2-HIGH, the carefully bold accounts. quickly regular excuses are
519,631,1-URGENT,ains doze furiously against the f
544,934,2-HIGH,"the special, final accounts. dogged dolphins"
545,632,2-HIGH,as. blithely final hockey players about th
546,1433,2-HIGH,osits sleep. slyly special dolphins about the q
547,983,3-MEDIUM,ing accounts eat. carefully regular packa
548,1240,1-URGENT,arefully express instru
549,1100,1-URGENT,ideas alongside of 
550,236,1-URGENT,t requests. blithely 
551,898,1-URGENT,xpress accounts boost quic
576,296,3-MEDIUM,l requests affix regular requests. final account
577,553,5-LOW, deposits engage stealthil
578,926,5-LOW,e blithely even packages. slyly pending platelets bes
579,671,2-HIGH, regular instructions. blithely even p
580,593,2-HIGH,tegrate fluffily regular accou
581,688,4-NOT SPECIFIED, requests. even requests use slyly. blithely ironic 
582,494,1-URGENT,n pinto beans print a
583,472,3-MEDIUM,efully express requests. a
608,260,3-MEDIUM,nic waters wake slyly slyly expre
609,1252,3-MEDIUM,- ironic gifts believe furiously ca
610,508,1-URGENT,"totes. ironic, unusual packag"
611,1055,1-URGENT,ounts detect furiously ac
612,815,3-MEDIUM,boost quickly quickly final excuses. final foxes use bravely afte
613,1384,2-HIGH,ts hinder among the deposits. fluffily ironic depos
614,1333,2-HIGH," deposits! even, daring theodol"
615,655,5-LOW,t to promise asymptotes. packages haggle alongside of the fluffil
640,952,2-HIGH,"r, unusual accounts boost carefully final ideas. slyly silent theod"
641,1330,5-LOW,ents cajole furiously about the quickly silent pac
642,400,3-MEDIUM, among the requests wake slyly alongside of th
643,578,2-HIGH,g dependencies. regular accounts 
644,74,1-URGENT," blithely unusual platelets haggle ironic, special excuses. excuses unwi"
645,1144,2-HIGH,quickly daring theodolites across the regu
646,505,2-HIGH,carefully even foxes. fina
647,1430,1-URGENT,egular pearls. carefully express asymptotes are. even account
672,1081,5-LOW,egular requests are furiously according to 
673,793,1-URGENT, special pinto beans use quickly furiously even depende
674,332,5-LOW,ully special deposits. furiously final warhorses affix carefully. fluffily f
675,118,2-HIGH,ffily between the careful
676,380,2-HIGH,"the final deposits. special, pending"
677,1240,3-MEDIUM,uriously special pinto beans cajole carefully. fi
678,1307,5-LOW,. blithely final somas about the
679,485,2-HIGH,"tealthy, final pinto beans haggle slyly. pending platelets about the special, "
704,844,3-MEDIUM,"blithely pending platelets wake alongside of the final, iron"
705,428,4-NOT SPECIFIED,"ithely regular dependencies. express, even packages sleep slyly pending t"
706,1474,1-URGENT,g the packages. deposits caj
707,1162,3-MEDIUM," ideas about the silent, bold deposits nag dolphins"
708,316,3-MEDIUM,lphins cajole about t
709,361,1-URGENT,ons alongside of the carefully bold pinto bea
710,1312,5-LOW," regular, regular requests boost. fluffily re"
711,637,4-NOT SPECIFIED,its. fluffily regular gifts are furi
736,464,5-LOW,refully of the final pi
737,1198,5-LOW,"ake blithely express, ironic theodolites. blithely special accounts wa"
738,208,4-NOT SPECIFIED,ly even foxes. furiously regular accounts cajole ca
739,4,5-LOW, against the slyly ironic packages nag slyly ironic
740,436,3-MEDIUM,"courts haggle furiously across the final, regul"
741,1045,2-HIGH,ic instructions. slyly express instructions solv
742,1030,5-LOW,equests? slyly ironic dolphins boost carefully above the blithely
743,784,4-NOT SPECIFIED,eans. furiously ironic deposits sleep carefully carefully qui
768,971,3-MEDIUM,jole slyly ironic packages. slyly even idea
769,800,3-MEDIUM,ggle furiously. ironic packages haggle slyly. bold platelets affix s
770,320,5-LOW,heodolites. furiously special pinto beans cajole pac
771,446,1-URGENT,s. furiously final instructions across the deposit
772,965,2-HIGH,s boost blithely fluffily idle ideas? fluffily even pin
773,1319,3-MEDIUM,"tions are quickly accounts. accounts use bold, even pinto beans. gifts ag"
774,796,1-URGENT,tealthily even depths
775,1333,1-URGENT,kly express requests. fluffily silent accounts poach furiously
800,560,2-HIGH,y alongside of the pending packages? final platelets nag fluffily carefu
801,1178,1-URGENT,iously from the furiously enticing reques
802,1367,1-URGENT,"posits. ironic, pending requests cajole. even theodol"
803,145,5-LOW,ic instructions. even deposits haggle furiously at the deposits-- regular de
804,500,3-MEDIUM,s. blithely final foxes are about the packag
805,1261,4-NOT SPECIFIED,y according to the fluffily 
806,1309,2-HIGH, the ironic packages wake carefully fina
807,1436,3-MEDIUM,refully special tithes. blithely regular accoun
832,290,5-LOW,xes. bravely regular packages sleep up the furiously bold accou
833,553,3-MEDIUM,ts haggle quickly across the slyl
834,428,3-MEDIUM, sleep. quickly even foxes are boldly. slyly express requests use slyly
835,649,4-NOT SPECIFIED,s about the carefully special foxes haggle quickly about the
836,688,4-NOT SPECIFIED,ely bold excuses sleep regular ideas. furiously unusual ideas wake furiou
837,1159,4-NOT SPECIFIED,"kages sleep slyly above the ironic, final orbits"
838,164,5-LOW, slyly around the slyly even
839,280,1-URGENT,the carefully even platelets. furiously unusual fo
864,1378,1-URGENT,"ly after the slyly regular deposits. express, regular asymptotes nag ca"
865,26,3-MEDIUM,. special packages wake after the carefully final accounts. express pinto be
866,383,3-MEDIUM,"ins after the even, even accounts nod blithel"
867,253,3-MEDIUM,"pades nag quickly final, "
868,1036,4-NOT SPECIFIED,onic theodolites print carefully. blithely dogge
869,1348,2-HIGH,ar sheaves are slowly. slyly even attainments boost theodolites. furiously
870,322,4-NOT SPECIFIED,"blithely ironic ideas nod. sly, r"
871,145,5-LOW,oss the ironic theodolites.
896,17,1-URGENT,inal packages eat blithely according to the warhorses. furiously quiet de
897,490,1-URGENT, wake quickly against 
898,536,2-HIGH,. unusual pinto beans haggle quickly across 
899,1085,5-LOW,rts engage carefully final theodolites.
900,460,4-NOT SPECIFIED, fluffily express deposits nag furiousl
901,113,4-NOT SPECIFIED,"lyly even foxes are furious, silent requests. requests about the quickly "
902,86,4-NOT SPECIFIED,yly final requests over the furiously regula
903,109,4-NOT SPECIFIED,e slyly about the final pl
928,658,5-LOW,ithely express pinto beans. 
929,827,2-HIGH,its. furiously even foxes affix carefully finally silent accounts. express req
930,1310,1-URGENT," accounts nag slyly. ironic, ironic accounts wake blithel"
931,1030,1-URGENT,"ss packages haggle furiously express, regular deposits. even, e"
932,404,2-HIGH,ly express instructions boost furiously reg
933,955,4-NOT SPECIFIED,ial courts wake permanently against the furiously regular ideas. unusual 
934,514,1-URGENT,"ts integrate carefully. sly, regular deposits af"
935,493,5-LOW,iously final deposits cajole. blithely even packages 
960,347,3-MEDIUM,regular accounts. requests
961,551,4-NOT SPECIFIED,ons nag furiously among the quickl
962,353,5-LOW,ments nag deposits. fluffily ironic a
963,253,3-MEDIUM,uses haggle carefully. slyly even dependencies after the packages ha
964,752,3-MEDIUM,"print blithely ironic, careful theodolit"
965,685,5-LOW,iously special packages. slyly pending requests are carefully 
966,134,2-HIGH,special deposits. furious
967,1099,3-MEDIUM,excuses engage quickly bold dep
992,538,3-MEDIUM,ts. regular pinto beans thrash carefully sl
993,793,3-MEDIUM,quickly express accounts among the furiously bol
994,13,5-LOW,ole. slyly bold excuses nag caref
995,1160,3-MEDIUM,deas. blithely final deposits play. express accounts wake blithely caref
996,710,1-URGENT,arefully final packages into the slyly final requests affix blit
997,1087,2-HIGH,ly express depths. furiously final requests haggle furiously. carefu
998,317,4-NOT SPECIFIED,"ronic dolphins. ironic, bold ideas haggle furiously furious"
999,602,5-LOW,pitaphs sleep. regular accounts use. f
1024,35,5-LOW," blithely. even, express theodolites cajole slyly across"
1025,1027,2-HIGH,ross the slyly final pa
1026,712,5-LOW,s wake blithely. special acco
1027,1280,3-MEDIUM,equests cajole. slyly final pinto bean
1028,685,2-HIGH,"ts are. final, silent deposits are among the fl"
1029,1288,2-HIGH,quests sleep. slyly even foxes wake quickly final theodolites. clo
1030,1340,5-LOW,ully ironic accounts sleep carefully. requests are carefully alongside of the 
1031,37,3-MEDIUM,s; ironic theodolites along the carefully ex
1056,275,1-URGENT,"t, even deposits hang about the slyly special i"
1057,760,1-URGENT,"cuses dazzle carefully careful, ironic pinto beans. carefully even theod"
1058,530,3-MEDIUM,kly pending courts haggle. blithely regular sheaves integrate carefully fi
1059,1268,1-URGENT,en accounts. carefully bold packages cajole daringly special depende
1060,1397,3-MEDIUM,l platelets sleep quickly slyly special requests. furiously 
1061,1027,5-LOW,uests sleep at the packages. fur
1062,1051,1-URGENT,eposits use blithely 
1063,370,2-HIGH,deposits nag quickly regular deposits. quickl
1088,1469,5-LOW,counts are blithely. platelets print. carefully 
1089,481,4-NOT SPECIFIED,ns haggle ruthlessly. even requests are quickly abov
1090,172,2-HIGH, furiously regular platelets haggle along the slyly unusual foxes! 
1091,829,1-URGENT, even pinto beans haggle quickly alongside of the eve
1092,1232,3-MEDIUM,re quickly along the blithe
1093,1007,4-NOT SPECIFIED, after the carefully ironic requests. carefully ironic packages wake fluffil
1094,1438,3-MEDIUM,"beans affix furiously about the pending, even deposits. finally pendi"
1095,1433,3-MEDIUM,sly bold requests cajole carefully according to
1120,1391,3-MEDIUM,lly special requests. slyly pending platelets are quickly pending requ
1121,281,3-MEDIUM,r escapades. deposits above the fluffily bold requests hag
1122,1196,1-URGENT,uffily carefully final theodolites. furiously express packages affix
1123,715,3-MEDIUM,uriously pending requests. slyly regular instruction
1124,796,5-LOW,regular pinto beans along the fluffily silent packages
1125,242,2-HIGH,ithely final requests. i
1126,1433,4-NOT SPECIFIED,d slyly regular ideas: special ideas believe slyly. slyly ironic sheaves w
1127,575,4-NOT SPECIFIED,"usly silent, regular pinto beans. blithely express requests boos"
1152,490,4-NOT SPECIFIED,equests. deposits ab
1153,1196,5-LOW, across the pending deposi
1154,352,1-URGENT,old asymptotes are special requests. blithely even deposits sleep furiously
1155,1498,2-HIGH,"c deposits haggle among the ironic, even requests. carefully ironic sheaves n"
1156,1318,1-URGENT, blithely ironic dolphins. furiously pendi
1157,968,4-NOT SPECIFIED,out the regular excuses boost carefully against the furio
1158,1414,2-HIGH,integrate slyly furiously ironic deposit
1159,685,3-MEDIUM,ts may sleep. requests according to the
1184,886,5-LOW,iously even packages haggle fluffily care
1185,736,5-LOW, even escapades are. package
1186,589,4-NOT SPECIFIED,ingly regular pinto beans: instructi
1187,1337,3-MEDIUM,s after the furiously final deposits boost slyly under the
1188,199,2-HIGH,ully ironic deposits. slyl
1189,445,1-URGENT,f the even accounts. courts print blithely ironic accounts. sile
1190,121,5-LOW,ccounts above the foxes integrate carefully after the 
1191,1103,3-MEDIUM,uests nag furiously. carefully even requests
1216,1220,5-LOW,nal foxes around the e
1217,64,4-NOT SPECIFIED, foxes nag quickly. ironic excuses nod. blithely pending
1218,83,4-NOT SPECIFIED,"s cajole. special, silent deposits about the theo"
1219,271,3-MEDIUM,od carefully. slyly final dependencies across the even fray
1220,485,1-URGENT,inal theodolites wake. fluffily ironic asymptotes cajol
1221,134,4-NOT SPECIFIED," detect against the silent, even deposits. carefully ironic"
1222,98,3-MEDIUM,theodolites use quickly even accounts. carefully final asympto
1223,91,4-NOT SPECIFIED,posits was blithely fr
1248,472,1-URGENT,t the carefully regular dugouts. s
1249,1498,1-URGENT,al ideas sleep above the pending pin
1250,359,4-NOT SPECIFIED,ts after the fluffily pending instructions use slyly about the s
1251,379,1-URGENT,", brave sauternes. deposits boost fluffily."
1252,1499,5-LOW,ng the slyly regular excuses. special courts nag furiously blithely e
1253,1145,1-URGENT, requests sleep furiously even foxes. ruthless packag
1254,698,1-URGENT, pinto beans. carefully regular request
1255,1217,4-NOT SPECIFIED,ct slyly regular accounts. quick
1280,956,5-LOW,posits thrash quickly after the theodolites. furiously iro
1281,611,1-URGENT,counts. carefully pending accounts eat 
1282,1160,4-NOT SPECIFIED,he quickly special packages. furiously final re
1283,1165,4-NOT SPECIFIED, pinto beans boost slyly ac
1284,1340,2-HIGH,s. blithely silent deposits s
1285,104,1-URGENT,cial deposits cajole after the ironic requests. p
1286,1087,4-NOT SPECIFIED, deposits use carefully from the excuses. slyly bold p
1287,173,2-HIGH,ly ironic dolphins integrate furiously among the final packages. st
1312,1111,3-MEDIUM,"n, express accounts across the ironic"
1313,1477,1-URGENT,ld accounts. regular deposits cajole. ironically pending theodolites use car
1314,1424,3-MEDIUM,ickly blithe packages nod ideas. furiously bold braids boost around the car
1315,215,5-LOW,final theodolites alongside of the carefu
1316,160,1-URGENT,"ully bold theodolites? pending, bold pin"
1317,991,2-HIGH,sts. furiously special deposits lose fur
1318,1279,3-MEDIUM,"s hang bold requests. pending, re"
1319,313,2-HIGH,y across the ruthlessly ironic accounts. unusu
1344,170,5-LOW,"omise close, silent requests. pending theodolites boost pending "
1345,943,5-LOW, regular tithes. quickly fluffy de
1346,748,2-HIGH,ges sleep quickly-- even pint
1347,403,5-LOW,he furiously even foxes use carefully express req
1348,175,5-LOW,tly. quickly even deposi
1349,637,1-URGENT,"yly! blithely special theodolites cajole. unusual, reg"
1350,508,1-URGENT,iously about the blithely special a
1351,1060,1-URGENT," cajole. regular, special re"
1376,461,4-NOT SPECIFIED,"der furiously final, final frets. carefull"
1377,199,4-NOT SPECIFIED,lly across the blithely express accounts. ironic excuses promise carefully de
1378,196,4-NOT SPECIFIED, furiously even tithes cajole slyly among the quick
1379,643,5-LOW,y deposits are caref
1380,1363,3-MEDIUM,"inal deposits wake slyly daringly even requests. bold, even foxe"
1381,1264,3-MEDIUM,"even requests breach after the bold, ironic instructions. slyly even"
1382,1324,5-LOW,fully final packages sl
1383,1196,2-HIGH,ts. express requests sleep blithel
1408,539,4-NOT SPECIFIED,t the quickly final asymptotes. unusual
1409,1429,4-NOT SPECIFIED,"ructions. furiously unusual excuses are regular, unusual theodolites. fin"
1410,1123,5-LOW,iously along the bravely regular dolphins. pinto beans cajole furiously sp
1411,946,2-HIGH,s. furiously special excuses across the pending pinto beans haggle sp
1412,529,4-NOT SPECIFIED,uffily daring theodolit
1413,907,3-MEDIUM,", ironic instructions. carefully even packages dazzle"
1414,763,1-URGENT,ccounts. ironic foxes haggle car
1415,787,4-NOT SPECIFIED,rays. blithely final ideas affix quickl
1440,979,5-LOW, pending requests. closely s
1441,1219,4-NOT SPECIFIED,ter the excuses. ironic dependencies m
1442,1106,4-NOT SPECIFIED,nal pinto beans. slyly ironic ideas cajol
1443,439,5-LOW,x blithely against the carefully final somas. even asymptotes are. quickly spe
1444,1333,3-MEDIUM,ove the bold accounts cajole fluffily about
1445,1136,3-MEDIUM,even packages wake fluffily 
1446,401,5-LOW,lly regular notornis above the requests sleep final accounts! 
1447,901,2-HIGH,"inly against the blithely pending excuses. regular, pe"
1472,1499,5-LOW,y special dolphins around the final dependencies wake quick
1473,923,3-MEDIUM,furiously close accoun
1474,691,1-URGENT,detect quickly above the carefully even 
1475,49,2-HIGH,cally final packages boost. blithely ironic packa
1476,1447,2-HIGH,ding accounts hinder alongside of the quickly pending requests. fluf
1477,755,5-LOW,ly bold foxes. final ideas would cajo
1478,499,2-HIGH,lessly. carefully express
1479,146,4-NOT SPECIFIED,he furiously even foxes. thinly bold deposits
1504,19,3-MEDIUM,", brave deposits. bold de"
1505,352,2-HIGH,s. slyly ironic packages cajole. carefully regular packages haggle 
1506,1462,3-MEDIUM, dependencies. accounts affix blithely slowly unusual deposits. slyly regular 
1507,1205,3-MEDIUM,"stealthy, ironic de"
1508,1013,5-LOW, after the furiously regular pinto beans hang slyly quickly ironi
1509,625,5-LOW,the regular ideas. regul
1510,523,5-LOW,ld carefully. furiously final asymptotes haggle furiously
1511,785,4-NOT SPECIFIED,ts above the depend
1536,932,3-MEDIUM,ges are! furiously final deposits cajole iron
1537,1076,4-NOT SPECIFIED,"g to the even deposits. ironic, final packages "
1538,290,4-NOT SPECIFIED, instructions. regular theod
1539,1118,5-LOW,nstructions boost pa
1540,142,2-HIGH,r ideas hinder blithe
1541,940,1-URGENT,y. slyly ironic warhorses around the furiously regul
1542,1427,3-MEDIUM,t the furiously close deposits do was f
1543,503,1-URGENT,unts. furiously pend
1568,167,4-NOT SPECIFIED,d notornis. carefully 
1569,1036,5-LOW,orbits. fluffily even decoys serve blithely. furiously furious realms nag acro
1570,1223,1-URGENT,pinto beans haggle furiousl
1571,1027,2-HIGH,ously furiously bold warthogs. slyly ironic instructions are quickly a
1572,104,2-HIGH,fluffily ironic accounts haggle blithely final platelets! slyly regular foxes
1573,1480,2-HIGH,"ess, ironic deposits use along the carefu"
1574,1334,3-MEDIUM, ideas hinder after the carefully unusual 
1575,1447,3-MEDIUM,. furiously regular dep
1600,926,3-MEDIUM,"tions cajole quietly above the regular, silent requests. slyly fin"
1601,524,5-LOW,ent deposits are ca
1602,10,5-LOW,deposits. busily silent instructions haggle furiously. fin
1603,13,4-NOT SPECIFIED,s. slyly silent deposits boo
1604,1123,5-LOW,lithely silent waters. blithely unusual packages alongside 
1605,577,4-NOT SPECIFIED,"sleep furiously? ruthless, even pinto beans "
1606,530,4-NOT SPECIFIED,r requests. quickly even platelets breach before the ironically
1607,1493,2-HIGH," bold, pending foxes haggle. slyly silent "
1632,659,3-MEDIUM,onic requests are accounts. bold a
1633,143,2-HIGH,y silent accounts sl
1634,689,1-URGENT,arefully blithely ironic requests. slyly unusual instructions alongside
1635,38,3-MEDIUM,s. slyly ironic requests affix slyly 
1636,787,3-MEDIUM,ding requests. slyly ironic courts wake quickl
1637,728,4-NOT SPECIFIED, final accounts. blithely silent ideas cajole bravely. carefully express 
1638,1390,2-HIGH,he fluffily regular asymp
1639,44,4-NOT SPECIFIED,haggle furiously. final requests detect furious
1664,640,1-URGENT,y quickly even asymptotes. furiously regular packages haggle quickly fin
1665,757,2-HIGH,ly regular packages are fluffily even ideas. fluffily final
1666,941,1-URGENT,"ffily pending dependencies wake fluffily. pending, final accounts "
1667,46,2-HIGH,e accounts. slyly express accounts must are a
1668,1415,4-NOT SPECIFIED,eodolites. carefully dogged dolphins haggle q
1669,19,3-MEDIUM,er ironic requests detect furiously blithely sp
1670,245,2-HIGH,unusual dependencies. furiously special platelets main
1671,343,4-NOT SPECIFIED,ly. slyly pending requests was above the 
1696,35,4-NOT SPECIFIED,bravely bold accounts above the quickly bold
1697,758,1-URGENT,o x-ray blithely. pl
1698,395,2-HIGH,slyly. carefully express deposit
1699,835,1-URGENT,jole blithely. furiously un
1700,649,3-MEDIUM,ely final dolphins wake sometimes above the quietly regular deposits. fur
1701,1285,2-HIGH,"furiously. regular, close theodoli"
1702,655,2-HIGH,around the carefully final deposits cajole carefully according to the b
1703,1334,3-MEDIUM," pinto beans poach. bold courts boost. regular, express deposits at"
1728,631,2-HIGH,beans. slyly regular instructions sleep! slyly final packages
1729,1312,2-HIGH,pending foxes wake. accounts
1730,1234,5-LOW, fluffily pending deposits serve. furiously even requests wake furiou
1731,1279,1-URGENT,"lithely regular, final instructions. ironic, express packages are above"
1732,1459,5-LOW,inal requests integrate dolph
1733,1475,2-HIGH,e carefully according to the accounts. furiously pending instructions sleep
1734,64,2-HIGH, final ideas haggle. blithely quick foxes sleep busily bold ideas. i
1735,206,1-URGENT,ully idle requests wake qu
1760,1142,5-LOW, deposits. busily regular deposits wake blithely along the furiously even re
1761,1049,2-HIGH,efully slyly bold frets. packages boost b
1762,767,4-NOT SPECIFIED,ly ironic packages. furi
1763,1205,2-HIGH,es. bold dependencies haggle furiously along 
