src_block,_2010source_eui_kbtu_ft,_2014_source_eui_kbtu_ft,building,LOT,BRGH_CD,ghg_emissions_intensity,bin,agency
7894.0,105.6,117.2,R034,1899-12-31,5.0,6.5,5088090.0,DOE
2215.0,117.1,112,"X475 within (X475, X476, X960)",1900-03-20,2.0,5.4,1064532.0,DOE
1845.0,85.5,96,K258,1899-12-31,3.0,4.8,3053075.0,DOE
1894.0,248.9,160.4,Hazmat Citywide Field Operations,1900-02-06,3.0,5.7,3054607.0,DEP
10917.0,182.7,179.6,Charles R Drew Early Learning Center (Leased),1900-01-28,4.0,4.9,4233644.0,ACS
2759.0,80.7,52,K132,1899-12-31,3.0,2.7,3068728.0,DOE
2722.0,212.3,181.3,Hunt's Point Branch Library,1900-03-03,2.0,7.2,2005755.0,NYPL
1548.0,169.4,Not Available,K028 (closed),1900-01-18,3.0,0,3042090.0,DOE
10104.0,33.1,290.3,Academic Core,1900-02-11,4.0,9.2,4215630.0,CUNY-S
3189.0,16.2,13.8,Parking Garage,1900-01-08,2.0,0.4,2014125.0,DOT
3081.0,149.3,127.1,X057,1900-01-25,2.0,5.4,2012359.0,DOE
1060.0,202,192.6,Columbus Branch Library,1900-03-03,1.0,6.6,1026706.0,NYPL
8760.0,293.6,302.7,West Academic Cluster - Wing E,1900-02-28,3.0,10.2,3347724.0,CUNY-C
1423.0,84.2,97.1,Q227,1899-12-31,4.0,3.5,4034891.0,DOE
86.0,183.5,185.9,Midway Building,1920-07-14,3.0,5.2,3000176.0,CUNY-S
1111.0,2718.5,2170.2,Central Park Lasker Rink and Pool,1899-12-31,1.0,68,1083839.0,DPR
3696.0,65.2,67.4,R002,1900-04-09,5.0,3.2,5053571.0,DOE
2525.0,1101.8,654.9,Newtown Creek WPCP Campus: Skimmings Building,1899-12-31,3.0,18.3,3398215.0,DEP
3691.0,Not Available,316.6,Engine Co. 332 & Ladder Co. 175,1899-12-31,3.0,10.9,3083579.0,FDNY
3023.0,138.4,122.6,Bushwick Improvement Society Inc. (Leased),1900-01-31,3.0,3.2,3070819.0,ACS
4651.0,146.1,122.2,Williamsbridge NAACP Early EEC (Leased),1900-02-12,2.0,3.4,2057523.0,ACS
3343.0,268.5,381.1,Engine Co. 277 and Ladder Co. 112,1900-01-28,3.0,13,3076461.0,FDNY
2605.0,344.9,429,Rikers Island GMDC Campus: Rikers Island GMDC Campus: West Sprungs,1900-02-08,2.0,16.5,0.0,DOC
12261.0,94.8,121.3,Q400,1899-12-31,4.0,6.9,4265978.0,DOE
175.0,412.3,540.5,Brooklyn House of Detention #129,1899-12-31,3.0,20.5,3000605.0,DOC
1868.0,186.1,178.8,K853,1900-01-27,3.0,4.7,3323075.0,DOE
8760.0,293.6,302.3,Leon M. Goldstein Performing Arts Center,1900-02-28,3.0,10.2,3226937.0,CUNY-C
1235.0,183.1,241.9,K867,1900-02-05,3.0,6.4,3031296.0,DOE
3106.0,107.2,216.1,Moore Street Market (Leased),1900-01-19,3.0,7.3,3071521.0,EDC
2071.0,45.7,297,Engine Co. 80 and Ladder Co. 23,1900-01-26,1.0,10.9,1075504.0,FDNY
2215.0,92.5,94.7,M918,1902-04-10,1.0,3.2,1064704.0,DOE
3437.0,89.8,92.1,"Q081 within (Q081, Q917)",1899-12-31,4.0,3.7,4082076.0,DOE
1985.0,122,97.6,Q721,1899-12-31,4.0,3.4,4048820.0,DOE
1971.0,102.9,112.4,M161,1899-12-31,1.0,5.4,1059645.0,DOE
8760.0,293.6,302.3,Robert J. Kibbee Library and Media Center,1900-02-28,3.0,10.2,3348024.0,CUNY-C
2803.0,Not Available,193.9,Q585,1899-12-31,4.0,5.9,4062864.0,DOE
2578.0,105.6,98.8,X155,1900-01-26,2.0,5.6,2003910.0,DOE
311.0,231.7,254.9,Seward Park Branch Library,1900-01-30,1.0,8.4,1004053.0,NYPL
794.0,93.9,84.6,Q084,1900-01-16,4.0,3.3,4015334.0,DOE
3583.0,93.5,66.8,Fannie Barnes (Urban Transitional Housing),1900-01-05,3.0,3.1,3082035.0,DHS
319.0,954.8,1222.7,Staten Island CO,1899-12-31,5.0,32.3,5112427.0,FDNY
545.0,112.4,106.9,R014,1900-04-19,5.0,4.1,5014176.0,DOE
3356.0,98,102.9,X094,1900-02-04,2.0,4.2,2018628.0,DOE
2634.0,158.4,135.8,"X400 within (X400, X961)",1899-12-31,2.0,5.3,2004526.0,DOE
6927.0,97,122.7,"Q723 within (Q173, Q723)",1900-01-21,4.0,7,4149690.0,DOE
1600.0,210.6,236.9,Q744,1900-03-01,4.0,7.3,4437166.0,DOE
3491.0,245.2,325,Ridgewood Community Library,1899-12-31,4.0,10.9,4083512.0,QPL
10944.0,84.4,97.7,Q192,1900-10-27,4.0,4.3,4234318.0,DOE
5774.0,87.9,103.1,K176,1899-12-31,3.0,4.5,3143190.0,DOE
397.0,72.1,82.8,K804,1900-01-10,3.0,3.1,3006356.0,DOE
1111.0,282.6,303.8,CPC 79th St Maintenance Yard,1899-12-31,1.0,9.4,1083837.0,DPR
2306.0,226.6,101.9,"Engine Co. 60 and Ladder Co. 17, Batt. 14",1900-02-20,2.0,3.1,2000656.0,FDNY
1229.0,120.6,97.8,K289,1900-01-27,3.0,5.1,3031050.0,DOE
215.0,146.6,171.2,R-2 Water and Sewer Maintenance Yard,1900-02-14,5.0,6,5106681.0,DEP
1607.0,124.3,82.4,"Q819 within (Q019, Q914, Q819)",1899-12-31,4.0,3,4437176.0,DOE
2139.0,82.3,139.1,J Hood Wright Park Recreation Center,1901-02-07,1.0,4.8,1063445.0,DPR
1747.0,Not Available,338.5,Henry J. Carter Hospital,1900-02-03,1.0,10.9,1077376.0,HHC
1640.0,168.4,134.5,M057,1900-05-18,1.0,4.9,1083184.0,DOE
3242.0,95.5,100.2,K865,1899-12-31,3.0,4.2,3073761.0,DOE
4461.0,177.3,175.7,701 Euclid Ave Office,1899-12-31,3.0,5.5,3098536.0,HPD
2692.0,125.4,118.1,X099,1900-01-13,2.0,5.2,2005276.0,DOE
634.0,269.1,204.6,Q798,1900-02-04,4.0,6.5,4009499.0,DOE
3802.0,98.6,93.9,K174,1900-01-14,3.0,4.2,3084617.0,DOE
4278.0,117.9,125.5,K218,1899-12-31,3.0,5.1,3095977.0,DOE
2172.0,107,110.1,M218,1900-01-15,1.0,5.1,1076756.0,DOE
2388.0,234.7,259.2,"Engine Co. 50 and Ladder Co. 19, Batt. 26",1900-02-13,2.0,8.9,2001584.0,FDNY
11151.0,122.8,126.7,"Q034 within (Q034, Q834)",1900-03-21,4.0,5.2,4240503.0,DOE
12973.0,165.4,173.6,Q270,1899-12-31,4.0,6,4529511.0,DOE
8712.0,148.4,140.3,K225,1900-02-24,3.0,6.2,3245498.0,DOE
2347.0,246.8,232.4,Queens Borough Repair Shop,1900-02-23,4.0,7.7,4054170.0,DSNY
6769.0,61.4,105.5,K197,1900-01-17,3.0,4.8,3182169.0,DOE
3222.0,95.3,123.2,Havemeyer Lab,1900-03-02,2.0,3.3,2100256.0,CUNY-C
7677.0,82.8,78.5,Q213,1899-12-31,4.0,4.1,4163698.0,DOE
7281.0,115.3,129.1,K100,1899-12-31,3.0,7.6,3196595.0,DOE
21.0,Not Available,209.2,Q312,1900-01-29,4.0,7,4542629.0,DOE
1101.0,149.7,118.8,K107,1899-12-31,3.0,4.3,3026517.0,DOE
4916.0,152.2,152.7,"X937 within (X111, X937)",1899-12-31,2.0,7.2,2065992.0,DOE
4074.0,119.9,125.9,DOT Bronx Borough Commissioners Office,1899-12-31,2.0,4.3,2044091.0,DOT
1653.0,242.9,223.7,R861,1899-12-31,5.0,6.7,5032481.0,DOE
2802.0,126.1,124.4,Q058,1900-04-03,4.0,4.2,4062861.0,DOE
2040.0,313.9,418.5,English / Modern Languages,1899-12-31,5.0,11.1,5107303.0,CUNY-S
5653.0,115.8,146.4,"K160 within (K160, K521)",1900-01-20,3.0,5,3138276.0,DOE
7006.0,101.4,128.5,K188,1899-12-31,3.0,6.8,3188726.0,DOE
3222.0,95.3,122.6,Meister Hall,1901-09-11,2.0,3.3,2104900.0,CUNY-C
2306.0,97.4,122.2,X149,1900-02-22,2.0,5.9,2097038.0,DOE
1933.0,219.3,235.1,Precinct,1900-04-30,3.0,9.2,3055379.0,NYPD
8760.0,293.6,302.2,Arts and Sciences Center,1900-02-28,3.0,10.2,3326934.0,CUNY-C
9799.0,227.4,241.1,Precinct,1900-01-26,4.0,8.5,4525758.0,NYPD
2032.0,193.6,208.5,Lutheran Social Service of NY #13 (Leased),1900-01-16,1.0,5.5,1060503.0,ACS
15819.0,107.7,194,Q907,1900-05-27,4.0,9.8,4531136.0,DOE
2932.0,87.1,80.6,X110,1899-12-31,2.0,4.2,2009718.0,DOE
3270.0,128.4,133.7,Q101,1899-12-31,4.0,5.8,4078312.0,DOE
2126.0,103.8,95.8,Q157,1900-01-13,4.0,3.7,4442846.0,DOE
2847.0,155.3,145.7,X170,1900-02-09,2.0,4.6,2103870.0,DOE
2918.0,284.2,293.2,Tremont Branch Library,1899-12-31,2.0,10.4,2009573.0,NYPL
534.0,113.2,125.4,R722,1900-03-15,5.0,5.5,5013955.0,DOE
2344.0,2464.3,522.1,Building Maintenance/Quartermaster,1900-01-29,4.0,20,4054168.0,NYPD
3434.0,48.8,71.4,Q848,1899-12-31,4.0,3.2,4081987.0,DOE
2945.0,263.1,235.8,Tremont Health Center,1900-01-17,2.0,8,2009891.0,DOHMH
3089.0,204,207.7,Belmont Community Day Care Center (Leased),1900-01-23,2.0,5.5,2012517.0,ACS
8018.0,78.3,77.3,K068,1899-12-31,3.0,4,3224947.0,DOE
950.0,97.1,96,K282,1900-01-23,3.0,5,3019597.0,DOE
1008.0,142.6,180.5,New York City Center Campus: New York City Center,1900-01-14,1.0,6.6,1023391.0,CIG
9774.0,78.1,92.8,"Q505 within (Q505, Q086, Q506)",1899-12-31,4.0,4.5,4448767.0,DOE
211.0,84.7,149.6,K008,1899-12-31,3.0,5.1,3001540.0,DOE
696.0,93.3,92.1,"K231 within (K371, K231)",1900-01-30,3.0,4.9,3337060.0,DOE
4346.0,131.9,199.4,Queens 7/11 Garage and Boro Office,1900-03-15,4.0,8.6,4802407.0,DSNY
2696.0,106.9,164.5,Lutheran Social Services of NY (Leased),1900-01-29,2.0,4.3,2005346.0,ACS
2138.0,615.7,468.1,Washington Heights Health Center,1900-01-23,1.0,20.2,1063379.0,DOHMH
3247.0,60.7,107.8,"X868 within (X086, X868)",1900-03-10,2.0,4.6,2100971.0,DOE
6858.0,363.6,403.6,Queens Hospital Center Campus: Center,1899-12-31,4.0,15.3,4442433.0,HHC
1120.0,293.2,218.6,William E. Macaulay Honors College,1900-01-08,1.0,7.1,1028237.0,CUNY-S
1396.0,240.3,262.7,Eastern Parkway Branch Library and Learning Center,1900-01-05,3.0,8.6,3037543.0,BPL
2605.0,344.9,359.2,Rikers Island AMKC Campus: Rikers Island AMKC Campus: AMKC Detention Facility,1900-02-08,2.0,14.6,2109476.0,DOC
12820.0,112.1,122.9,"Q176 within (Q176, Q992)",1899-12-31,4.0,6,4276382.0,DOE
1876.0,168.4,194.1,Regent Hotel Shelter,1900-01-19,1.0,8.6,1056586.0,DHS
11714.0,139,118,"Q226 within (Q226, Q923)",1900-04-09,4.0,4.7,4253607.0,DOE
644.0,174.5,483.9,Museum of the Moving Image,1899-12-31,4.0,16.6,4441089.0,CIG
76.0,166.8,143.1,Snug Harbor Campus: Bldg G/Newhouse Gallery,1900-07-18,5.0,5.1,5000000.0,CIG
3247.0,106.5,174.3,Old Gymnasium Building,1899-12-31,2.0,4.6,2097314.0,CUNY-S
2567.0,82,162.9,Jackson Family Residence,1900-01-12,2.0,6.2,2003811.0,DHS
9321.0,151.5,139,"Q944 within (Q475, Q944)",1899-12-31,4.0,7.2,4195688.0,DOE
941.0,141.1,149.3,K902,1900-02-18,3.0,5.6,3259250.0,DOE
5641.0,170.3,149.5,"X175 within (X175, X906)",1900-10-06,2.0,6.5,2082444.0,DOE
0.0,Not Available,55.9,Port Jervis WWTP,1899-12-30,6.0,2.7,0.0,DEP
295.0,246.9,211.8,FDNY Fleet Services (Leased),1900-02-13,4.0,8.8,4307187.0,FDNY
4353.0,94.4,104.8,K166,1900-02-18,3.0,5.4,3097675.0,DOE
497.0,256.1,263.8,"MICSA,APS Offices(Leased)",1899-12-31,5.0,8.8,5013236.0,HRA
2605.0,344.9,391.5,Rikers Island Powerhouse,1900-02-08,2.0,15.5,2116652.0,DOC
4791.0,178,165.1,Crown Heights Branch Library (Leased),1900-02-14,3.0,5.1,3106505.0,BPL
3137.0,123.2,108,K120,1900-01-25,3.0,4,3071806.0,DOE
5900.0,16.2,268.5,SI 3 District Garage; RBS,1901-05-14,5.0,7.6,5000000.0,DSNY
4126.0,114,130.3,K065,1900-02-15,3.0,4.7,3092063.0,DOE
2944.0,156.7,192.2,BWS Storehouse (GS1),1900-01-10,3.0,8.4,3070524.0,DEP
5850.0,210.1,198.4,"K977 within (K485, K977)",1900-01-29,3.0,7.5,3144482.0,DOE
3976.0,111,100,"Q129 within (Q129, Q924)",1899-12-31,4.0,3.8,4096774.0,DOE
308.0,60.6,70.1,R027,1899-12-31,5.0,4,5008403.0,DOE
1160.0,148.5,138.9,K813,1899-12-31,3.0,6.8,3028862.0,DOE
9540.0,99.3,117.7,"Q480 within (Q480, Q481, Q726)",1900-01-01,4.0,6.2,4202849.0,DOE
2763.0,92,136.6,X074,1900-10-05,2.0,5.8,2006566.0,DOE
4382.0,Not Available,133.1,College Point Tow Pound,1899-12-31,4.0,4.8,4000000.0,NYPD
2793.0,120.6,113.2,"X070 within (X070, X870)",1900-01-27,2.0,5.2,2007387.0,DOE
374.0,169.3,143.9,M015,1900-01-19,1.0,9.6,1004415.0,DOE
3544.0,100,119.1,K284,1900-05-14,3.0,5,3081460.0,DOE
1700.0,105.4,113.7,M146,1899-12-31,1.0,5.5,1052999.0,DOE
3098.0,190.3,148.3,Bushwick Branch Library,1900-01-18,3.0,5.3,3071470.0,BPL
4244.0,91,93.5,"R440 within (R440, R441)",1899-12-31,5.0,3.8,5107621.0,DOE
3227.0,131,118.1,Bushwick United Housing Development Fund Corp (Leased),1900-01-09,3.0,3.1,3073394.0,ACS
4140.0,337.6,257,Cypress Hills Senior Center (Leased),1900-01-12,3.0,6.8,3092631.0,DFTA
10021.0,146.3,149.7,Clifford Glover Day Care Center Inc. (Leased),1899-12-31,4.0,4,4214446.0,ACS
4077.0,69.2,154.8,Rose McCarthy Family Residence Campus: Rose McCarthy Family Residence,1900-01-27,3.0,6.5,3090430.0,DHS
1962.0,82.5,100.3,K011,1900-01-09,3.0,4.9,3332865.0,DOE
6065.0,237,186.9,K989,1900-02-11,3.0,6.6,3154215.0,DOE
8760.0,293.6,302.6,Health and Physical Education Center,1900-02-28,3.0,10.2,3347725.0,CUNY-C
5598.0,123.8,136.8,Borough Park Branch Library,1900-02-16,3.0,4.8,3135907.0,BPL
6507.0,29,145.2,Q515,1900-07-18,4.0,4.8,4538714.0,DOE
2269.0,268.2,279.4,Segundo Ruiz Belvis Diagnostic and Treatment Center,1900-01-20,2.0,10,2090354.0,HHC
1787.0,95.5,97.6,K025,1900-01-13,3.0,4.3,3049858.0,DOE
280.0,243.4,205.1,Chatham Square Branch Library,1900-02-12,1.0,6.6,1003425.0,NYPL
8276.0,70.5,86.2,Q221,1901-09-11,4.0,4.7,4171759.0,DOE
1331.0,172.2,155.5,Mosdoth Day Care Center (Leased),1900-01-08,3.0,4.2,3035444.0,ACS
8760.0,293.6,302.1,West Academic Cluster - Wing F,1900-02-28,3.0,10.2,3347724.0,CUNY-C
3834.0,157,173.8,X194,1900-03-10,2.0,6.2,2103494.0,DOE
3120.0,654.4,713.9,"Bronx Zoo Campus: Shelter Bldg (Elephant, Rhino, Tiger)",1900-01-19,2.0,36,2123911.0,CIG
7774.0,103.1,93.7,Q188,1900-06-13,4.0,3.8,4164350.0,DOE
6180.0,95.9,136.4,"K112 within (K112, K961)",1899-12-31,3.0,5.5,3157760.0,DOE
2454.0,68.3,70.3,Williamsburg Bridge Lighting and Shop,1899-12-31,3.0,2.5,3335964.0,DOT
3007.0,98.3,91.3,X084,1900-01-07,2.0,4.1,2010910.0,DOE
4336.0,121.3,381,New York Botanical Garden Campus: Operations Garage/Storage Building,1899-12-31,2.0,12.8,2115623.0,CIG
4812.0,337.1,296.6,Chief Medical Examiner,1899-12-31,3.0,7.8,3831514.0,OCME
926.0,78.2,75,M104,1899-12-31,1.0,2.9,1081671.0,DOE
1472.0,222.3,193.2,East New York Avenue SRO (Single Room Occupancy) Residence,1899-12-31,3.0,6.8,3319475.0,DHS
1595.0,53.1,102.3,"M208 within (M185, M208)",1900-01-14,1.0,5,1051410.0,DOE
2907.0,265.1,264.1,Precinct,1900-01-09,2.0,8.9,2009509.0,NYPD
9327.0,163.9,111.5,Q051,1900-01-25,4.0,4.4,4449704.0,DOE
1218.0,148.3,127.5,R044,1899-12-31,5.0,4.9,5027641.0,DOE
5107.0,213.1,234.6,Queens Botanical Garden Campus: Greenhouse / Maintenance Building,1900-07-18,4.0,8.2,4439682.0,CIG
6858.0,Not Available,271.6,Q695,1899-12-31,4.0,8.5,4442432.0,DOE
11942.0,112.4,123.7,"Q160 within (Q160, Q958)",1900-10-28,4.0,6.3,4258143.0,DOE
1689.0,105.9,107.2,M155,1900-01-04,1.0,6,1052986.0,DOE
1233.0,106,121.2,K138,1900-01-25,3.0,5.5,3330794.0,DOE
2605.0,344.9,391.3,Rikers Island Transportation Garage,1900-02-08,2.0,15.5,0.0,DOC
111.0,80.9,77.5,K287,1899-12-31,3.0,4,3000203.0,DOE
1957.0,251.1,202.9,Mott Hall - D. O. E.,1899-12-31,1.0,5.5,1084067.0,CUNY-S
3718.0,85.6,90.3,X123,1899-12-31,2.0,5.1,2087014.0,DOE
7084.0,115.5,115.3,K228,1899-12-31,3.0,4.7,3190273.0,DOE
6517.0,229,223.2,Paul Klapper Hall,1899-12-31,4.0,7.5,4439911.0,CUNY-S
2873.0,101.1,95.8,X104,1900-01-26,2.0,3.9,2088263.0,DOE
139.0,419.9,248.4,Brooklyn Borough Hall,1899-12-31,3.0,7.7,3000256.0,DCAS
1925.0,106,106,M081,1900-01-18,1.0,5.7,1058447.0,DOE
2683.0,140.2,130.2,X062,1900-03-05,2.0,7.5,2005089.0,DOE
2091.0,99.4,122.9,K020,1900-01-02,3.0,7.1,3058531.0,DOE
6038.0,94.6,99.3,Q159,1900-01-12,4.0,4.4,4134525.0,DOE
2670.0,132.3,125.2,K610,1899-12-31,3.0,5,3066698.0,DOE
3520.0,119,102.7,"K396 within (K327, K396)",1900-01-07,3.0,5.2,3081032.0,DOE
9756.0,220.1,248.1,Jamaica Health Center Main,1900-01-05,4.0,9.1,4208836.0,DOHMH
1722.0,217.6,228.8,Harlem Branch Library,1900-01-29,1.0,7.9,1053460.0,NYPL
2861.0,160.7,123.2,Babove Worldwide Institute Inc.,1900-05-08,2.0,4.3,2109470.0,ACS
3272.0,121.3,381,New York Botanical Garden Campus: Garden Cafe & Terrace Room,1899-12-31,2.0,12.8,2113012.0,CIG
142.0,251.9,408.2,Chambers St. Bldg (Main Campus),1900-02-18,1.0,15.4,1066406.0,CUNY-C
4015.0,104.2,94.1,K158,1899-12-31,3.0,4.1,3089176.0,DOE
2284.0,114.5,110.3,"Q125 within (Q125, Q825, Q947)",1900-01-05,4.0,4.1,4052874.0,DOE
6640.0,107.5,109.5,K238,1900-01-12,3.0,4.5,3176229.0,DOE
2913.0,213.4,207.8,X970,1899-12-31,2.0,6.1,2009555.0,DOE
1482.0,267.9,250.2,K987,1899-12-31,3.0,8.6,3039676.0,DOE
4493.0,100.7,97.6,X144,1899-12-31,2.0,5.2,2053518.0,DOE
7065.0,161.2,154.4,YWCA of the City of New York (Leased),1899-12-31,3.0,4.9,3189617.0,ACS
7870.0,142.1,127.5,Q566,1900-03-12,4.0,4.2,4529899.0,DOE
4051.0,330.7,401.7,Precinct,1900-01-15,3.0,13.9,3089813.0,NYPD
1183.0,227.8,362.3,Brooklyn Botanical Garden Campus: Brooklyn Botanical Garden Palm House,1899-12-31,3.0,13.4,3337842.0,CIG
2572.0,276,166,Transitional Housing Office,1900-01-05,2.0,6.3,2091301.0,DHS
8698.0,832.8,580.2,New York Aquarium Campus: Sea Cliffs,1899-12-31,3.0,17.5,3115623.0,CIG
2902.0,138.8,134.6,X055,1899-12-31,2.0,5.5,2009463.0,DOE
489.0,94.9,109.9,DOT Sign Shop,1900-02-16,5.0,4.9,5013187.0,DOT
742.0,118.2,122.7,M440,1900-01-06,1.0,4.9,1013096.0,DOE
2040.0,313.9,209.2,Education Building,1899-12-31,5.0,5.5,5107304.0,CUNY-S
3498.0,152.8,182.9,Crossroads Juvenile Center,1900-01-07,3.0,6,3378202.0,ACS
3325.0,312,423.5,Precinct,1900-01-04,2.0,17.4,2017718.0,NYPD
2527.0,Not Available,284.5,X285,1900-02-26,2.0,9.3,2117349.0,DOE
2284.0,98.2,98.1,X040,1900-02-02,2.0,4.1,2000308.0,DOE
7490.0,303.5,310.1,Cafeteria / Student Union Building,1900-01-01,4.0,11.5,4862627.0,CUNY-C
2084.0,225.7,264.5,M093,1900-01-28,1.0,7.8,1087824.0,DOE
4648.0,119.7,121.5,K219,1899-12-31,3.0,5.5,3101168.0,DOE
9768.0,116.7,111.4,"Q595 within (Q595, Q969)",1900-01-21,4.0,3.9,4209031.0,DOE
4876.0,243.9,218.2,Precinct,1899-12-31,2.0,7.5,2065163.0,NYPD
15693.0,109.8,133,Q104,1899-12-31,4.0,7.7,4442313.0,DOE
6517.0,229,223.3,School of Music,1899-12-31,4.0,7.5,4467563.0,CUNY-S
998.0,91.1,74,K763,1899-12-31,3.0,4,3012840.0,DOE
3222.0,95.3,122.7,Community Hall,1900-03-02,2.0,3.3,2100240.0,CUNY-C
2885.0,Not Available,123.2,Barbara Kleinman Residence Campus: Barbara Kleinman Residence,1899-12-31,3.0,3.8,3338306.0,DHS
1117.0,579.7,574,Prospect Park Zoo,1899-12-31,3.0,15.3,3339261.0,DPR
1726.0,184.1,171.5,Episcopal Social Services of NY (Leased),1900-01-04,4.0,4.5,4042862.0,ACS
962.0,471.8,430.3,Bellevue Hospital Center Campus: Center,1900-04-09,1.0,16.4,1086515.0,HHC
2613.0,204.8,126,B-9 Yard (Leased),1899-12-31,3.0,4.8,3065473.0,DEP
1065.0,164.9,138.3,M834,1899-12-31,1.0,4.6,1026841.0,DOE
1472.0,211.4,207.6,Webster Branch Library,1900-01-27,1.0,7.5,1045991.0,NYPL
128.0,183.5,220.8,Pearl Bldg,1899-12-31,3.0,7,3335890.0,CUNY-S
5336.0,117.4,126.1,R055,1899-12-31,5.0,6.8,5069075.0,DOE
386.0,119.8,115.6,Catholic Charities Neighborhood Services Inc. (Leased),1900-01-06,4.0,3.8,4004679.0,ACS
1592.0,285.5,298.5,Precinct,1900-03-12,4.0,10.1,4445296.0,NYPD
12104.0,91.9,92.8,Q045,1899-12-31,4.0,4.1,4262725.0,DOE
16212.0,194.3,200.1,Engine Co. 268 and Ladder Co. 137,1900-01-16,4.0,7.5,4304442.0,FDNY
307.0,223.1,360.5,"Engine Co. 259 and Ladder Co. 128, Batt. 45",1900-01-28,4.0,11.7,4003673.0,FDNY
7490.0,303.5,306.2,W Building,1900-01-01,4.0,11.4,4458074.0,CUNY-C
4916.0,152.2,152.7,"X111 within (X111, X937)",1899-12-31,2.0,7.2,2065992.0,DOE
2655.0,109.2,91.7,X184,1900-01-29,2.0,3.7,2004690.0,DOE
10178.0,121.3,119.5,Q008,1899-12-31,4.0,5.9,4216655.0,DOE
