Thoroughfare,project_id,location_segment_id,ProjClass,StatFlag,oft_code,location_community_board
West Drive,M2017-64-04,23510.0,Intersection,,100726197180000000,164.0
207 Street,Q2015-13-19,39848.0,Intersection,,419240426170000000,413.0
Queens Boulevard,Q2018-06-02,81120.0,Intersection,,415490459990000000,406.0
Union Turnpike,Q2016-08-09,81037.0,Intersection,,458590465590000000,408.0
Java Place,Q2002-14-16,83408.0,Intersection,,435290451340000000,414.0
Queens Boulevard,Q2016-06-13,50271.0,Intersection,,414640459990000000,406.0
Major Avenue,S2014-02-19,83875.0,Intersection,,518510537550000000,502.0
Cooper Avenue,Q2013-05-70,30233.0,Intersection,,413490439690000000,405.0
Long Island Expressway,Q2007-08-06,58514.0,Intersection,,424740450290000000,408.0
Skillman Street,K2007-03-05,19560.0,Intersection,,341330377530000000,303.0
95 Street,Q2002-03-5,46948.0,Intersection,,407240418840000000,403.0
Dead End,Q2005-07-26,56685.0,Intersection,,423790441700000000,408.0
18 Street,K2015-07-03,69893.0,Intersection,,305780306930000000,307.0
Jerome Avenue,X2015-05-20,44216.0,Intersection,,226940242820000000,205.0
68 Street,Q2015-05-21,45352.0,Intersection,,411140414440000000,405.0
66 Street,Q2007-02-19,45357.0,Intersection,,410910413940000000,405.0
East 121 Street,M2006-11-04,42535.0,Intersection,,110110119370000000,111.0
Richmond Terrace,S2008-01-44,67213.0,Intersection,,518510545050000000,501.0
Little Neck Parkway,Q202413014,80952.0,Intersection,Ready for Milling,417290454120000000,413.0
Muller Avenue,S2021-01-17,6240.0,Intersection,,524025539688000000,501.0
64 Street,K2019-11-07,13504.0,Intersection,,306580309780000000,311.0
Spring Street,S2004-02-15,8166.0,Intersection,,518510548650000000,502.0
Eliot Avenue,Q2008-05-28,45842.0,Intersection,,416590443490000000,405.0
Utopia Parkway,Q2016-08-10,58596.0,Intersection,,450290465690000000,408.0
Coventry Road,K2010-17-16,26413.0,Intersection,,320960329900000000,317.0
West 20 Street,M202404012,21131.0,Intersection,Ready for Milling,110910134170000000,104.0
Furmanville Avenue,Q2011-05-28,46044.0,Intersection,,416890446330000000,405.0
West End Avenue,M2017-07-05,21619.0,Intersection,,134990144990000000,107.0
West 204 Street,M2019-12-11,44479.0,Intersection,,132690137630000000,112.0
Paerdegat 3 Street,K2021-18-09,25938.0,Intersection,Paving Completed,368942368947000000,318.0
Summit Street,K2017-06-29,14548.0,Intersection,,349630383230000000,306.0
West Houston Street,M2019-02-02,20399.0,Intersection,,110510145090000000,102.0
East Tremont Avenue,X2007-05-01,9046953.0,Intersection,,212550229620000000,205.0
Poyer Street,Q2008-04-02,45906.0,Intersection,,410890459490000000,404.0
Long Island Expressway,Q2014-11-08,58747.0,Intersection,,425240450290000000,408.0
Hylan Boulevard,S2009-03-41,5267.0,Intersection,,518510534100000000,503.0
Jewel Street,K2018-01-38,22336.0,Intersection,,324330353330000000,301.0
Belt Parkway,K2009-11-05,12623.0,Intersection,,316230377030000000,311.0
Gowanus Expressway,K2003-07-3,92046.0,Intersection,,305280344690 00000,
Marcy Avenue,K2016-03-04,19085.0,Intersection,,347030358730000000,303.0
Lenox Road,K2009-17-03,26454.0,Intersection,,338030355330000000,317.0
Queens Boulevard,Q2007-02-01,45392.0,Intersection,,413940459990000000,402.0
East 238 Street,X2006-12-14,54281.0,Intersection,,215020228770000000,212.0
Merrick Boulevard,Q2005-12-26,86143.0,Intersection,,453790455590000000,412.0
West 65 Street,M2015-07-01,21660.0,Intersection,,111710135070000000,107.0
Great Jones Street,M2004-02-1,20621.0,Intersection,,113610121705000000,102.0
194 Street,Q2006-11-8,59374.0,Intersection,,410290425600000000,411.0
83 Street,Q2004-05-3,32221.0,Intersection,,416240416990000000,405.0
Schenectady Avenue,K2006-17-5,26145.0,Intersection,,326430375430000000,317.0
Bend,M2008-12-03,99897.0,Intersection,,129690113113 00000,
New Lots Avenue,K2019-05-16,29643.0,Intersection,,339230364530000000,305.0
Astoria Boulevard,Q2013-01-08,41868.0,Intersection,,408740428790000000,401.0
Whitlock Avenue,X2002-02-7,9031734.0,Intersection,,215920277270000000,202.0
Body Of Water,Q2016-14-08,40707.0,Intersection,,435780462250000000,410.0
Qns Mdtwn Tunnel Exit,M2019-06-07,22554.0,Intersection,,110010197740000000,
Bend,Q2011-05-11,9039493.0,Intersection,,416590435780 00000,
Hylan Boulevard,S2012-02-33,83805.0,Intersection,,517330534100000000,502.0
Morris Avenue,X2015-04-11,42846.0,Intersection,,212550252120000000,201.0
Ditmars Boulevard,Q2014-01-11,46974.0,Intersection,,409890442490000000,401.0
East 141 Street,X2006-01-7,43052.0,Intersection,,221920225890000000,201.0
Edenwald Avenue,X2004-12-3,54600.0,Intersection,,219530230020000000,212.0
West 68 Street,M2020-07-02,23259.0,Intersection,,114510135130000000,164.0
Willmohr Street,K2017-17-06,26518.0,Intersection,,373480393130000000,317.0
139 Street,Q2020-12-34,34205.0,Intersection,,420240422640000000,412.0
Ocean Avenue,K2014-15-45,17009.0,Intersection,,314630367530000000,315.0
Rockaway Beach Boulevard,Q2017-14-66,30629.0,Intersection,,435115460790000000,414.0
Montgomery Street,M2020-03-24,16033.0,Intersection,,125490126440000000,103.0
School Street,S2015-03-85,4272.0,Intersection,,541100546555000000,
126 Street,Q2020-09-26,34658.0,Intersection,Ready for Milling,418940421690000000,409.0
Hylan Boulevard,S2007-01-03,70487.0,Intersection,,518510534100000000,503.0
Mother Gaston Boulevard,K2021-16-01,29110.0,Intersection,,319830382230000000,316.0
80 Street,K2011-10-04,13239.0,Intersection,,306480310580000000,311.0
Ralph Avenue,K2008-16-02,80612.0,Intersection,,338430373110000000,308.0
County House Road,S2014-02-32,5589.0,Intersection,,523985524841000000,
Body Of Water,Q2009-14-02,33463.0,Intersection,,435780462250000000,410.0
Shepherd Avenue,K2014-05-08,80185.0,Intersection,,356230376530000000,305.0
Sedgwick Avenue,X2016-05-01,48600.0,Intersection,,212550263820000000,205.0
Myrtle Avenue,Q2010-05-15,32351.0,Intersection,,416690456490000000,405.0
Bruner Avenue,X202312009,54076.0,Intersection,,211140216020000000,212.0
219 Street,Q2012-13-13,39083.0,Intersection,,421990426850000000,413.0
West Tremont Avenue,X2011-05-04,44222.0,Intersection,,212550276850000000,205.0
Harlem River Drive,M2012-10-01,9038939.0,Intersection,,110810122450000000,110.0
Glenwood Road,K2012-17-04,26127.0,Intersection,,336880344430000000,317.0
Winchester Boulevard,Q2014-13-02,61568.0,Intersection,,427800467890000000,
Laurel Hill Boulevard,Q2020-02-02,70285.0,Intersection,,435780453090000000,402.0
Montgomery Street,M2003-03-9,16034.0,Intersection,,113113126440000000,103.0
Midland Parkway,Q2010-08-28,58695.0,Intersection,,447390455890000000,408.0
Laurie Avenue,X2014-10-24,53315.0,Intersection,,241720245340000000,210.0
Park Drive,S2019-01-12,8805.0,Intersection,,523900542680000000,501.0
West Shore Expressway,S2004-03-66,1668.0,Intersection,,516860570355000000,503.0
Brook Avenue,S2011-03-11,7119.0,Intersection,,517110520590000000,503.0
30 Avenue,Q2010-01-02,41675.0,Intersection,,407740407790000000,401.0
Willoughby Street,K2021-02-10,19097.0,Intersection,,313230393250000000,302.0
147 Street,Q2014-08-09,54990.0,Intersection,,415290423090000000,408.0
Franklin D Roosevelt Drive,M2002-03-10,103090.0,Intersection,,113113120490000000,103.0
Broadway,M2004-02-17,9035568.0,Intersection,,113113113610000000,101.0
Bend,M2008-12-01,23312.0,Intersection,,129690113113 00000,
East Broadway,M2010-03-04,15814.0,Intersection,,128790119690 00000,103.0
City Limit,X2005-12-5,54605.0,Intersection,,253020219530000000,
Body Of Water,S2016-03-07,4085.0,Intersection,,518510547823000000,502.0
St Marks Place,B202306019,15079.0,Intersection,,305430380530000000,306.0
Union Turnpike,Q2013-11-75,82742.0,Intersection,,450010465590000000,411.0
Bay Ridge Parkway,K2021-11-08,13478.0,Intersection,Paving Completed,306880310330000000,311.0
Southern Boulevard,X2005-06-6,49100.0,Intersection,,229220265320000000,206.0
Henry Hudson Parkway,X2019-08-16,49588.0,Intersection,,212550239220000000,208.0
Sylvan Court,M2006-11-04,42485.0,Intersection,,119370132170000000,111.0
Little Neck Parkway,Q2003-11-2,62935.0,Intersection,,450290454120000000,411.0
81 Street,Q2016-05-10,32173.0,Intersection,,416040416740000000,405.0
Forest Avenue,S2020-01-17,9091.0,Intersection,,518510529150000000,501.0
Riverside Drive,M2018-07-12,24366.0,Intersection,,113113129690000000,107.0
Bay Parkway,K2021-11-08,13606.0,Intersection,Paving Completed,310330317330000000,311.0
Marathon Parkway,Q2014-11-23,62238.0,Intersection,,450290454800000000,411.0
Woodhaven Boulevard,Q2011-05-32,88702.0,Intersection,,416340468090000000,405.0
Kings Highway,K2005-15-5,90552.0,Intersection,,318950354050000000,314.0
Waverly Avenue,K2014-02-05,18751.0,Intersection,,343330390130000000,302.0
Main Street,Q202108001,55024.0,Intersection,,422740454580000000,408.0
Hugh J Grant Circle,X2004-09-7,52571.0,Intersection,,212550241330000000,209.0
Montauk Avenue,B202405005,89548.0,Intersection,,356230362030000000,305.0
West 145 Street,M202409009,77909.0,Intersection,,129690136670000000,109.0
Watkins Street,K2016-16-06,28643.0,Intersection,,356230389970000000,316.0
Bend,M2016-07-03,24366.0,Intersection,,129690113113 00000,
East 19 Street,K2009-15-14,17011.0,Intersection,,314580335680000000,315.0
Booth Memorial Avenue,Q2020-07-11,55481.0,Intersection,,422340436400000000,407.0
Malta Street,K2019-05-19,80508.0,Intersection,,356230358230000000,305.0
Linden Boulevard,K2014-05-34,80172.0,Intersection,,343730356230000000,305.0
105 Street,Q2002-09-20,32100.0,Intersection,,419640419840000000,410.0
Palmetto Street,Q2005-05-19,30019.0,Intersection,,412590458390000000,405.0
College Point Boulevard,Q2013-07-87,81582.0,Intersection,,421540439595000000,407.0
Lenox Road,K2010-17-06,26228.0,Intersection,,337080355330000000,317.0
Rutland Road,K2021-17-06,26898.0,Intersection,,338030374230000000,317.0
Harlem River Drive,M2007-10-05,71445.0,Intersection,,113113122450000000,111.0
East 209 Street,X2016-07-06,49281.0,Intersection,,223920227900000000,207.0
Seagirt Boulevard,Q2015-14-02,35731.0,Intersection,,429565461690000000,414.0
Body Of Water,S2018-03-46,107815.0,Intersection,,518510547823000000,502.0
73 Place,Q2010-05-12,45648.0,Intersection,,412040415440000000,405.0
Grand Concourse,X2015-04-03,43950.0,Intersection,,226580236420000000,204.0
Watchogue Road,S2007-01-18,6542.0,Intersection,,518510554350000000,501.0
Pike Street,M2017-03-15,15811.0,Intersection,,119690128790 00000,103.0
Manhattan College Parkway,X2016-08-01,64602.0,Intersection,,212550248720000000,208.0
Bend,Q2008-11-16,58829.0,Intersection,,425600435780000000,408.0
Palisade Avenue,X2004-08-21,44827.0,Intersection,,212550256720000000,208.0
Atlantic Avenue,K2016-05-28,89191.0,Intersection,,312030313430000000,305.0
Caswell Avenue,S2017-01-26,6003.0,Intersection,,521145522120000000,501.0
Body Of Water,Q2016-14-08,42388.0,Intersection,,435780462250000000,410.0
Van Siclen Avenue,B202305036,29007.0,Intersection,,318950387130000000,305.0
West 75 Street,M2012-07-01,23329.0,Intersection,,114510135270000000,107.0
Franklin D Roosevelt Drive,M2020-03-11,22551.0,Intersection,,113113120490000000,103.0
150 Street,Q202308041,55050.0,Intersection,,415390423290000000,408.0
Liverpool Street,Q2006-12-3,35090.0,Intersection,,418640454190000000,412.0
Gates Avenue,K2016-04-18,27875.0,Intersection,,325330343330000000,304.0
Vandalia Avenue,K2021-05-04,28942.0,Intersection,,357530387250000000,318.0
191 Street,Q2008-11-10,59304.0,Intersection,,409690425390000000,411.0
East 43 Street,K2006-17-2,26092.0,Intersection,,332600336780000000,318.0
Flushing Avenue,Q2011-05-05,90239.0,Intersection,,411590445190000000,405.0
I 678,Q2010-09-09,34964.0,Intersection,,419440466290000000,409.0
Sheffield Avenue,K2017-05-18,29294.0,Intersection,,355830376430000000,305.0
St Nicholas Avenue,M2013-09-02,44426.0,Intersection,,113113131190000000,109.0
Lithonia Avenue,Q2011-07-23,59123.0,Intersection,,424690454105000000,407.0
Sherman Avenue,M2021-12-08,44443.0,Intersection,,116910130490000000,112.0
81 Street,K2019-10-22,11744.0,Intersection,,305430310630000000,310.0
Pettit Avenue,Q2021-04-04,46682.0,Intersection,,451990458990000000,404.0
Ocean Parkway,K2009-12-04,17998.0,Intersection,,306880367730000000,312.0
Queens Boulevard,Q2010-02-04,82869.0,Intersection,,414690459990000000,402.0
Belt Parkway,K2021-13-04,9030239.0,Intersection,,370165377030000000,310.0
Union Avenue,X2014-01-06,47231.0,Intersection,,226400270420000000,201.0
Sutphin Boulevard,Q2017-12-51,35281.0,Intersection,,462990464790000000,412.0
158 Street,Q2009-12-11,36561.0,Intersection,,422130423840000000,412.0
Tyler Avenue,Q2019-02-15,45158.0,Intersection,,412290465350000000,402.0
Seaview Avenue,K2008-18-13,85379.0,Intersection,,337610375970000000,318.0
57 Street,K2020-12-01,13392.0,Intersection,,306180309430000000,312.0
Kings Highway,K2015-15-18,25408.0,Intersection,,318950354050000000,314.0
Washington Avenue,K2017-08-02,18797.0,Intersection,,313430389730000000,308.0
South 4 Street,K2018-01-59,19441.0,Intersection,,354000378430000000,301.0
Jerome Avenue,X2014-07-28,48582.0,Intersection,,231620242820000000,205.0
Northern Boulevard,Q2004-11-11,62112.0,Intersection,,427490457790000000,411.0
Body Of Water,Q2016-14-08,106810.0,Intersection,,435780462250000000,410.0
Boerum Place,K2014-02-10,14885.0,Intersection,,319230320110000000,302.0
West 94 Street,M2015-07-11,77989.0,Intersection,,113610135650000000,107.0
58 Place,Q2018-05-34,41204.0,Intersection,,412040412090000000,405.0
Grand Central Parkway,Q2016-08-04,55241.0,Intersection,,424040447390000000,408.0
173 Street,Q2002-12-17,36821.0,Intersection,,422135424790000000,412.0
West 135 Street,M2020-09-02,24113.0,Intersection,,129690136470000000,109.0
Pulaski Bridge,K2019-01-20,79608.0,Intersection,,334430397400000000,301.0
Pedestrian Overpass,Q2013-08-51,58518.0,Intersection,,450290458713000000,404.0
Riverside Drive,M2014-07-06,104308.0,Intersection,,113113129690000000,107.0
Troutman Street,K2013-04-04,27581.0,Intersection,,325330385930000000,304.0
Rockaway Freeway,Q2017-14-21,35679.0,Intersection,,430890460820000000,414.0
Bend,M2002-12-1,24401.0,Intersection,,129690113113 00000,
Nycta Subway,X2016-04-22,9006012.0,Intersection,,242820252710000000,204.0
Cypress Avenue,K2007-04-04,72805.0,Intersection,,331230441290 00000,
Riverside Drive,M2010-09-07,9040489.0,Intersection,,113113129690000000,107.0
West 123 Street,M2016-10-03,78080.0,Intersection,,110610136230000000,110.0
Manhattan College Parkway,X2008-08-04,49318.0,Intersection,,212550248720000000,208.0
Hunts Point Avenue,X2007-02-09,47445.0,Intersection,,215925241620000000,202.0
Etna Street,K2010-05-09,29773.0,Intersection,,326030339830000000,305.0
252 Street,Q2005-13-14,62733.0,Intersection,,416790427240000000,413.0
Fdr Drive Exit,M2009-01-09,15437.0,Intersection,,116650197290000000,
Lenox Road,K2009-17-11,26054.0,Intersection,,336580355330000000,317.0
58 Street,K2015-07-04,80181.0,Intersection,,305430309480000000,307.0
Bend,S2019-03-05,5001.0,Intersection,,515650518510000000,503.0
Richmond Road,Q2016-11-58,62431.0,Intersection,,443015460606000000,411.0
Bend,M2019-09-10,99897.0,Intersection,,129690113113 00000,
12 Street,K2019-06-08,14990.0,Intersection,,305680306330000000,306.0
147 Street,Q2018-07-47,56337.0,Intersection,,405065423090000000,407.0
Long Island Expressway,Q2016-02-08,41178.0,Intersection,,412190450290000000,402.0
Queens Boulevard,Q2013-04-45,82467.0,Intersection,,411640459990000000,404.0
Bend,X2012-02-21,9031734.0,Intersection,,215920212550 00000,
Richmond Hill Road,S202302029,5411.0,Intersection,,529835544850000000,502.0
174 Street,Q2016-08-31,58508.0,Intersection,,413540424810000000,408.0
East 8 Street,B202412003,18008.0,Intersection,,329630335130000000,312.0
East 19 Street,K2016-14-05,17635.0,Intersection,,315920335680000000,314.0
Van Nest Avenue,X202311021,52618.0,Intersection,,210620271120000000,211.0
150 Street,Q2014-07-18,55015.0,Intersection,,412440423290000000,407.0
Larue Avenue,Q2019-04-03,50059.0,Intersection,,419540452990000000,404.0
69 Street,Q2017-03-18,46392.0,Intersection,,408440414690000000,403.0
West 97 Street,M2016-07-04,23503.0,Intersection,,114510135710000000,164.0
Lax Avenue,Q2013-07-63,51823.0,Intersection,,421640453240000000,407.0
Pierce Avenue,X2018-11-07,52798.0,Intersection,,220520258320000000,211.0
Cypress Hills Street,Q2013-05-05,81455.0,Intersection,,416500441295000000,405.0
West 116 Street,M2019-10-02,24203.0,Intersection,,124690136090000000,110.0
78 Street,K2015-10-06,11889.0,Intersection,,305780310480000000,310.0
67 Street,K2014-10-18,13437.0,Intersection,,306480309930000000,310.0
Patchen Avenue,K2012-03-01,26958.0,Intersection,,358130370030000000,303.0
Van Sinderen Avenue,K2016-05-35,29200.0,Intersection,,334330387160000000,305.0
Mace Avenue,X2016-11-10,53742.0,Intersection,,231520248020000000,211.0
Webster Avenue,K2009-12-02,18058.0,Intersection,,328830390230000000,314.0
Dawson Court,S2014-02-36,3526.0,Intersection,,516380525618000000,502.0
West 30 Street,M2007-04-02,21198.0,Intersection,,110910134370000000,104.0
Beach 72 Street,Q2018-14-20,33312.0,Intersection,,429590432140000000,414.0
East 17 Street,K2017-14-04,85329.0,Intersection,,313980335580000000,314.0
172 Street,Q2007-08-06,58496.0,Intersection,,414240424740000000,408.0
Chevy Chase Street,Q2009-08-06,58849.0,Intersection,,429035439000000000,408.0
Body Of Water,X2012-10-11,96294.0,Intersection,,212550264745000000,210.0
West 155 Street,M2006-09-3,63976.0,Intersection,,119990136870000000,110.0
Vanderbilt Street,B202307021,17897.0,Intersection,,307030387430000000,307.0
Grant Avenue,X2016-04-12,43957.0,Intersection,,226580236620000000,204.0
Reservoir Oval,X2013-07-03,104912.0,Intersection,,212550260920000000,207.0
Bruckner Expressway Exit Nb,X2016-12-01,57827.0,Intersection,,229320298070000000,
Bend,X2014-10-30,67871.0,Intersection,,215920212550 00000,
Central Pk-Near 5 Avenue,M2018-08-01,22714.0,Intersection,,110410114195000000,108.0
61 Street,Q2020-02-05,46282.0,Intersection,,408790412740000000,402.0
12 Street,K2019-06-21,15048.0,Intersection,Paving Completed,305880306330000000,306.0
8 Avenue,K2014-06-01,18541.0,Intersection,,305230305880000000,306.0
Jackson Mill Road,Q2021-03-08,46869.0,Intersection,,418740451010000000,403.0
152 Street,Q2012-07-19,56557.0,Intersection,,405340423380000000,407.0
Park Avenue,M2014-08-01,78372.0,Intersection,,118570127790000000,108.0
Pine Street,B202305015,29836.0,Intersection,,342730370630000000,305.0
F D R Drive,M2012-06-05,22795.0,Intersection,,118030120490000000,
Dead End,K2005-06-8,14954.0,Intersection,,374630332600 00000,
Matilda Avenue,X2006-12-14,54339.0,Intersection,,228770249720000000,212.0
West 171 Street,X2011-04-03,43901.0,Intersection,,250520274370000000,204.0
Zerega Avenue,X2016-09-37,52957.0,Intersection,,212550279050000000,209.0
111 Street,Q2006-09-17,33760.0,Intersection,,420240420490000000,410.0
North Railroad Street,S2020-03-30,2282.0,Intersection,,534597540601000000,503.0
127 Street,Q2019-07-02,51267.0,Intersection,,408440421740000000,407.0
210 Street,Q2008-13-51,40068.0,Intersection,,420790426340000000,413.0
Northern Boulevard,Q2014-11-21,59682.0,Intersection,,439074457790000000,
Korean Vets Parkway Exit Wb,S2004-02-96,1235.0,Intersection,,526463597225 00000,
West 236 Street,X2014-08-19,49381.0,Intersection,,214920275080000000,208.0
Hugh J Grant Circle,X2004-09-7,52571.0,Intersection,,276950241330 00000,
45 Street,Q202201032,47017.0,Intersection,,406490410240000000,401.0
Clearview Expressway,Q2007-11-27,59736.0,Intersection,,425990439070000000,411.0
Brighton Beach Avenue,K2010-13-06,16283.0,Intersection,,322630322680000000,313.0
Rockaway Freeway,Q2010-14-05,33242.0,Intersection,,435290460820000000,414.0
West Broadway,M2020-02-16,20374.0,Intersection,,121690144890000000,102.0
210 Street,Q2011-11-39,60378.0,Intersection,,407440426340000000,411.0
34 Avenue,Q2002-01-13,41421.0,Intersection,,405790408440000000,401.0
Rockland Avenue,S2017-02-65,5252.0,Intersection,,518510545224000000,502.0
115 Avenue,Q202213023,104431.0,Intersection,,420735420790000000,413.0
Bruckner Boulevard,X2012-02-02,102104.0,Intersection,,212550215920000000,202.0
West 135 Street,M2020-09-02,24053.0,Intersection,,111115136470000000,109.0
Rockland Avenue,S2004-02-38,5675.0,Intersection,,518510545224000000,502.0
Haven Avenue,M2012-12-03,43371.0,Intersection,,113113122590000000,112.0
Van Loon Street,Q2015-04-18,45897.0,Intersection,,447290466190000000,404.0
Englewood Avenue,S2004-03-65,473.0,Intersection,,524750527610000000,
Body Of Water,Q2009-14-02,9030679.0,Intersection,,435780462250000000,410.0
Steinway Street,Q2017-01-04,41943.0,Intersection,,428790464290000000,401.0
Belt Parkway,K2008-11-07,12872.0,Intersection,,307730377030000000,311.0
Weirfield Street,K2016-04-04,27159.0,Intersection,,323930390330000000,304.0
West 227 Street,X2015-08-33,44734.0,Intersection,,207740137770000000,208.0
Kings Highway,K2015-15-18,90300.0,Intersection,,318950354050000000,314.0
Dead End,S2016-03-43,552.0,Intersection,,513098525908000000,503.0
Sterling Place,K2015-08-01,18842.0,Intersection,,326730381430000000,308.0
Fountain Avenue,K2011-05-06,31202.0,Intersection,,330150341830000000,305.0
Woodhaven Boulevard,Q2008-05-25,32502.0,Intersection,,458490468090000000,409.0
Glenwood Road,K2010-09-02,26068.0,Intersection,,336730344430000000,317.0
Throop Avenue,K2010-03-07,19908.0,Intersection,,338830385330000000,303.0
East 3 Street,K2009-12-09,17298.0,Intersection,,317330334930000000,312.0
Varick Avenue,K2017-01-09,27683.0,Intersection,,347530387730000000,301.0
West 254 Street,X2007-08-07,49356.0,Intersection,,239220275185000000,208.0
Gaylord Drive,K2010-18-08,28412.0,Intersection,,318950343470000000,318.0
Garfield Avenue,Q2002-02-22,45367.0,Intersection,,414190446390000000,402.0
Hicks Street,K2017-06-29,14703.0,Intersection,,315180349630000000,306.0
Richmond Road,S2016-02-21,8367.0,Intersection,,518510544900000000,503.0
Queens Boulevard,Q2019-06-05,83205.0,Intersection,,419540459990000000,406.0
East 93 Street,B202317003,26513.0,Intersection,Ready for Milling,313730337930000000,317.0
Kings Highway,K2015-14-06,17679.0,Intersection,,314380354050000000,314.0
Whittemore Avenue,X202210026,53276.0,Intersection,,210320277280000000,210.0
Griswold Court,S2003-01-83,9019.0,Intersection,,547940570129000000,
North Market Street,K2009-18-01,26488.0,Intersection,,337630363250000000,318.0
Hugh J Grant Circle,X2004-09-7,52570.0,Intersection,,276950241330 00000,
East 36 Street,K2016-18-10,25646.0,Intersection,,314630336430000000,318.0
East 93 Street,B202217008,26375.0,Intersection,,326630337930000000,317.0
122 Street,Q2009-07-11,51702.0,Intersection,,406140421490000000,407.0
Guy R Brewer Boulevard,Q2005-12-22,36574.0,Intersection,,421870457190000000,412.0
78 Street,K2014-10-11,13195.0,Intersection,,306180310480000000,310.0
172 Street,Q202312039,37461.0,Intersection,Ready for Milling,420460424740000000,412.0
Reservoir Avenue,X2010-08-09,48758.0,Intersection,,212550260820000000,208.0
147 Street,Q2007-08-04,54918.0,Intersection,,414390423090000000,408.0
235 Street,Q2019-11-13,61886.0,Intersection,,442785427106 00000,
Pierce Avenue,X2016-11-31,52783.0,Intersection,,213320258320000000,211.0
Grosvenor Lane,Q2016-09-01,32840.0,Intersection,,420940448236000000,409.0
Travis Avenue,S2018-02-11,83757.0,Intersection,,544750551735000000,502.0
Nycta Subway,X2015-07-03,9006012.0,Intersection,,242820252710000000,204.0
Riverside Drive,M2003-07-1,66281.0,Intersection,,113113129690000000,107.0
Vermont Street,K2013-05-14,29359.0,Intersection,,383730388030000000,305.0
Bend,Q2019-05-03,9039518.0,Intersection,,414690435780000000,405.0
40 Avenue,Q2015-01-09,41329.0,Intersection,,405790409340000000,401.0
Walker Street,M2017-01-12,20481.0,Intersection,,112710132900000000,101.0
Pacific Street,K2016-02-08,18576.0,Intersection,,340930368930000000,306.0
Sycamore Street,S2015-03-54,2507.0,Intersection,,531780550485000000,503.0
Sedgwick Avenue,X2019-07-09,49547.0,Intersection,,212550263820000000,205.0
Marcy Avenue,K2009-01-24,19593.0,Intersection,,333030358730000000,301.0
Degraw Street,K2019-06-18,15019.0,Intersection,,305280332130000000,306.0
Cooper Avenue,Q2007-05-09,69339.0,Intersection,,435780439690000000,405.0
